Champ % Rank,Team,PR,SOS-PR,QWF-PR,Champ %,RPI,SOS-RPI,QWF-RPI,Selection
106,Greensboro ( 7 - 9 ),187,199,156,0 . 0 %,189,223,157,569
107,Guilford ( 8 - 10 ),131,114,151,0 . 0 %,108,62,148,318
108,Gwynedd Mercy ( 8 - 8 ),145,163,125,0 . 0 %,168,189,125,482
109,Hampden-Sydney ( 12 - 6 ),41,65,48,0 . 0 %,46,32,47,125
110,Hanover ( 8 - 9 ),201,225,147,0 . 0 %,181,188,149,518
111,Hartford ( 6 - 7 ),92,70,92,0 . 0 %,85,119,90,294
112,Hartwick ( 5 - 9 ),113,74,161,0 . 0 %,131,123,161,415
113,Haverford ( 7 - 9 ),59,41,134,0 . 0 %,100,63,126,289
114,Heidelberg ( 4 - 13 ),223,209,220,0 . 0 %,202,218,221,641
115,Hendrix ( 5 - 9 ),149,139,162,0 . 0 %,149,134,162,445
116,Hilbert ( 3 - 6 ),221,240,91,0 . 0 %,236,239,91,566
117,Hiram ( 5 - 12 ),210,188,202,0 . 0 %,185,197,198,580
118,Hood ( 9 - 8 ),124,107,119,0 . 0 %,144,170,120,434
119,Hope ( 14 - 4 ),70,98,29,0 . 0 %,23,47,21,91
120,Huntingdon ( 4 - 12 ),206,197,204,0 . 0 %,203,201,204,608
121,Husson ( 6 - 10 ),205,229,183,0 . 0 %,209,215,183,607
122,Illinois Tech ( 8 - 8 ),174,184,126,0 . 0 %,115,95,127,337
123,Illinois Wesleyan ( 14 - 4 ),63,86,30,0 . 0 %,14,13,27,54
124,Immaculata ( 9 - 7 ),154,167,103,0 . 0 %,158,179,102,439
125,Ithaca ( 8 - 8 ),36,22,79,0 . 0 %,43,26,79,148
126,John Carroll ( 11 - 5 ),72,111,60,0 . 0 %,48,65,54,167
127,Johnson & Wales ( 9 - 7 ),172,189,104,0 . 0 %,150,176,103,429
128,Juniata ( 2 - 15 ),199,136,241,0 . 0 %,212,162,241,615
129,Kalamazoo ( 5 - 8 ),156,143,136,0 . 0 %,130,137,135,402
130,Kean ( 12 - 7 ),51,53,52,0 . 0 %,75,57,55,187
131,Keene State ( 6 - 9 ),90,90,152,0 . 0 %,119,93,150,362
132,Kenyon ( 13 - 6 ),55,62,71,0 . 0 %,24,31,48,103
133,Keuka ( 5 - 8 ),185,151,137,0 . 0 %,173,178,136,487
134,Keystone ( 6 - 10 ),207,213,184,0 . 0 %,199,211,184,594
135,Kings ( 3 - 11 ),173,126,205,0 . 0 %,195,173,205,573
136,La Roche ( 0 - 11 ),240,238,188,0 . 0 %,239,238,189,666
137,LaGrange ( 8 - 10 ),181,190,175,0 . 0 %,172,222,175,569
138,Lake Forest ( 16 - 3 ),111,175,20,0 . 0 %,52,91,15,158
139,Lasell ( 11 - 7 ),112,149,93,0 . 0 %,95,109,97,301
140,Lebanon Valley ( 7 - 10 ),121,103,171,0 . 0 %,153,141,170,464
141,Lycoming ( 5 - 9 ),167,128,163,0 . 0 %,162,151,163,476
142,Maine Maritime ( 11 - 5 ),159,191,61,0 . 0 %,126,196,64,386
143,Manhattanville ( 8 - 10 ),153,145,172,0 . 0 %,135,94,171,400
144,Marian (WI) ( 3 - 10 ),214,221,194,0 . 0 %,213,200,196,609
145,Marietta ( 7 - 10 ),169,156,176,0 . 0 %,148,153,176,477
146,Maritime ( 11 - 7 ),74,106,77,0 . 0 %,94,180,80,354
147,Mary Washington ( 8 - 9 ),50,39,113,0 . 0 %,70,50,109,229
148,Marymount ( 9 - 10 ),117,115,166,0 . 0 %,120,117,166,403
149,Marywood ( 3 - 13 ),188,165,235,0 . 0 %,208,181,235,624
150,Massachusetts Maritime ( 8 - 7 ),109,137,108,0 . 0 %,121,148,106,375
151,Massachusetts-Boston ( 13 - 5 ),83,100,44,0 . 0 %,88,105,57,250
152,McDaniel ( 6 - 9 ),93,57,143,0 . 0 %,124,130,133,387
153,MCLA ( 2 - 12 ),233,232,226,0 . 0 %,234,224,227,685
154,Merchant Marine ( 10 - 5 ),99,142,68,0 . 0 %,102,138,67,307
155,Messiah ( 12 - 6 ),61,60,74,0 . 0 %,79,118,76,273
156,Methodist ( 9 - 8 ),175,195,120,0 . 0 %,155,157,121,433
157,Misericordia ( 8 - 9 ),103,94,138,0 . 0 %,117,86,137,340
158,MIT ( 6 - 10 ),48,29,127,0 . 0 %,111,82,143,336
159,Mitchell ( 0 - 12 ),237,200,232,0 . 0 %,229,198,233,660
160,Montclair State ( 4 - 10 ),89,48,153,0 . 0 %,127,68,144,339
161,Moravian ( 9 - 9 ),126,117,144,0 . 0 %,114,121,145,380
162,Morrisville ( 8 - 8 ),165,176,128,0 . 0 %,143,139,128,410
163,Mount St Joseph ( 0 - 13 ),239,235,237,0 . 0 %,238,231,237,706
164,Mount St Mary (NY) ( 4 - 9 ),184,171,167,0 . 0 %,200,212,167,579
165,Mount St Vincent ( 6 - 8 ),194,194,135,0 . 0 %,188,203,134,525
166,Mount Union ( 6 - 11 ),170,192,200,0 . 0 %,176,155,201,532
167,MSOE ( 8 - 8 ),177,201,129,0 . 0 %,167,171,129,467
168,Muskingum ( 9 - 8 ),155,180,121,0 . 0 %,125,159,122,406
169,Nazareth ( 12 - 7 ),35,44,62,0 . 0 %,38,45,62,145
170,Neumann ( 9 - 9 ),160,162,145,0 . 0 %,174,165,146,485
171,New England College ( 4 - 11 ),180,169,206,0 . 0 %,192,190,206,588
172,New Paltz ( 5 - 10 ),133,101,189,0 . 0 %,136,113,190,439
173,Nichols ( 8 - 10 ),101,72,157,0 . 0 %,123,77,164,364
174,North Central ( 11 - 4 ),98,133,42,0 . 0 %,44,89,33,166
175,Northland ( 3 - 10 ),219,215,173,0 . 0 %,197,214,172,583
176,Northwestern (MN) ( 6 - 6 ),192,202,87,0 . 0 %,146,195,87,428
177,Norwich ( 11 - 7 ),150,174,94,0 . 0 %,142,163,98,403
178,Oberlin ( 10 - 6 ),95,92,81,0 . 0 %,47,66,77,190
179,Oglethorpe ( 5 - 10 ),195,164,168,0 . 0 %,175,193,168,536
180,Ohio Northern ( 13 - 6 ),80,131,75,0 . 0 %,72,102,78,252
181,Ohio Wesleyan ( 11 - 5 ),38,66,49,0 . 0 %,22,44,42,108
182,Oneonta ( 7 - 8 ),85,59,122,0 . 0 %,109,116,130,355
183,Oswego ( 10 - 6 ),71,67,82,0 . 0 %,84,112,85,281
184,Otterbein ( 8 - 8 ),141,152,130,0 . 0 %,129,145,131,405
185,Penn College ( 10 - 9 ),161,181,139,0 . 0 %,170,185,138,493
186,Pfeiffer ( 13 - 6 ),96,144,69,0 . 0 %,54,52,68,174
187,Piedmont ( 15 - 3 ),105,185,26,0 . 0 %,65,129,28,222
188,Plattsburgh ( 4 - 12 ),164,97,221,0 . 0 %,171,146,222,539
189,Plymouth State ( 15 - 5 ),77,116,38,0 . 0 %,64,71,36,171
190,Potsdam ( 10 - 6 ),60,80,72,0 . 0 %,81,99,73,253
191,Purchase ( 3 - 12 ),225,207,224,0 . 0 %,215,175,225,615
192,Randolph ( 5 - 11 ),218,178,191,0 . 0 %,198,182,191,571
193,Regis (MA) ( 6 - 7 ),197,210,111,0 . 0 %,190,216,110,516
194,Rhodes ( 9 - 7 ),69,81,88,0 . 0 %,66,60,88,214
195,Rivier ( 11 - 7 ),114,159,95,0 . 0 %,118,120,99,337
196,Roger Williams ( 13 - 6 ),66,73,63,0 . 0 %,82,90,69,241
197,Rosemont ( 1 - 11 ),230,214,201,0 . 0 %,232,233,202,667
198,Sage ( 6 - 10 ),152,122,185,0 . 0 %,160,124,185,469
199,Salem State ( 4 - 11 ),209,187,207,0 . 0 %,211,208,207,626
200,Salve Regina ( 4 - 10 ),79,45,169,0 . 0 %,152,135,192,479
201,Scranton ( 14 - 8 ),52,55,83,0 . 0 %,39,37,74,150
202,Sewanee ( 10 - 4 ),84,93,45,0 . 0 %,31,74,44,149
203,Shenandoah ( 12 - 7 ),86,95,80,0 . 0 %,86,78,81,245
204,Skidmore ( 9 - 7 ),39,24,59,0 . 0 %,42,42,58,142
205,Southern Maine ( 5 - 12 ),182,157,218,0 . 0 %,183,126,218,527
206,Southern Virginia ( 8 - 11 ),139,124,195,0 . 0 %,113,61,195,369
207,Southwestern ( 2 - 12 ),132,63,227,0 . 0 %,151,72,219,442
208,Spalding ( 2 - 12 ),238,234,228,0 . 0 %,233,219,228,680
209,Springfield ( 7 - 10 ),44,20,105,0 . 0 %,92,33,139,264
210,St Joseph (CT) ( 17 - 4 ),130,177,24,0 . 0 %,77,84,23,184
211,St Josephs (LI) ( 1 - 11 ),215,173,214,0 . 0 %,204,169,213,586
212,St Josephs (ME) ( 10 - 8 ),137,147,114,0 . 0 %,116,132,115,363
213,St Marys (MD) ( 14 - 7 ),53,109,50,0 . 0 %,58,22,49,129
214,St Vincent ( 8 - 9 ),127,138,148,0 . 0 %,107,92,147,346
215,Stockton ( 11 - 8 ),46,33,64,0 . 0 %,40,40,65,145
216,SUNY Poly ( 10 - 7 ),179,204,102,0 . 0 %,138,156,101,395
217,Susquehanna ( 14 - 4 ),67,104,39,0 . 0 %,68,136,38,242
218,Thiel ( 3 - 11 ),224,205,209,0 . 0 %,214,194,208,616
219,Thomas ( 2 - 9 ),217,223,154,0 . 0 %,223,225,155,603
220,Transylvania ( 11 - 7 ),100,179,96,0 . 0 %,93,85,92,270
221,Trine ( 6 - 10 ),162,186,186,0 . 0 %,180,154,186,520
222,U of New England ( 4 - 13 ),143,88,233,0 . 0 %,163,97,231,491
223,Ursinus ( 7 - 9 ),43,25,123,0 . 0 %,71,39,111,221
224,Utica ( 6 - 10 ),158,105,177,0 . 0 %,156,164,187,507
225,Vassar ( 9 - 6 ),42,30,40,0 . 0 %,32,49,34,115
226,Virginia Wesleyan ( 6 - 11 ),176,129,196,0 . 0 %,157,115,197,469
227,Wabash ( 8 - 8 ),166,168,131,0 . 0 %,122,140,116,378
228,Warren Wilson ( 0 - 10 ),241,239,164,0 . 0 %,240,240,165,645
229,Washington & Jefferson ( 3 - 11 ),213,203,210,0 . 0 %,216,202,209,627
230,Washington College ( 6 - 11 ),49,18,165,0 . 0 %,91,48,151,290
231,Wentworth ( 13 - 6 ),81,82,46,0 . 0 %,61,174,45,280
232,Western Connecticut ( 13 - 5 ),64,96,53,0 . 0 %,63,107,59,229
233,Western New England ( 11 - 7 ),37,42,54,0 . 0 %,49,23,63,135
234,Westminster (PA) ( 10 - 8 ),151,170,115,0 . 0 %,132,150,107,389
235,Wheaton ( 9 - 8 ),91,75,109,0 . 0 %,134,143,123,400
236,Widener ( 4 - 12 ),108,54,215,0 . 0 %,161,111,214,486
237,Wilkes ( 4 - 12 ),178,132,222,0 . 0 %,193,166,223,582
238,William Peace ( 3 - 11 ),212,219,211,0 . 0 %,221,207,211,639
239,Wilmington (OH) ( 4 - 13 ),234,230,234,0 . 0 %,227,199,234,660
240,Wittenberg ( 8 - 5 ),94,110,76,0 . 0 %,67,110,70,247
241,Wooster ( 11 - 7 ),75,89,97,0 . 0 %,53,67,86,206
