,SUMMER CAMPS/CLINICS,DATE,LOCATION,FOR,CAMP LINK
38,Yale Blue Dog Mid-Summer Tune Up,"July 8, 2024","New Haven, CT",2025-2028,http://www.bluedogslacrossecamp.com/shop/EVENT
39,Notre Dame Lacrosse Elite Day Camp,"July 8-9, 2024","South Bend, IN",2025-2028,https://campscui.active.com/orgs/UniversityofNotreDame#/selectSessions/3431740/filter/session=61557040
40,Columbia Elite Camp I,"July 11, 2024","New York, NY",2025-2027,https://heartsloudlacrosse.totalcamps.com/shop/EVENT
41,Navy Girls Lacrosse Summer Prospect Camp 1,"July 11, 2024","Annapolis, MD",2025-2028,https://navysports.evenue.net/events/SC-WLAX
42,UNC Charlotte Future Niner Overnight Camp,"July 12-13, 2024","Charlotte, NC",2025-2028,https://www.clareshortlacrosse.com/
43,Hopkins One Day Camp,"July 15, 2024","Baltimore, MD",2025-2029,https://www.heritagelacrossecamps.com/
44,Navy Girls Lacrosse Summer Prospect Camp 2,"July 15, 2024","Annapolis, MD",2025-2028,https://navysports.evenue.net/events/SC-WLAX
45,Duke Elite Camp,"July 15-16, 2024","Durham, NC",2025-2028,https://dukelacrossecamp.com/camp1.html
46,2024 Harvard Crimson Elite Prospect ID Clinic,"July 15-16, 2024","Boston, MA",2024-2028,https://www.willslax.com/page/show/5446573-crimson-elite-summer-prospect-id-clinic
47,Pitt Lacrosse Two-Day Elite Camp,"July 15-16, 2024","Pittsburgh, PA",2024-2028,https://register.ryzer.com/camp.cfm?sport=27&id=261479
48,James Madison Summer Exposure Camp,"July 15-17, 2024","Harrisonburg, VA",2025-2028,https://laxology.totalcamps.com/shop/EVENT
49,Amonte Sports Northwestern Elite Commuter Camp Discount Code: MASSEL24,"July 16-17, 2024","Evanston, IL",2025-2030,https://amontesports.com/camps-and-clinics/
50,Lax Masters High Academic Northeast Prospect Camp,"July 16-17, 2024","Newport, RI",2025-2027,https://www.lacrossemasters.com/girls-camps
51,Duke Super Elite Camp,"July 17-18, 2024","Durham, NC",2025-2028,https://dukelacrossecamp.com/camp1.html
52,2024 Villanova Summer High School Clinic,"July 21, 2024","Villanova, PA",2025-2028,http://www.villanovawomenslacrossecamps.com/shop/product/284321
53,BU Terrier July Prospect Clinic,"July 22, 2024","Boston, MA",2025-2029,https://bostonulacrossecamps.com/camp2.html
54,"2024 Villanova College ID Camp III (Villanova, Towson, Albany, Harvard, Michigan, Princeton, Maryland, Brown, Rutgers, Lehigh)","July 22, 2024","Conshohocken, PA",2025-2027,http://www.villanovawomenslacrossecamps.com/shop/product/283860
55,Princeton Lacrosse Elite Camp 3,"July 22, 2024","Princeton, NJ",2025-2028,https://www.princetonsportscamps.com/camps/girlslacrosse.htm
56,Columbia Elite Camp II,"July 23, 2024","New York, NY",2025-2027,https://heartsloudlacrosse.totalcamps.com/shop/EVENT
57,Yale Blue Dogs Girls Lacrosse Camp II,"July 23, 2024","New Haven, CT",2025-2028,http://www.bluedogslacrossecamp.com/shop/EVENT
58,"Top Prospect Collegiate Showcase (Harvard, Notre Dame, Navy, Louisville, Georgetown, UMASS Amherst, Albany, Villanova, Pitt, Coastal Carolina, Temple, Vermont)","July 23-24, 2024","Baltimore, MD",2025-2028,https://www.willslax.com/page/show/7712393-top-prospect-collegiate-showcase
59,Lax Masters Girls D1 Northeast Prospect Camp,"July 30, 2024","Farmington, CT",2025-2027,https://www.lacrossemasters.com/girls-camps
60,Washington and Lee August Day Clinic,"August 1, 2024","Lexington, VA",2024-2028,https://bluetridentcamps.com/
61,Harvard Crimson August Elite Prospect ID Clinic,"August 16-17, 2024","Boston, MA",2025-2029,https://www.willslax.com/page/show/7294190-crimson-august-elite-id-clinic
62,UNC Charlotte 2026 Clinic,"August 17, 2024","Charlotte, NC",2026,https://www.clareshortlacrosse.com/
63,Clemson Elite Prospect Camp,"August 17-18, 2024","Clemson, SC",2025-2029,https://clemsonlaxcamps.com/
64,Duke Girls Lacrosse Prospect Camp II,"August 24, 2024","Durham, NC",2025-2028,https://dukelacrossecamp.com/camp2.html
65,James Madison August Showcase,"August 24, 2024","Harrisonburg, VA",2025-2029,https://laxology.totalcamps.com/shop/EVENT
66,Penn State Elite Clinic,"August 24, 2024","University Park, PA",2025-2029,https://gopsusports.com/sports/2018/8/8/camps-w-lacros-camp-html.aspx
67,Richmond End of Summer Prospect Dy,"August 24, 2024","Richmond, MA",2025-2027,https://richmondspiderswomenslacrossecamps.totalcamps.com/About%20Us
68,Syracuse ID Clinic/Prospect Day,"August 24, 2024","Syracuse, NY",2025-2028,https://www.kaylatreanor.com/events
69,UVA ID Elite,"August 24-25, 2024","Charlottesville, VA",2025-2028,https://www.lamonicasports.com/uva-id-elite
70,BU Terrier August Prospect Clinic,"August 25, 2024","Boston, MA",2025-2029,https://bostonulacrossecamps.com/camp2.html
71,August Elite Prospect Clinic at Virginia Tech,"August 25, 2024","Blacksburg, VA",2025-2028,https://skieralacrossecamps.com/camp2.html
