Rank,Team,W,L,Rating,Link
231,Coronado (CA),4,5,90.87,
232,Montgomery (NJ),2,0,90.86,
233,Pittsford (NY),10,8,90.86,
234,Lake Norman (NC),18,2,90.85,
235,Worthington Kilbourne (OH),12,4,90.81,
236,St Augustine Prep (NJ),6,6,90.81,
237,St Christopher's (VA),7,7,90.79,
238,Harvard-Westlake (CA),1,5,90.78,
239,Hartland (MI),17,2,90.77,
240,Downingtown East (PA),12,5,90.77,
241,Millburn (NJ),5,1,90.76,
242,Pingree (MA),1,2,90.72,
243,Hightstown (NJ),2,0,90.7,
244,Newtown (CT),12,3,90.69,
245,Guilford (CT),2,3,90.66,
246,Benjamin School (FL),11,4,90.65,
247,West Chester Henderson (PA),11,4,90.63,
248,Mountain Vista (CO),11,6,90.62,
249,Walpole (MA),15,5,90.61,
250,Comsewogue (NY),9,5,90.59,
251,Anaheim Servite (CA),4,2,90.58,
252,Northport (NY),7,9,90.57,
253,Mariemont (OH),16,2,90.54,
254,Bergen Catholic (NJ),4,5,90.53,
255,Webster Schroeder (NY),12,6,90.48,
256,St Joseph Collegiate (NY),12,4,90.44,
257,Brother Rice (MI),8,5,90.44,
258,Mercer Island (WA),16,7,90.41,
259,The Heights (MD),14,5,90.4,
260,Patrick Henry Roanoke (VA),1,1,90.4,
261,Daniel Hand-Madison (CT),1,3,90.38,
262,Hastings (MN),1,0,90.32,
263,Stillwater (MN),4,0,90.31,
264,Kellenberg Memorial (NY),7,7,90.3,
265,Westhill (NY),16,6,90.29,
266,Longmeadow (MA),17,5,90.28,
267,McCallie School (TN),10,4,90.28,
268,Moses Brown (RI),2,5,90.28,
269,New Providence (NJ),9,1,90.26,
270,Westwood (MA),14,5,90.26,
271,Westlake (TX),9,6,90.25,
272,Garnet Valley (PA),9,9,90.24,
273,Pine Richland (PA),13,4,90.23,
274,Princeton Day (NJ),3,3,90.23,
275,Sacred Heart Prep (CA),5,3,90.22,
276,Our Lady-Good Counsel (MD),7,10,90.22,
277,Saint Viator (IL),14,2,90.2,
278,Washington Twp (NJ),0,1,90.2,
279,Medfield (MA),12,8,90.19,
280,Middlesex School (MA),1,5,90.19,
281,Wilson West Lawn (PA),17,4,90.18,
282,Riverside Mil Acad (GA),1,0,90.16,
283,Mars Area (PA),14,1,90.14,
284,Roxbury (NJ),4,3,90.09,
285,Lovett (GA),12,5,90.08,
286,Trumbull (CT),10,6,90.04,
287,Hendrick Hudson (NY),16,2,90.01,
288,Wellesley (MA),14,5,89.97,
289,Dawson School (CO),4,3,89.97,
290,JM Bennett (MD),10,2,89.96,
291,Olentangy Liberty (OH),14,7,89.96,
292,Park City (UT),15,0,89.95,
293,West Des Moines Valley LC (IA),1,0,89.94,
294,Kell (GA),3,2,89.93,
295,Proctor Academy (NH),3,5,89.93,
296,Madison (NJ),13,4,89.91,
297,Monarch (CO),5,4,89.89,
298,Wayland (MA),17,3,89.87,
299,Hewlett (NY),5,8,89.87,
300,South River (MD),5,3,89.86,
301,St Johns Shrewsbury (MA),16,5,89.85,
302,Holy Ghost Prep (PA),12,3,89.84,
303,Apex (NC),12,5,89.83,
304,St Johns Prep Danvers (MA),11,10,89.81,
305,Harborfields (NY),8,5,89.77,
306,Ocean City (NJ),3,2,89.74,
307,Kiski Prep (PA),13,8,89.73,
308,Chaparral (CO),12,3,89.71,
309,Irondequoit (NY),10,7,89.71,
310,Sunset (OR),1,2,89.71,
311,John Carroll (MD),5,13,89.71,
312,Caldwell (NJ),7,4,89.7,
313,Saint Ignatius Prep (CA),10,7,89.7,
314,Groton School (MA),2,4,89.7,
315,Blue Ridge School (VA),7,2,89.69,
316,Eastlake (WA),16,4,89.68,
317,Walton (GA),13,4,89.68,
318,Centennial (MD),8,5,89.68,
319,Tampa Jesuit (FL),15,3,89.67,
320,Prior Lake (MN),4,2,89.67,
321,Marvin Ridge (NC),14,3,89.66,
322,East Syracuse-Minoa (NY),16,4,89.64,
323,Mountain View (ID),2,2,89.62,
324,Pelham Memorial (NY),11,9,89.6,
325,Sparta (NJ),4,6,89.59,
326,Concord Carlisle (MA),18,6,89.58,
327,Jesuit-Portland (OR),2,3,89.58,
328,Northern/Calv Cty (MD),2,1,89.55,
329,Delaware Valley (NJ),11,2,89.54,
330,Archbishop Stepinac (NY),13,4,89.54,
331,Sachem East (NY),5,7,89.52,
332,Winter Park (FL),18,2,89.5,
333,Loomis Chaffee (CT),5,15,89.5,
334,Northwest Guilford (NC),16,4,89.48,
335,Olentangy (OH),13,4,89.46,
336,Cheyenne Mountain (CO),4,0,89.45,
337,Friends (MD),16,2,89.45,
338,Unionville (PA),10,6,89.45,
339,Cape Henry Collegiate (VA),7,5,89.45,
340,Parkland (PA),15,3,89.43,
341,MICDS (MO),20,2,89.41,
342,Oakton (VA),4,1,89.41,
343,Exeter HS (NH),14,5,89.41,
344,Needham (MA),13,7,89.4,
345,Marple Newtown (PA),9,6,89.39,
346,Scarsdale (NY),10,7,89.39,
347,Mainland Regional (NJ),1,1,89.39,
348,Collegiate School (VA),9,7,89.38,
349,Chagrin Falls (OH),11,1,89.37,
350,Springboro (OH),13,3,89.37,
351,North Hunterdon (NJ),2,0,89.36,
352,Corning (NY),14,3,89.36,
353,Flower Mound (TX),10,4,89.35,
