Rank,Team,W,L,Rating,Link
76,St Johns Prep Danvers (MA),22,2,91.14,
77,The Woodlands (TX),18,4,91.13,
78,Cincinnati St Xavier (OH),14,6,91.13,
79,Berkshire School (MA),11,7,91.08,
80,Episcopal HS (VA),16,5,91.07,
81,Broadneck (MD),20,0,91.0,
82,Trinity-Pawling (NY),7,9,91.0,
83,Cannon School (NC),20,3,90.98,
84,Pingry (NJ),15,3,90.94,
85,South Side (NY),13,5,90.92,
86,Saint Andrew's (FL),19,3,90.91,
87,Jesuit Portland (OR),13,3,90.9,
88,Bridgewater-Raritan (NJ),18,3,90.89,
89,Summit (NJ),16,5,90.88,
90,Ward Melville (NY),13,5,90.8,
91,Boston College HS (MA),20,3,90.79,
92,Detroit Catholic Central (MI),10,3,90.78,
93,Grand Rapids Forest Hills Central (MI),18,4,90.77,
94,Saint Ignatius Prep (CA),22,4,90.76,
95,Calhoun (NY),15,4,90.74,
96,Thayer Academy (MA),9,6,90.72,
97,Ridgefield (CT),12,7,90.71,
98,DeMatha (MD),10,9,90.64,
99,Wantagh (NY),13,6,90.62,
100,Chatham (NJ),16,7,90.48,
101,Connetquot (NY),15,3,90.47,
102,Highland Park (TX),19,4,90.44,
103,Kiski Prep (PA),17,10,90.44,
104,Hill School (PA),10,7,90.42,
105,Niskayuna (NY),18,3,90.39,
106,Hauppauge (NY),14,3,90.33,
107,Cold Spring Harbor (NY),14,6,90.3,
108,Roswell (GA),21,3,90.29,
109,Blessed Trinity (GA),18,2,90.26,
110,West Forsyth (GA),21,1,90.18,
111,Cardinal Gibbons (NC),22,4,90.17,
112,Bernards (NJ),16,5,90.16,
113,Regis Jesuit (CO),15,3,90.15,
114,Westlake (TX),12,2,90.13,
115,St Albans (DC),11,9,90.05,
116,Episcopal Dallas (TX),14,6,90.04,
117,Christchurch (VA),13,3,90.03,
118,M.L. Collins (KY),1,0,90.02,
119,Mountain Vista (CO),16,3,90.01,
120,Phillips Exeter (NH),14,4,89.99,
121,Huntington (NY),11,5,89.9,
122,Yorktown (NY),13,7,89.9,
123,West Islip (NY),13,6,89.89,
124,St Augustine Prep (NJ),12,6,89.89,
125,Plainedge (NY),13,5,89.86,
126,Mount St. Joseph (MD),8,10,89.86,
127,Mountain Lakes (NJ),16,6,89.85,
128,Hilliard Davidson (OH),7,2,89.84,
129,Scarsdale (NY),14,7,89.82,
130,Lambert (GA),18,4,89.68,
131,Comsewogue (NY),11,6,89.63,
132,Severna Park (MD),15,4,89.6,
133,Pleasantville (NY),19,2,89.52,
134,Hun School (NJ),12,4,89.52,
135,Manasquan (NJ),17,6,89.5,
136,Charlotte Catholic (NC),21,3,89.49,
137,Buford (GA),17,4,89.45,
138,Detroit Country Day (MI),13,3,89.44,
139,Sacred Heart Prep (CA),16,7,89.44,
140,Glenbard West (IL),7,4,89.33,
141,Pingree (MA),20,2,89.25,
142,Hough (NC),18,3,89.19,
143,Half Hollow Hills (NY),13,4,89.18,
144,Smithtown East (NY),12,7,89.17,
145,Middlesex School (MA),10,6,89.17,
146,De LaSalle (CA),20,3,89.16,
147,North Canton Hoover (OH),2,2,89.16,
148,Redwood (CA),17,5,89.15,
149,Denver South (CO),12,5,89.15,
150,Potomac (MD),1,0,89.1,
151,Colorado Academy (CO),10,6,89.09,
152,Loyola Academy (IL),17,4,89.07,
153,St Margarets Episcopal (CA),12,5,89.04,
154,Brewster Academy (NH),9,6,89.02,
155,Bolles (FL),17,3,89.01,
156,Arapahoe (CO),10,8,89.0,
157,Legend (CO),13,4,88.99,
158,Yorktown (VA),3,2,88.99,
159,Lake Forest (IL),21,5,88.95,
160,Torrey Pines (CA),17,4,88.93,
161,Waunakee (WI),3,0,88.92,
162,Middle Creek (NC),21,2,88.92,
163,St Thomas Aquinas (FL),12,3,88.91,
164,The Governor's Academy (MA),9,8,88.88,
165,Cape Henlopen (DE),16,4,88.85,
166,Rye HS (NY),13,8,88.84,
167,Kent Island (MD),15,2,88.83,
168,Bishop Guertin (NH),15,3,88.71,
169,John Jay-Cross River (NY),13,6,88.7,
170,Manheim Township (PA),22,2,88.69,
171,Ponte Vedra (FL),11,5,88.68,
172,Shawnee (NJ),18,3,88.67,
173,Acton Boxborough (MA),18,5,88.67,
174,Madison (VA),20,2,88.66,
175,Pittsford (NY),18,3,88.6,
176,Foothill-Santa Ana (CA),18,6,88.6,
177,Morris Knolls (NJ),15,4,88.59,
178,St Joseph-Trumbull (CT),15,4,88.59,
179,Wall Township (NJ),17,6,88.59,
180,Southlake (TX),12,6,88.58,
181,Corona Del Mar (CA),11,6,88.57,
182,Pope John XXIII (NJ),14,4,88.54,
183,James Caldwell (NJ),15,9,88.53,
184,Kent Denver (CO),12,5,88.43,
185,Loyola-Los Angeles (CA),15,6,88.42,
186,Noblesville (IN),1,0,88.4,
187,Downingtown East (PA),20,4,88.4,
188,Mahopac (NY),13,6,88.4,
189,Massapequa (NY),9,9,88.38,
190,Bishop Watterson (OH),3,0,88.36,
191,Archmere Academy (DE),13,4,88.33,
192,Mamaroneck (NY),12,7,88.33,
193,Lake Norman (NC),21,4,88.32,
194,Ridge (NJ),17,6,88.32,
195,Bishop's School (CA),17,1,88.31,
196,East Islip (NY),13,6,88.31,
197,Mater Dei (CA),18,3,88.28,
198,Tabor Academy (MA),10,8,88.27,
199,Germantown Academy (PA),4,13,88.22,
200,Marple Newtown (PA),20,5,88.2,
201,La Costa Canyon (CA),11,5,88.2,
202,Somerville (NJ),11,7,88.2,
203,South River (MD),12,4,88.19,
204,Mercer Island (WA),19,5,88.18,
205,Mason (OH),15,2,88.13,
206,The Heights (MD),7,11,88.1,
207,Benjamin School (FL),16,4,88.08,
208,Spring-Ford (PA),16,4,88.08,
209,Penn Charter (PA),8,13,88.08,
210,Olentangy Liberty (OH),2,5,88.07,
211,Cheyenne Mountain (CO),16,3,88.04,
212,Simsbury (CT),16,4,88.04,
213,Blue Ridge School (VA),14,4,88.03,
214,Port Washington (NY),13,6,88.01,
215,Providence Day (NC),18,6,88.0,
216,St Andrews Episcopal (MD),12,3,87.99,
217,St Mark's (TX),13,4,87.99,
218,Hingham (MA),21,3,87.98,
219,Franklin (MA),19,2,87.92,
220,Lake Mary (FL),17,0,87.86,
221,Randolph (NJ),13,8,87.86,
222,Dexter School (MA),8,7,87.83,
223,St Stephen St Agnes (VA),8,11,87.83,
224,Glenbrook South (IL),2,2,87.81,
225,O'Dea (WA),14,4,87.78,
226,Saint John Paul II (FL),13,4,87.77,
227,La Salle College High (PA),17,6,87.77,
228,Atlee (VA),8,0,87.75,
229,Horace Greeley (NY),15,3,87.75,
230,Syosset (NY),11,7,87.75,
231,Bergen Catholic (NJ),8,11,87.75,
232,Islip (NY),9,7,87.74,
233,St Ignatius (OH),14,8,87.73,
234,Jamesville-DeWitt (NY),16,5,87.69,
235,West Genesee (NY),13,7,87.69,
236,Archbishop Moeller (OH),5,7,87.69,
237,Everest Academy (ON),7,9,87.68,
238,Community Sch-Naples (FL),7,3,87.67,
239,Heritage Christian (IN),1,0,87.62,
240,Cushing Academy (MA),10,6,87.59,
241,Poudre District (CO),13,4,87.57,
242,Christian Brothers Academy (NJ),11,8,87.57,
243,Urbana (MD),15,4,87.56,
244,West Morris Central (NJ),13,7,87.53,
245,Wilmington Friends (DE),15,3,87.51,
246,Westminster School (CT),6,12,87.51,
247,Millbrook School (NY),9,7,87.49,
248,Daniel Hand-Madison (CT),14,7,87.48,
249,Winter Park (FL),13,3,87.47,
250,Lake Braddock (VA),4,2,87.47,
251,Rockford (MI),10,4,87.42,
252,Garnet Valley (PA),14,10,87.39,
253,Allatoona (GA),6,5,87.34,
254,Vista del Lago (CA),12,4,87.33,
255,Kellenberg Memorial (NY),6,10,87.33,
256,Alpharetta (GA),2,1,87.31,
257,McQuaid Jesuit (NY),13,4,87.3,
258,Milton Academy (MA),8,8,87.3,
259,Pickerington Central (OH),1,0,87.29,
260,Lake Highland Prep (FL),10,4,87.29,
261,Seattle Prep (WA),17,4,87.27,
262,Ada Forest Hills Eastern (MI),8,2,87.25,
263,Mars (PA),22,3,87.24,
264,Roxbury Latin (MA),11,7,87.19,
265,Olmsted Falls (OH),7,0,87.17,
266,Wilbraham & Monson Academy (MA),9,4,87.15,
267,Sachem North (NY),11,7,87.14,
268,Dallas Jesuit (TX),6,10,87.07,
269,Weston (CT),18,3,87.04,
270,Fallston (MD),16,3,87.04,
271,Bronxville (NY),8,11,87.03,
272,Christ King Georgetown (ON),13,1,87.01,
273,Groton School (MA),9,9,87.01,
274,Northern Highlands (NJ),9,9,87.01,
275,West Chester Rustin (PA),18,6,86.99,
276,Jupiter (FL),15,6,86.99,
277,Middleton (WI),2,1,86.97,
278,Cincinnati Hills (OH),4,0,86.96,
279,Erie (CO),15,4,86.95,
280,Glastonbury (CT),3,8,86.95,
281,Carmel (IN),5,3,86.93,
282,Saint Edwards (FL),13,5,86.86,
283,Conestoga (PA),15,7,86.82,
284,Liverpool (NY),12,6,86.78,
285,Huntingtown (MD),17,2,86.77,
286,Hunterdon Central (NJ),9,11,86.77,
287,Irondequoit (NY),10,8,86.76,
288,Our Lady of Good Counsel (MD),7,11,86.76,
289,Cathedral Catholic (CA),10,6,86.75,
290,Harborfields (NY),11,7,86.75,
291,St Joseph Collegiate (NY),16,5,86.73,
292,Glen Ridge (NJ),10,9,86.73,
293,Rush-Henrietta (NY),10,5,86.71,
294,East Grand Rapids (MI),6,4,86.71,
295,Greenwich (CT),5,11,86.71,
296,Potomac School (VA),15,8,86.68,
297,North Paulding (GA),17,3,86.67,
298,Pomfret School (CT),10,7,86.67,
299,Marvin Ridge (NC),17,5,86.66,
300,St Joseph Montvale (NJ),9,10,86.64,
301,Corona (CA),8,0,86.6,
302,West Essex Regional (NJ),11,10,86.6,
303,Evans (FL),1,0,86.57,
304,Shenendehowa (NY),17,4,86.57,
305,Bay Shore (NY),10,7,86.56,
306,CBA Syracuse (NY),9,7,86.56,
307,Scotch Plains Fanwood (NJ),10,10,86.56,
308,Holmdel (NJ),17,5,86.54,
309,St Paul's School (NENG),9,6,86.52,
310,New Hampton (NH),7,9,86.51,
311,Royal Bay (BC),12,1,86.48,
312,Moorestown (NJ),14,8,86.48,
313,Mount Si (WA),6,1,86.46,
314,Hereford (MD),14,3,86.46,
315,Louisville St Xavier (KY),16,8,86.46,
316,Fayetteville-Manlius (NY),12,7,86.45,
317,Skaneateles (NY),14,3,86.42,
318,Lincoln-Sudbury (MA),13,6,86.42,
319,Phillips Andover (MA),7,12,86.42,
320,Christ School (NC),10,7,86.41,
321,Hamilton SouthEastern (IN),7,9,86.38,
322,New Trier (IL),5,8,86.35,
323,Lucy Beckham (SC),13,4,86.34,
324,John Carroll (MD),2,10,86.31,
325,Santa Margarita Catholic (CA),9,1,86.29,
326,St James (MD),11,6,86.29,
327,Wesleyan (GA),16,2,86.24,
328,La Salle Academy (RI),16,4,86.24,
329,Long Beach (NY),9,9,86.23,
330,Granville (OH),2,0,86.22,
331,Somers (NY),8,9,86.21,
332,Lake Norman Charter (NC),17,5,86.2,
333,Grand Ledge (MI),19,2,86.18,
334,Corner Canyon (UT),16,2,86.16,
335,Easton (MD),16,2,86.13,
336,Montclair (NJ),8,12,86.12,
337,Smithtown West (NY),7,11,86.1,
338,Notre Dame-West Haven (CT),7,7,86.09,
339,Rivers School (MA),6,10,86.09,
340,St Anne's-Belfield (VA),6,11,86.09,
341,Wethersfield (CT),7,0,86.06,
342,Shaker (NY),14,4,86.06,
343,Perkiomen School (PA),6,10,86.06,
344,Reading (MA),22,1,86.05,
345,Vestavia Hills (AL),18,0,86.04,
346,Westside (WI),1,0,86.03,
347,Williston Northampton (MA),7,8,86.01,
348,Olympus (UT),17,2,86.0,
349,North Rockland (NY),14,4,86.0,
350,Segerstrom (CA),0,1,86.0,
351,Monte Vista/Danville (CA),14,4,85.99,
352,Ocean City (NJ),13,7,85.96,
353,Marcellus (NY),18,4,85.94,
354,Tampa Jesuit (FL),15,5,85.93,
355,Spencerport (NY),13,6,85.93,
356,Glen Rock (NJ),11,7,85.93,
357,Mahwah (NJ),12,8,85.93,
358,Hudson (OH),8,12,85.93,
359,St Joseph's Prep (PA),14,6,85.92,
360,Clarkston (MI),19,3,85.91,
361,Penfield (NY),12,6,85.91,
362,Denver East (CO),7,10,85.91,
363,Kennett (PA),17,5,85.9,
364,Canal Winchester (OH),1,0,85.89,
365,Hill Academy II (ON),5,3,85.89,
366,Collegiate School (VA),11,9,85.89,
367,Benet Academy (IL),2,3,85.88,
368,Indian Hill (OH),2,0,85.87,
369,TMI Episcopal (TX),11,1,85.87,
370,North Gwinnett (GA),5,5,85.85,
371,Jefferson Twp (NJ),17,3,85.82,
372,Rockhurst Jesuit (MO),18,0,85.8,
373,Carey (NY),3,5,85.79,
374,Avon Grove (PA),11,8,85.77,
375,Longwood (NY),10,8,85.77,
376,Westlake (CA),17,4,85.74,
377,Delaware Valley (NJ),14,7,85.73,
378,Hudsonville (MI),5,4,85.72,
379,Pelham Memorial (NY),9,8,85.72,
380,Ramapo (NJ),9,10,85.7,
381,Canandaigua (NY),12,5,85.68,
382,Kettle Moraine (WI),1,1,85.68,
383,Wayne Valley (NJ),17,4,85.67,
384,Worthington Kilbourne (OH),1,5,85.67,
385,Portsmouth Abbey (RI),16,4,85.65,
386,Wissahickon (PA),17,5,85.65,
387,Palo Verde (NV),5,5,85.62,
388,Centennial (CA),0,2,85.6,
389,Yarmouth (ME),1,0,85.58,
390,Albany Academy (NY),8,6,85.58,
391,Gill St. Bernard's (NJ),13,7,85.54,
392,Haddonfield Memorial (NJ),5,5,85.54,
393,Fordham Prep (NY),9,9,85.53,
394,Olentangy Berlin (OH),1,1,85.53,
395,Duxbury (MA),20,4,85.51,
396,Shady Side Academy (PA),9,13,85.51,
397,Tower Hill School (DE),12,5,85.5,
398,Hempfield (PA),13,7,85.49,
399,Castle View (CO),10,7,85.48,
400,Upper Dublin (PA),14,6,85.45,
401,Catholic High School (VA),7,5,85.45,
402,R.J. Reynolds (NC),15,3,85.42,
403,Westhampton Beach (NY),9,7,85.41,
404,Vestal (NY),14,5,85.4,
405,Evergreen (CO),11,6,85.39,
406,Norfolk Academy (VA),8,11,85.37,
407,Ridley (PA),11,8,85.36,
408,Lampeter-Strasburg (PA),20,5,85.35,
409,H.B. Plant (FL),10,5,85.35,
410,Oregon (WI),2,1,85.35,
411,Xaverian Brothers (MA),12,7,85.35,
412,Cocalico (PA),21,3,85.33,
413,Westfield (IN),0,1,85.32,
414,St Stephen's Episcopal (FL),1,0,85.29,
415,Christ Church Episcopal (SC),16,2,85.28,
416,Longmeadow (MA),16,7,85.27,
417,Bishop Verot (FL),1,2,85.26,
418,Susquehannock (PA),17,5,85.25,
419,Massillon Jackson (OH),3,3,85.25,
420,York (IL),15,7,85.24,
421,Pennridge (PA),18,4,85.22,
422,Central Bucks West (PA),15,4,85.21,
423,Hilton (NY),9,9,85.21,
424,Norco (CA),0,1,85.21,
425,Central York (PA),17,4,85.2,
426,Fairfield-Ludlowe (CT),9,9,85.2,
427,North Allegheny (PA),9,9,85.19,
428,Mount Lebanon (PA),17,6,85.17,
429,Tenafly (NJ),12,5,85.17,
430,Cherokee (NJ),14,5,85.16,
431,Stephen Decatur (MD),9,5,85.16,
432,Walton (GA),2,4,85.16,
433,Fishburne Military (VA),0,2,85.16,
434,Westminster (GA),4,5,85.15,
435,Milton District (CAN),10,1,85.13,
436,Dublin Scioto (OH),1,0,85.11,
437,Westerville North (OH),1,0,85.11,
438,Dakota Ridge (CO),15,3,85.1,
439,Island Trees (NY),3,7,85.1,
440,Fellowship Christian (GA),12,5,85.05,
441,Norwell (MA),19,3,85.04,
442,Marin Academy (CA),14,3,85.02,
443,Cathedral (IN),1,6,85.02,
444,Wilson West Lawn (PA),17,4,85.01,
445,Granite Hills (CA),2,0,85.0,
446,Columbia (NJ),4,10,85.0,
447,Parkland (PA),18,5,84.97,
448,Louisville Trinity (KY),14,6,84.96,
449,Mendham (NJ),8,11,84.94,
450,Brunswick II (CT),5,1,84.93,
451,Livingston (NJ),10,10,84.92,
452,Olentangy (OH),1,1,84.92,
453,Roslyn (NY),11,5,84.91,
454,Grand Rapids Catholic Central (MI),4,5,84.89,
455,St Ignatius Prep (IL),13,6,84.87,
456,Downingtown West (PA),11,8,84.87,
457,Haldane (NY),13,5,84.86,
458,Warren Township (IL),2,3,84.86,
459,Boyertown (PA),14,5,84.85,
460,Memphis University School (TN),17,3,84.84,
461,Allentown (NJ),6,3,84.84,
462,New Fairfield (CT),8,2,84.83,
463,Saint Rita (IL),12,5,84.83,
464,Southington (CT),8,5,84.83,
465,Lakeland/Panas (NY),8,10,84.83,
466,Byram Hills (NY),9,9,84.82,
467,Oak Hall (FL),10,2,84.81,
468,Medina (OH),2,0,84.8,
469,Howell (MI),0,1,84.79,
470,Westminster (MD),12,2,84.77,
471,Monarch (CO),13,4,84.77,
472,Wooster (OH),3,1,84.77,
473,Nauset (MA),18,4,84.75,
474,Rock Canyon (CO),8,8,84.75,
475,Miramonte (CA),2,1,84.73,
476,Brighton (UT),16,3,84.72,
477,Piedmont (CA),4,2,84.72,
478,St Michael's College (ON),6,5,84.71,
479,Kings Park (NY),6,9,84.71,
480,Westhill (NY),13,5,84.69,
481,Churchill (MD),15,2,84.68,
482,IMG Academy (FL),7,6,84.68,
483,Horseheads (NY),12,5,84.67,
484,Red Bank Regional (NJ),6,3,84.66,
485,Montgomery Bell Academy (TN),15,5,84.65,
486,Madison (NJ),11,4,84.65,
487,Woodberry Forest (VA),8,10,84.64,
488,Ottawa Hills (OH),4,0,84.63,
489,Briarcliff (NY),9,11,84.62,
490,Caesar Rodney (DE),13,5,84.59,
491,Lakewood (CO),7,10,84.59,
492,Green Level (NC),17,4,84.58,
493,Princeton Day (NJ),16,6,84.57,
494,West Linn (OR),2,2,84.56,
495,Sayville (NY),3,11,84.56,
496,Brother Rice Orange (MI),5,1,84.55,
497,Lafayette (NY),13,5,84.53,
498,Bellarmine Prep (WA),2,5,84.53,
499,Cambridge (GA),1,8,84.53,
500,Northgate (CA),1,0,84.52,
501,Cicero North Syracuse (NY),6,9,84.51,
502,Holly Springs (NC),16,6,84.5,
503,Lake Orion (MI),8,4,84.5,
504,Miller Place (NY),6,5,84.5,
505,Billerica (MA),14,7,84.49,
506,Oak Ridge (CA),4,3,84.49,
507,Kimball Union (NH),8,9,84.49,
508,Homestead (WI),1,1,84.47,
509,Sachem East (NY),6,9,84.46,
510,Webster Thomas (NY),2,9,84.45,
511,University School (OH),20,0,84.44,
512,St Christopher's (VA),7,12,84.43,
513,Steinbrenner (FL),3,1,84.41,
514,Queen Annes County (MD),7,5,84.4,
515,Milford (OH),9,5,84.37,
516,Lovett (GA),4,5,84.37,
517,Tatnall School (DE),13,4,84.36,
518,East Syracuse-Minoa (NY),10,8,84.36,
519,Tappan Zee (NY),12,6,84.35,
520,Ashley (NC),18,2,84.34,
521,Brophy Prep (AZ),17,7,84.34,
522,Lake Zurich (IL),0,2,84.34,
523,Freedom (PA),17,4,84.33,
524,Cherokee Trail (CO),9,8,84.32,
525,Centennial (GA),10,9,84.31,
526,Dublin Coffman (OH),0,2,84.31,
527,North Cross (VA),13,7,84.29,
528,Anaheim Servite (CA),5,4,84.29,
529,Marin Catholic (CA),10,11,84.29,
530,Riverside (VA),18,3,84.27,
531,Hendrick Hudson (NY),12,7,84.27,
532,South Forsyth (GA),2,7,84.27,
533,Guilford (CT),1,7,84.27,
534,Mount Hebron (MD),13,6,84.24,
535,Hoggard (NC),18,4,84.23,
536,J Serra Catholic (CA),2,1,84.23,
537,Olentangy Orange (OH),1,2,84.23,
538,Honeoye Falls-Lima (NY),2,4,84.22,
539,Southern AA (MD),12,4,84.2,
540,Oakton (VA),2,2,84.19,
541,John Glenn - Elwood (NY),9,5,84.18,
542,Lynbrook (NY),10,8,84.18,
543,Pope (GA),10,9,84.14,
544,Traverse City Central (MI),1,1,84.14,
545,South Burlington (VT),3,0,84.12,
546,Battlefield (VA),16,3,84.12,
547,Weddington (NC),12,7,84.12,
548,Lakeridge (OR),2,2,84.1,
549,Dallastown (PA),17,5,84.09,
550,Pinkerton Academy (NH),12,5,84.08,
551,Eastport/South Manor (NY),4,8,84.07,
552,Byron Center (MI),2,3,84.06,
553,North Andover (MA),13,8,84.05,
554,South Lyon Unified (MI),1,1,84.04,
555,Brighton (MI),2,3,84.01,
556,Brentwood (TN),15,1,83.99,
557,Eastern Regional (NJ),3,3,83.99,
558,MacArthur-Levittown (NY),7,9,83.98,
559,Linganore (MD),6,2,83.97,
560,Ithaca (NY),13,4,83.96,
561,Carmel (NY),9,9,83.93,
562,Creekview (GA),2,2,83.93,
563,Catholic Memorial (MA),12,8,83.91,
564,Coatesville (PA),12,7,83.88,
565,Upper Merion (PA),12,7,83.88,
566,Springboro (OH),2,3,83.86,
567,Shore Regional (NJ),2,4,83.86,
568,Westwood (TX),13,1,83.85,
569,Sherwood (MD),16,5,83.83,
570,Southern Regional (NJ),13,7,83.83,
571,Patchogue-Medford (NY),8,8,83.81,
572,Langley (VA),2,0,83.8,
573,Louisville Eastern (KY),7,1,83.79,
574,Cypress Woods United (TX),13,4,83.79,
575,Nease (FL),11,3,83.78,
