Rank,Team,W,L,Rating,Link
114,Dallas Jesuit (TX),9,6,88.4,
115,Benjamin (FL),16,1,88.37,
116,Robinson (VA),7,0,88.34,
117,Choate (CT),5,2,88.33,
118,McQuaid Jesuit (NY),6,0,88.28,
119,Santa Fe Christian (CA),9,3,88.27,
120,Mountain Lakes (NJ),5,2,88.26,
121,Claremont School 1 (BC),5,0,88.22,
122,Summit (NJ),6,2,88.21,
123,Seton Hall Prep (NJ),3,5,88.2,
124,Trinity-Pawling (NY),2,4,88.18,
125,Garnet Valley (PA),10,2,88.06,
126,St Joseph's Prep (PA),8,2,88.05,
127,Pennridge (PA),8,1,88.0,
128,La Salle Academy (RI),7,1,87.96,
129,Episcopal Dallas (TX),14,5,87.95,
130,Marshfield (MA),6,1,87.91,
131,Avon Old Farms (CT),3,5,87.89,
132,South River (MD),9,1,87.77,
133,Colorado Academy (CO),0,2,87.74,
134,Shoreham-Wading River (NY),6,2,87.73,
135,James Caldwell (NJ),4,0,87.62,
136,Bridgewater-Raritan (NJ),2,3,87.59,
137,Loyola-Los Angeles (CA),13,5,87.58,
138,Olympus (UT),7,1,87.57,
139,Medfield (MA),4,2,87.56,
140,St Augustine Prep (NJ),4,3,87.55,
141,Bolles (FL),12,2,87.48,
142,Cincinnati St Xavier (OH),7,2,87.47,
143,Westminster School (CT),3,6,87.43,
144,Chatham (NJ),5,2,87.39,
145,Allatoona (GA),4,4,87.38,
146,Vandermont Academy (TX),5,4,87.37,
147,Somers (NY),8,1,87.35,
148,Broadneck (MD),8,2,87.35,
149,West Forsyth (GA),12,5,87.35,
150,Marin Catholic (CA),11,5,87.31,
151,Downingtown East (PA),10,0,87.3,
152,Mount Lebanon (PA),5,3,87.3,
153,Hotchkiss (CT),1,5,87.3,
154,Huntington (NY),8,2,87.28,
155,Brophy Prep (AZ),17,2,87.23,
156,Redwood (CA),9,7,87.21,
157,Christian Brothers Academy (NJ),5,3,87.17,
158,Bishop's School (CA),9,4,87.14,
159,Cheshire HS (CT),5,1,87.11,
160,Shady Side Academy (PA),6,4,87.07,
161,Collegiate School (VA),10,1,87.06,
162,Vestavia Hills (AL),6,0,87.02,
163,Kimball Union (NH),8,2,86.99,
164,Ponte Vedra (FL),13,6,86.96,
165,Mason (OH),5,1,86.95,
166,Perkiomen School (PA),3,5,86.95,
167,Pittsford (NY),0,1,86.91,
168,Thayer Academy (MA),5,3,86.88,
169,Lassiter (GA),13,4,86.87,
170,John Carroll (MD),3,8,86.87,
171,North Canton Hoover (OH),0,1,86.84,
172,Midlothian (VA),1,0,86.83,
173,Independence (VA),0,1,86.82,
174,Wilmington Charter (DE),2,0,86.76,
175,Catonsville (MD),6,2,86.73,
176,Denver South (CO),0,2,86.73,
177,St Johns Prep Danvers (MA),5,1,86.72,
178,Smithtown West (NY),9,2,86.7,
179,Rye HS (NY),5,2,86.69,
180,Starr's Mill (GA),14,2,86.67,
181,Providence Day (NC),12,4,86.67,
182,Mercer Island (WA),10,3,86.66,
183,Saint Viator (IL),4,2,86.66,
184,Eastern Regional (NJ),1,3,86.66,
185,St Thomas Aquinas (FL),5,8,86.64,
186,Heritage (CO),1,0,86.62,
187,Wilmington Friends (DE),3,0,86.59,
188,Bergen Catholic (NJ),4,4,86.59,
189,Fayetteville-Manlius (NY),1,0,86.57,
190,Connetquot (NY),7,4,86.53,
191,Exeter HS (NH),4,0,86.51,
192,Proctor Academy (NH),4,2,86.51,
193,Cardinal Gibbons (NC),14,5,86.5,
194,Blessed Trinity (GA),6,3,86.49,
195,Centerville (OH),1,1,86.49,
196,Manhasset (NY),8,3,86.45,
197,Hough (NC),11,2,86.44,
198,Wilton (CT),6,2,86.44,
199,Pleasantville (NY),7,1,86.41,
200,Riverside (VA),6,2,86.41,
201,DeMatha (MD),5,6,86.41,
202,Everest Academy (ON),6,4,86.4,
203,St. Albans (DC),6,9,86.4,
204,Massapequa (NY),7,4,86.33,
205,Legend (CO),7,2,86.31,
206,Freedom-South Riding (VA),10,0,86.28,
207,Lake Norman (NC),12,5,86.25,
208,Kings Park (NY),8,2,86.23,
209,Portsmouth (NH),4,0,86.21,
210,New Hampton (NH),5,1,86.17,
211,Holy Family (CO),1,0,86.1,
212,De LaSalle (CA),12,5,86.08,
213,Atlee (VA),2,2,86.08,
214,Regis Jesuit (CO),2,2,86.07,
215,Christchurch (VA),8,4,86.05,
216,Cold Spring Harbor (NY),6,4,86.01,
217,Alpharetta (GA),11,4,86.0,
218,John Jay-Cross River (NY),6,3,85.96,
219,Fellowship Christian (GA),5,3,85.96,
220,Brother Rice (MI),4,2,85.92,
221,Woodward Academy (GA),2,2,85.92,
222,Upper Dublin (PA),6,2,85.89,
223,Louisville St Xavier (KY),8,4,85.86,
224,Vail Mountain (CO),1,0,85.84,
225,Duxbury (MA),7,1,85.82,
226,Portsmouth Abbey (RI),8,2,85.82,
227,Jupiter (FL),8,4,85.79,
228,Episcopal HS (VA),7,6,85.79,
229,Hun School (NJ),2,3,85.78,
230,Glenelg (MD),3,2,85.74,
231,Louisville Trinity (KY),12,1,85.73,
232,McLean (VA),1,2,85.73,
233,Archbishop Curley (MD),1,5,85.72,
234,West Genesee (NY),4,1,85.7,
235,Gill St. Bernard's (NJ),1,1,85.64,
236,O'Dea (WA),0,1,85.64,
237,St. Mary's Ryken (MD),5,7,85.63,
238,Northern Highlands (NJ),0,2,85.63,
239,West Morris Central (NJ),0,2,85.63,
240,Centennial (MD),2,0,85.62,
241,Memphis University School (TN),10,4,85.61,
242,Linganore (MD),7,0,85.59,
243,Norfolk Academy (VA),6,3,85.59,
244,Groton School (MA),4,2,85.58,
245,Mater Dei (CA),6,3,85.55,
246,Springboro (OH),6,3,85.54,
247,Lucy Beckham (SC),10,5,85.53,
248,Southlake (TX),5,4,85.53,
249,Wesleyan (GA),9,5,85.52,
250,Farmingdale (NY),5,4,85.5,
251,Hingham (MA),6,0,85.48,
252,Central Bucks West (PA),7,2,85.46,
253,Horace Greeley (NY),5,2,85.44,
254,Lawrenceville II (NJ),4,1,85.43,
255,Haddonfield Memorial (NJ),2,1,85.41,
256,Patriot (VA),1,1,85.41,
257,Blue Ridge School (VA),7,6,85.39,
258,Greenwich (CT),4,4,85.39,
259,Island Trees (NY),0,1,85.38,
260,Albany Academy (NY),5,0,85.37,
261,Kingsway Regional (NJ),1,0,85.22,
262,Hilton Head HS (SC),1,0,85.21,
263,Davis (UT),0,1,85.2,
264,Glenbard West (IL),10,1,85.19,
265,Lake Forest (IL),1,1,85.19,
266,Foothill-Santa Ana (CA),10,5,85.16,
267,Huntingtown (MD),0,1,85.14,
268,West Chester Rustin (PA),4,1,85.13,
269,Hamilton SouthEastern (IN),6,3,85.13,
270,Harborfields (NY),6,3,85.12,
271,Saint John Paul II (FL),7,3,85.11,
272,Westhill (NY),1,0,85.06,
273,Cushing Academy (MA),4,4,85.05,
274,Yorktown (NY),5,3,85.04,
275,Huntington Beach (CA),1,0,85.0,
276,Christ School (NC),7,4,85.0,
277,Royal Bay (BC),1,2,85.0,
278,Pingree (MA),3,6,84.98,
279,St Joseph Montvale (NJ),0,2,84.98,
280,Mountain Vista (CO),3,3,84.92,
281,Jamesville-DeWitt (NY),8,0,84.91,
282,Smithtown East (NY),4,6,84.91,
283,Dominion (VA),0,1,84.91,
284,Jackson (WA),1,0,84.88,
285,Crofton (MD),7,2,84.83,
286,Derryfield (NH),4,0,84.81,
287,Shenendehowa (NY),7,1,84.81,
288,McCallie School (TN),12,2,84.81,
289,Penncrest (PA),7,3,84.81,
290,St Anne's-Belfield (VA),6,7,84.81,
291,Hereford (MD),6,1,84.79,
292,Hilliard Davidson (OH),0,2,84.75,
293,Millbrook School (NY),6,2,84.73,
294,St Paul's School (NENG),4,4,84.71,
295,Mamaroneck (NY),5,3,84.68,
296,Saint Edwards (FL),4,3,84.68,
297,Dexter School (MA),5,4,84.65,
298,Bedford (NH),3,0,84.63,
299,Comsewogue (NY),5,4,84.61,
300,Rockhurst Jesuit (MO),12,2,84.58,
301,Green Level (NC),15,2,84.57,
302,Santa Margarita Catholic (CA),12,3,84.57,
303,Livingston (NJ),5,2,84.55,
304,Cardinal Mooney (FL),10,5,84.55,
305,The Heights (MD),3,8,84.54,
306,Marcellus (NY),1,0,84.53,
307,Syosset (NY),1,5,84.53,
308,Mars (PA),7,1,84.48,
309,Billerica (MA),4,2,84.47,
310,Greenville (SC),1,0,84.45,
311,Dulaney (MD),3,3,84.42,
312,St James (MD),7,4,84.39,
313,Acton Boxborough (MA),6,2,84.35,
314,Westlake (CA),10,3,84.34,
315,Lincoln-Sudbury (MA),4,3,84.33,
316,Randolph (NJ),0,4,84.31,
317,Montgomery Bell Academy (TN),8,2,84.29,
318,Bay Shore (NY),7,4,84.27,
319,Patterson Mill (MD),7,1,84.23,
320,Briar Woods (VA),0,2,84.23,
321,Wilson West Lawn (PA),2,2,84.22,
322,Winchester (MA),6,1,84.19,
323,Spire Academy (OH),5,10,84.19,
324,Bishop Fenwick (OH),1,0,84.16,
325,Central Bucks East (PA),7,4,84.16,
326,North Allegheny (PA),5,6,84.16,
327,Vestal (NY),8,0,84.14,
328,Tampa Jesuit (FL),9,4,84.14,
329,Camas (WA),3,2,84.14,
330,Bronxville (NY),4,3,84.13,
331,Hudson (OH),3,4,84.12,
332,Penn Charter (PA),2,9,84.12,
333,Brighton (UT),8,0,84.07,
334,Madison (VA),6,5,84.07,
335,Owen J Roberts (PA),2,2,84.02,
336,Ridley (PA),3,4,84.02,
337,Yorktown (VA),1,2,84.02,
338,Bishop Shanahan (PA),7,1,84.0,
339,Lyman Hall (CT),1,0,83.97,
340,Clearview Regional (NJ),1,0,83.96,
341,Bishop Moore (FL),15,4,83.96,
342,La Costa Canyon (CA),0,2,83.93,
343,Westminster (GA),1,4,83.91,
344,Kings (OH),0,1,83.91,
345,MICDS (MO),4,3,83.87,
346,Cambridge (GA),3,6,83.87,
347,Cathedral (IN),10,2,83.82,
348,Potomac School (VA),7,5,83.79,
349,Eastlake (WA),10,2,83.78,
350,Calhoun (NY),7,0,83.77,
351,Grandview (CO),0,1,83.76,
352,Haddam-Killingworth (CT),1,0,83.71,
353,Holly Springs (NC),12,6,83.71,
354,Carmel (IN),6,2,83.7,
355,Niskayuna (NY),5,2,83.69,
356,Manheim Township (PA),8,1,83.68,
357,Rock Canyon (CO),0,1,83.68,
358,Lake Norman Charter (NC),7,6,83.67,
359,Archmere Academy (DE),3,4,83.65,
360,Archbishop Moeller (OH),2,7,83.62,
361,Canandaigua (NY),1,3,83.61,
362,Souderton (PA),7,2,83.57,
363,Downingtown West (PA),7,3,83.56,
364,West Essex Regional (NJ),1,3,83.52,
365,Port Washington (NY),1,7,83.5,
366,Portland (ME),1,0,83.46,
367,Falmouth HS (MA),6,1,83.46,
368,Middle Creek (NC),13,3,83.45,
369,King Philip (MA),3,2,83.45,
370,Caesar Rodney (DE),6,2,83.43,
371,Myers Park (NC),9,5,83.43,
372,Longwood (NY),5,4,83.4,
373,Hayfield (VA),8,0,83.37,
374,Mount Hebron (MD),1,4,83.36,
375,Oceanside Collegiate Academy (SC),1,2,83.33,
376,Salem (VA),6,0,83.32,
377,Riverhead (NY),8,3,83.31,
378,Warwick Valley (NY),7,0,83.3,
379,Cy Woods (TX),9,4,83.27,
380,Fairfield-Ludlowe (CT),5,2,83.24,
381,Worthington Kilbourne (OH),5,5,83.24,
382,Gerstell Academy (MD),1,2,83.24,
383,Neenah (WI),4,0,83.22,
384,Kellenberg Memorial (NY),3,6,83.22,
385,Hammond School (SC),1,0,83.21,
386,Council Rock South (PA),4,2,83.2,
387,Devon Prep (PA),8,2,83.19,
388,Cherokee (NJ),1,3,83.19,
389,Woodstock (GA),9,5,83.18,
390,Xaverian Brothers (MA),4,4,83.17,
391,Sparta (NJ),4,1,83.13,
392,Seattle Prep (WA),10,5,83.13,
393,Conestoga (PA),7,4,83.1,
394,Tatnall School (DE),3,3,83.1,
395,BB&N (MA),3,5,83.1,
396,Victor (NY),5,2,83.09,
397,Palmyra-Macedon (NY),1,0,83.02,
398,Moses Brown (RI),4,1,83.0,
399,Crestwood (PA),1,0,82.97,
400,Sts Peter & Paul (MD),8,3,82.96,
401,Mepham (NY),0,2,82.96,
402,Westhampton Beach (NY),6,4,82.95,
403,Libertyville (IL),2,0,82.92,
404,Caravel Academy (DE),3,0,82.91,
405,Lake Travis (TX),11,4,82.91,
406,Plainedge (NY),1,1,82.91,
407,Norwell (MA),4,2,82.89,
408,Pine Richland (PA),6,4,82.89,
409,Easton (MD),0,1,82.89,
410,Cathedral Catholic (CA),2,4,82.88,
411,Havre De Grace (MD),0,1,82.86,
412,Sachem East (NY),3,5,82.85,
413,Charlotte Country Day (NC),9,5,82.84,
414,Islip (NY),4,4,82.84,
415,Columbia (NJ),2,3,82.82,
416,South Fork Unified (NY),6,4,82.81,
417,Conard-West Hartford (CT),6,1,82.78,
418,Hunterdon Central (NJ),0,2,82.78,
419,Liverpool (NY),0,2,82.78,
420,Ardrey Kell (NC),14,2,82.77,
421,Boston College HS (MA),5,1,82.77,
422,Monarch (CO),0,1,82.76,
423,Benilde St. Margaret (MN),2,0,82.73,
424,Lancaster (NY),2,0,82.73,
425,Longmeadow (MA),7,1,82.71,
426,Baldwinsville (NY),3,2,82.71,
427,Lynbrook (NY),1,1,82.7,
428,Marist (GA),10,4,82.69,
429,Oak Hall (FL),9,3,82.65,
430,Central Philadelphia (PA),5,0,82.62,
431,Hillsborough (NJ),0,1,82.6,
432,Frederick Gunn School (CT),3,3,82.58,
433,Mount Sinai (NY),3,7,82.58,
434,Scotch Plains Fanwood (NJ),0,5,82.58,
435,Glen Allen (VA),1,0,82.57,
436,IMG Academy (FL),4,7,82.57,
437,Commack (NY),6,4,82.56,
438,St George's (RI),3,5,82.55,
439,Wheaton Academy (IL),2,3,82.54,
440,Reading (MA),6,1,82.53,
441,Rutgers Prep (NJ),0,2,82.5,
442,Madison (NJ),4,2,82.48,
443,Emmaus (PA),4,0,82.45,
444,Glen Rock (NJ),3,3,82.42,
445,Coronado (CA),1,3,82.42,
446,Cherokee Trail (CO),0,3,82.42,
447,St Mark's School (MA),3,5,82.37,
448,Cape Elizabeth (ME),3,1,82.35,
449,North Haven (CT),2,3,82.34,
450,St Christopher's (VA),3,8,82.34,
451,Carlsbad (CA),9,4,82.33,
452,John Glenn - Elwood (NY),6,3,82.33,
453,Briarcrest Christian (TN),10,2,82.32,
454,Vandegrift (TX),9,6,82.32,
455,Glen Ridge (NJ),3,4,82.28,
456,Penfield (NY),0,3,82.27,
457,Community-Naples (FL),1,2,82.23,
458,Denver East (CO),0,2,82.21,
459,Babylon (NY),5,2,82.2,
460,New Trier (IL),6,3,82.2,
461,St Joseph Metuchen (NJ),3,4,82.18,
462,Franklin (MA),5,0,82.14,
463,Fallston (MD),3,4,82.12,
464,Queensbury (NY),2,0,82.11,
465,St Thomas Aquinas (NH),3,0,82.11,
466,Schuylerville (NY),5,1,82.11,
467,Baylor School (TN),10,4,82.09,
468,Irondequoit (NY),6,1,82.08,
469,Needham (MA),4,4,82.08,
470,Oxbridge Academy (FL),8,4,82.06,
471,Farmington (UT),1,0,82.03,
472,J Serra Catholic (CA),1,1,82.03,
473,Gulliver Prep (FL),17,2,82.02,
474,Detroit Catholic Central (MI),6,1,82.02,
475,Rockwall (TX),9,3,82.01,
476,Marist (IL),3,0,81.97,
477,Herndon (VA),1,0,81.94,
478,St Stephen St Agnes (VA),4,12,81.94,
479,Mansfield (MA),7,1,81.93,
480,TMI Episcopal (TX),12,2,81.92,
481,Hill Academy II (ON),1,3,81.91,
482,Nichols (NY),4,1,81.9,
483,Apex Friendship (NC),11,4,81.9,
484,New Hyde Park (NY),0,1,81.9,
485,Sayville (NY),5,5,81.89,
486,Walpole (MA),5,0,81.88,
487,Bishop Verot (FL),11,1,81.87,
488,Lakeland/Panas (NY),2,5,81.87,
489,Watchung Hills (NJ),0,1,81.86,
490,Mill Creek (GA),2,2,81.84,
491,Boyertown (PA),1,3,81.84,
492,Hauppauge (NY),5,6,81.82,
493,Scarsdale (NY),4,5,81.82,
494,Western Reserve II (OH),3,1,81.8,
495,Glastonbury (CT),1,3,81.78,
496,Somerville (NJ),0,3,81.78,
497,Lovejoy (TX),12,2,81.77,
498,Howard (MD),8,2,81.77,
499,Annapolis (MD),1,0,81.76,
500,Londonderry (NH),2,1,81.75,
