index,team,record,rpi,projections,1st,2nd,3rd,sos,vs_1-5,vs_6-10,vs_11-20,vs_21+,gender,division
21,Mount Olive,13-3,0.5935,,0.8125,0.5336,0.4941,35,0 - 0,0 - 0,1 - 2,12 - 1,girls,D2
22,Wingate,12-4,0.5864,,0.75,0.538,0.5196,16,0 - 1,0 - 0,1 - 2,11 - 1,girls,D2
23,Bentley,8-4,0.5825,,0.6667,0.5528,0.558,25,0 - 2,0 - 1,0 - 1,8 - 0,girls,D2
24,Frostburg State,8-5,0.5822,,0.6154,0.604,0.5054,35,0 - 1,0 - 1,0 - 2,8 - 1,girls,D2
25,Bloomsburg,8-3,0.5812,,0.7273,0.5219,0.5538,48,0 - 1,0 - 1,1 - 0,7 - 1,girls,D2
26,Lander,7-6,0.5743,,0.5385,0.6164,0.5259,17,0 - 0,0 - 1,0 - 3,7 - 2,girls,D2
27,New Haven,7-4,0.5694,,0.6364,0.5627,0.5156,56,0 - 1,0 - 0,0 - 0,7 - 3,girls,D2
28,Assumption,7-5,0.5682,,0.5833,0.5671,0.5552,26,0 - 1,0 - 1,1 - 0,6 - 3,girls,D2
29,Seton Hill,8-4,0.5676,,0.6667,0.5364,0.5309,45,0 - 0,0 - 2,1 - 2,7 - 0,girls,D2
30,Florida Tech,7-9,0.5648,,0.4375,0.634,0.5539,2,0 - 1,0 - 3,0 - 4,7 - 1,girls,D2
31,Colorado Mesa,7-4,0.5612,,0.6364,0.5454,0.5174,66,0 - 2,0 - 1,0 - 1,7 - 0,girls,D2
32,Alabama Huntsville,10-6,0.5566,,0.625,0.5258,0.5498,9,0 - 2,0 - 2,1 - 2,9 - 0,girls,D2
33,Rockhurst,8-6,0.5535,,0.5714,0.5666,0.5094,29,0 - 2,0 - 1,1 - 1,7 - 2,girls,D2
34,Missouri Western,8-6,0.5535,,0.5714,0.5577,0.527,27,0 - 2,0 - 1,0 - 2,8 - 1,girls,D2
35,Anderson SC,13-2,0.5505,,0.8667,0.4241,0.4872,77,0 - 0,0 - 0,0 - 1,13 - 1,girls,D2
36,Mercy,6-8,0.5494,,0.4286,0.6199,0.5291,8,0 - 3,0 - 2,0 - 0,6 - 3,girls,D2
37,Shepherd,5-6,0.5466,,0.4545,0.5921,0.5478,29,0 - 1,0 - 1,0 - 1,5 - 3,girls,D2
38,Lee,7-7,0.5427,,0.5,0.5588,0.5533,13,0 - 1,0 - 1,0 - 3,7 - 2,girls,D2
39,Roberts Wesleyan,8-5,0.5427,,0.6154,0.5285,0.4983,40,0 - 2,0 - 1,0 - 1,8 - 1,girls,D2
40,Wilmington,9-3,0.5395,,0.75,0.4693,0.4696,86,0 - 0,0 - 0,0 - 1,9 - 2,girls,D2
41,Ashland,10-6,0.5366,,0.625,0.5175,0.4862,34,0 - 2,0 - 0,0 - 2,10 - 2,girls,D2
42,Saint Anselm,8-5,0.5341,,0.6154,0.4835,0.5539,38,0 - 0,0 - 1,0 - 1,8 - 3,girls,D2
43,Dominican (NY),9-2,0.5295,,0.8182,0.4176,0.4648,94,0 - 0,0 - 1,0 - 0,9 - 1,girls,D2
44,Quincy,6-9,0.5263,,0.4,0.5933,0.5188,20,0 - 2,0 - 0,0 - 2,6 - 5,girls,D2
45,Belmont Abbey,11-5,0.526,,0.6875,0.4629,0.4907,56,0 - 0,0 - 0,0 - 3,11 - 2,girls,D2
46,Young Harris,9-7,0.5228,,0.5625,0.5299,0.4688,53,0 - 0,0 - 0,0 - 2,9 - 5,girls,D2
47,Davenport,5-5,0.52,,0.5,0.5477,0.4845,80,0 - 0,0 - 0,0 - 2,5 - 3,girls,D2
48,Walsh,9-5,0.5193,,0.6429,0.4699,0.4947,61,0 - 1,0 - 0,0 - 2,9 - 2,girls,D2
49,Georgian Court,8-5,0.5156,,0.6154,0.479,0.4891,78,0 - 1,0 - 0,0 - 0,8 - 4,girls,D2
50,Southern NH,3-7,0.5096,,0.3,0.6129,0.5127,47,0 - 1,0 - 0,0 - 2,3 - 4,girls,D2
51,Newberry,9-6,0.5075,,0.6,0.471,0.4881,55,0 - 0,0 - 1,0 - 1,9 - 4,girls,D2
52,Bridgeport,9-3,0.5057,,0.75,0.4219,0.4291,102,0 - 0,0 - 0,0 - 0,9 - 3,girls,D2
53,UVA Wise,8-7,0.5025,,0.5333,0.4959,0.4847,46,0 - 0,0 - 0,0 - 2,8 - 5,girls,D2
54,Westminster (UT),4-5,0.4953,,0.4444,0.5093,0.5183,72,0 - 0,0 - 2,0 - 1,4 - 2,girls,D2
55,Concordia St. Paul,6-8,0.4921,,0.4286,0.5106,0.5187,42,0 - 2,0 - 0,0 - 1,6 - 5,girls,D2
56,Millersville,3-8,0.485,,0.2727,0.5674,0.5327,39,0 - 1,0 - 1,0 - 2,3 - 4,girls,D2
57,Molloy,6-7,0.4834,,0.4615,0.4734,0.5253,50,0 - 0,0 - 0,0 - 2,6 - 5,girls,D2
58,Southern Connecticut,7-5,0.4833,,0.5833,0.4314,0.4873,84,0 - 0,0 - 1,0 - 0,7 - 4,girls,D2
59,Montevallo,3-10,0.4812,,0.2308,0.5866,0.5209,11,0 - 0,0 - 1,0 - 5,3 - 4,girls,D2
60,Palm Beach Atlantic,3-11,0.4811,,0.2143,0.5774,0.5555,4,0 - 1,0 - 2,0 - 4,3 - 4,girls,D2
61,Shippensburg,2-10,0.48,,0.1667,0.6059,0.5415,14,0 - 1,0 - 2,0 - 1,2 - 6,girls,D2
62,Findlay,9-6,0.4793,,0.6,0.4246,0.4683,79,0 - 1,0 - 0,0 - 1,9 - 4,girls,D2
63,Lincoln Memorial,5-10,0.4782,,0.3333,0.5411,0.4972,18,0 - 0,0 - 1,0 - 3,5 - 6,girls,D2
64,D'Youville,5-9,0.4763,,0.3571,0.5303,0.4874,51,0 - 0,0 - 0,0 - 2,5 - 7,girls,D2
65,Lewis,6-7,0.4752,,0.4615,0.465,0.5092,56,0 - 0,0 - 0,0 - 2,6 - 5,girls,D2
66,Emmanuel (GA),11-4,0.4737,,0.7333,0.3458,0.47,93,0 - 0,0 - 0,0 - 0,11 - 4,girls,D2
67,Mercyhurst,2-9,0.4726,,0.1818,0.5977,0.5133,44,0 - 1,0 - 0,0 - 4,2 - 4,girls,D2
68,Barton,6-10,0.4709,,0.375,0.5265,0.4554,51,0 - 0,0 - 1,0 - 0,6 - 9,girls,D2
69,UC Colorado Springs,4-7,0.4706,,0.3636,0.5101,0.4985,68,0 - 0,0 - 2,0 - 0,4 - 5,girls,D2
70,Charleston (WV),8-5,0.4704,,0.6154,0.4159,0.4343,95,0 - 0,0 - 0,0 - 0,8 - 5,girls,D2
71,Jefferson,4-6,0.4689,,0.4,0.4976,0.4804,81,0 - 1,0 - 0,0 - 1,4 - 4,girls,D2
72,Indiana (PA),5-7,0.4655,,0.4167,0.4585,0.5285,62,0 - 0,0 - 0,0 - 2,5 - 5,girls,D2
73,Notre Dame (OH),3-9,0.4589,,0.25,0.5516,0.4823,64,0 - 1,0 - 0,0 - 1,3 - 7,girls,D2
74,McKendree,7-8,0.4581,,0.4667,0.418,0.5299,41,0 - 1,0 - 0,0 - 1,7 - 6,girls,D2
75,Franklin Pierce,4-8,0.4568,,0.3333,0.4846,0.5248,49,0 - 1,0 - 0,0 - 0,4 - 7,girls,D2
76,Lenoir-Rhyne,4-10,0.449,,0.2857,0.5085,0.4934,33,0 - 0,0 - 1,0 - 1,4 - 8,girls,D2
77,Converse,8-7,0.4479,,0.5333,0.4063,0.4456,90,0 - 0,0 - 0,0 - 0,8 - 7,girls,D2
78,Saint Michael's,1-7,0.4464,,0.125,0.5772,0.5061,62,0 - 1,0 - 1,0 - 0,1 - 5,girls,D2
79,Chowan,4-6,0.4457,,0.4,0.4758,0.4313,96,0 - 0,0 - 0,0 - 0,4 - 6,girls,D2
80,Shorter,1-8,0.4441,,0.1111,0.5852,0.4948,60,0 - 0,0 - 1,0 - 2,1 - 5,girls,D2
81,Gannon,4-8,0.4338,,0.3333,0.4606,0.4805,71,0 - 0,0 - 0,0 - 2,4 - 6,girls,D2
82,Davis & Elkins,8-4,0.4297,,0.6667,0.3237,0.405,109,0 - 0,0 - 0,0 - 0,8 - 4,girls,D2
83,North Greenville,4-13,0.4234,,0.2353,0.4845,0.4893,35,0 - 0,0 - 1,0 - 2,4 - 10,girls,D2
84,Holy Family,4-9,0.4143,,0.3077,0.4341,0.4813,69,0 - 0,0 - 1,0 - 0,4 - 8,girls,D2
85,Daemen,4-9,0.4109,,0.3077,0.4443,0.4474,76,0 - 0,0 - 0,0 - 1,4 - 8,girls,D2
86,Tusculum,5-10,0.4088,,0.3333,0.3961,0.5099,59,0 - 0,0 - 0,0 - 1,5 - 9,girls,D2
87,Saint Rose,2-6,0.4086,,0.25,0.4497,0.4849,83,0 - 0,0 - 1,0 - 0,2 - 5,girls,D2
88,American International,1-8,0.4051,,0.1111,0.5029,0.5035,70,0 - 1,0 - 1,0 - 0,1 - 6,girls,D2
89,Fort Lewis,2-8,0.4014,,0.2,0.4602,0.4854,82,0 - 0,0 - 1,0 - 0,2 - 7,girls,D2
90,Post University,4-6,0.4002,,0.4,0.3955,0.4098,104,0 - 0,0 - 0,0 - 0,4 - 6,girls,D2
91,Virginia State,5-6,0.3945,,0.4545,0.3578,0.4078,106,0 - 0,0 - 0,0 - 0,5 - 6,girls,D2
92,Dominican (CA),2-6,0.3854,,0.25,0.3947,0.5021,92,0 - 0,0 - 1,0 - 0,2 - 5,girls,D2
93,Catawba,3-11,0.3791,,0.2143,0.4169,0.4684,74,0 - 0,0 - 0,0 - 1,3 - 10,girls,D2
94,Edinboro,2-10,0.3781,,0.1667,0.4547,0.4364,88,0 - 0,0 - 0,0 - 2,2 - 8,girls,D2
95,Thomas More,1-12,0.3777,,0.0769,0.4932,0.4473,75,0 - 0,0 - 0,0 - 1,1 - 11,girls,D2
96,William Jewell,0-11,0.3748,,0.0,0.4984,0.5025,65,0 - 1,0 - 0,0 - 2,0 - 8,girls,D2
97,Lake Erie,5-9,0.3736,,0.3571,0.3628,0.4115,97,0 - 0,0 - 0,0 - 0,5 - 9,girls,D2
98,Tiffin,6-8,0.3733,,0.4286,0.3196,0.4255,99,0 - 0,0 - 0,0 - 0,6 - 8,girls,D2
99,CSU Pueblo,2-9,0.3698,,0.1818,0.4155,0.4665,89,0 - 0,0 - 1,0 - 0,2 - 8,girls,D2
100,Mars Hill,2-11,0.359,,0.1538,0.4127,0.4566,85,0 - 0,0 - 0,0 - 0,2 - 11,girls,D2
101,Caldwell,2-7,0.3569,,0.2222,0.4012,0.4028,105,0 - 0,0 - 0,0 - 0,2 - 7,girls,D2
102,Emory & Henry,0-13,0.3466,,0.0,0.4842,0.4182,87,0 - 0,0 - 0,0 - 1,0 - 12,girls,D2
103,St. Thomas Aquinas,4-8,0.3427,,0.3333,0.2985,0.4407,100,0 - 0,0 - 0,0 - 0,4 - 8,girls,D2
104,Southern Wesleyan,1-15,0.3257,,0.0625,0.3924,0.4554,91,0 - 0,0 - 0,0 - 0,1 - 15,girls,D2
105,Ursuline,0-8,0.3091,,0.0,0.4182,0.4001,103,0 - 0,0 - 0,0 - 0,0 - 8,girls,D2
106,Malone,2-11,0.3065,,0.1538,0.3175,0.4373,98,0 - 0,0 - 0,0 - 0,2 - 11,girls,D2
107,Chestnut Hill,1-9,0.3056,,0.1,0.3643,0.3936,107,0 - 0,0 - 0,0 - 0,1 - 9,girls,D2
108,Felician,2-9,0.3046,,0.1818,0.3165,0.4033,108,0 - 0,0 - 0,0 - 0,2 - 9,girls,D2
109,West Virginia Wesleyan,3-8,0.3032,,0.2727,0.2606,0.4188,110,0 - 0,0 - 0,0 - 0,3 - 8,girls,D2
110,Lees-McRae,0-11,0.2975,,0.0,0.3779,0.4343,101,0 - 0,0 - 0,0 - 0,0 - 11,girls,D2
111,District of Columbia,0-10,0.2558,,0.0,0.316,0.391,111,0 - 0,0 - 0,0 - 0,0 - 10,girls,D2
