index,Team,Record,RPI,Projections,1st,2nd,3rd,SOS,vs 1-5,vs 6-10,vs 11-20,vs 21+
135,Lebanon Valley,6-7,0.4801,,0.4615,0.4886,0.4816,153,0 - 0,0 - 0,0 - 0,59 - 67
136,Bridgewater,4-10,0.4800,,0.2857,0.5538,0.5268,80,0 - 1,0 - 1,1 - 15,45 - 41
137,Goucher,8-6,0.4795,,0.5714,0.4428,0.4610,133,0 - 0,0 - 0,0 - 0,44 - 66
138,Capital,5-8,0.4792,,0.3846,0.5117,0.5087,158,0 - 0,0 - 0,2 - 0,73 - 42
139,SUNY New Paltz,4-7,0.4782,,0.3636,0.5470,0.4552,180,0 - 0,0 - 0,0 - 0,16 - 33
140,Montclair State,4-7,0.4774,,0.3636,0.4982,0.5498,26,1 - 10,6 - 6,0 - 3,73 - 34
141,Kalamazoo,4-6,0.4769,,0.4000,0.4994,0.5087,130,0 - 0,0 - 0,0 - 7,27 - 54
142,Norwich,9-5,0.4761,,0.6429,0.3995,0.4624,210,0 - 0,0 - 1,0 - 0,87 - 47
143,Morrisville,4-7,0.4755,,0.3636,0.5466,0.4451,103,0 - 2,0 - 0,0 - 0,47 - 38
144,Keuka,5-4,0.4733,,0.5556,0.4478,0.4421,182,0 - 0,0 - 0,0 - 0,26 - 40
145,Plattsburgh,4-8,0.4731,,0.3333,0.5553,0.4485,26,1 - 13,0 - 1,0 - 0,38 - 48
146,Brockport,3-9,0.4728,,0.2500,0.5629,0.5155,109,0 - 1,0 - 0,0 - 0,36 - 47
147,Northwestern St. Paul,3-4,0.4723,,0.4286,0.5056,0.4493,192,0 - 0,0 - 0,0 - 2,21 - 42
148,Widener,4-8,0.4699,,0.3333,0.5258,0.4947,49,0 - 3,2 - 9,0 - 0,62 - 57
149,Benedictine,4-8,0.4650,,0.3333,0.5080,0.5107,106,0 - 0,0 - 0,1 - 9,62 - 47
150,Hood,6-7,0.4640,,0.4615,0.4565,0.4814,159,0 - 0,0 - 0,0 - 0,58 - 62
151,Sage,5-7,0.4632,,0.4167,0.4686,0.4990,173,0 - 0,0 - 0,0 - 0,18 - 44
152,MSOE,6-6,0.4611,,0.5000,0.4324,0.4795,136,0 - 0,0 - 0,0 - 4,54 - 54
153,Rivier,7-6,0.4608,,0.5385,0.4222,0.4603,227,0 - 0,0 - 0,0 - 0,67 - 45
154,Eastern Connecticut,4-9,0.4597,,0.3077,0.5360,0.4592,162,0 - 0,0 - 0,0 - 2,53 - 63
155,Augustana,2-7,0.4552,,0.2222,0.5604,0.4776,106,0 - 0,0 - 0,1 - 10,54 - 55
156,Maine Maritime,6-3,0.4548,,0.6667,0.3383,0.4760,228,0 - 0,0 - 0,0 - 0,35 - 42
157,Manhattanville,6-7,0.4545,,0.4615,0.4454,0.4658,205,0 - 0,0 - 1,0 - 0,43 - 68
158,Southwestern,2-12,0.4529,,0.1429,0.5720,0.5250,128,0 - 0,0 - 2,0 - 4,47 - 41
159,Hartwick,3-7,0.4526,,0.3000,0.5134,0.4837,146,0 - 0,0 - 0,0 - 0,36 - 47
160,LaGrange,5-8,0.4524,,0.3846,0.4791,0.4668,207,0 - 0,0 - 0,0 - 0,19 - 35
161,Clark,4-8,0.4517,,0.3333,0.4818,0.5100,67,0 - 2,0 - 0,3 - 7,46 - 48
162,Hendrix,5-9,0.4511,,0.3571,0.4710,0.5050,162,0 - 0,0 - 0,1 - 0,31 - 54
163,SUNY Delhi,9-3,0.4494,,0.7500,0.3090,0.4294,233,0 - 0,0 - 0,0 - 0,34 - 31
164,Lycoming,3-7,0.4460,,0.3000,0.4981,0.4880,139,0 - 0,0 - 0,0 - 0,47 - 78
165,Immaculata,7-5,0.4437,,0.5833,0.3751,0.4415,166,0 - 0,0 - 0,0 - 0,37 - 76
166,University of New England,3-12,0.4404,,0.2000,0.5409,0.4797,95,0 - 0,0 - 0,0 - 10,58 - 63
167,Emmanuel (MA),5-9,0.4403,,0.3571,0.4761,0.4517,185,0 - 0,0 - 2,0 - 0,52 - 69
168,Penn College,7-7,0.4402,,0.5000,0.4119,0.4372,209,0 - 0,0 - 0,0 - 0,26 - 23
169,Methodist,8-5,0.4394,,0.6154,0.3509,0.4405,151,0 - 1,0 - 1,1 - 0,44 - 43
170,Neumann,8-5,0.4392,,0.6154,0.3449,0.4517,161,0 - 0,0 - 0,0 - 0,53 - 69
171,Coast Guard,2-9,0.4379,,0.1818,0.5327,0.5042,46,2 - 4,0 - 1,4 - 10,47 - 37
172,Carroll,6-5,0.4375,,0.5455,0.3785,0.4474,120,0 - 0,0 - 0,0 - 8,14 - 68
173,Franciscan,9-5,0.4370,,0.6429,0.3354,0.4344,152,0 - 0,0 - 0,0 - 4,29 - 57
174,Edgewood,5-9,0.4367,,0.3571,0.4677,0.4542,214,0 - 0,0 - 0,0 - 0,15 - 37
175,Mount St. Vincent,5-6,0.4333,,0.4545,0.4414,0.3957,212,0 - 0,0 - 0,0 - 0,21 - 66
176,Oglethorpe,4-9,0.4328,,0.3077,0.4780,0.4675,174,0 - 0,0 - 0,0 - 0,21 - 54
177,Hanover,6-8,0.4311,,0.4286,0.4416,0.4127,156,0 - 0,0 - 0,1 - 1,58 - 62
178,Curry,3-11,0.4307,,0.2143,0.5049,0.4986,101,0 - 0,0 - 0,1 - 10,48 - 71
179,Mount Union,5-8,0.4287,,0.3846,0.4521,0.4260,171,0 - 0,0 - 0,0 - 2,46 - 59
180,Utica,4-9,0.4286,,0.3077,0.4552,0.4964,142,0 - 1,0 - 0,0 - 0,44 - 64
181,SUNY Poly,6-5,0.4270,,0.5455,0.3811,0.4001,201,0 - 1,0 - 0,0 - 0,41 - 36
182,Gwynedd-Mercy,5-7,0.4244,,0.4167,0.4097,0.4616,167,0 - 0,0 - 0,0 - 0,55 - 58
183,Trine,6-6,0.4241,,0.5000,0.3646,0.4671,105,0 - 0,0 - 0,0 - 9,55 - 39
184,Albright,5-8,0.4185,,0.3846,0.3955,0.4984,118,0 - 0,0 - 3,0 - 1,43 - 75
185,Northland,3-7,0.4175,,0.3000,0.4714,0.4271,172,0 - 0,0 - 0,0 - 2,20 - 54
186,SUNY Canton,6-4,0.4168,,0.6000,0.3190,0.4293,196,0 - 0,0 - 0,0 - 0,29 - 50
187,Castleton,3-10,0.4126,,0.2308,0.4905,0.4386,144,0 - 2,0 - 0,0 - 0,34 - 84
188,Southern Maine,5-8,0.4117,,0.3846,0.4131,0.4359,198,0 - 0,0 - 0,0 - 0,36 - 70
189,Regis,5-6,0.4087,,0.4545,0.3881,0.4039,221,0 - 0,0 - 0,0 - 0,22 - 61
190,Greensboro,5-7,0.4081,,0.4167,0.3828,0.4500,137,0 - 1,0 - 0,0 - 0,40 - 46
191,Cornell (IA),4-7,0.4034,,0.3636,0.3970,0.4559,184,0 - 0,0 - 0,0 - 1,27 - 65
192,Hiram,4-8,0.4031,,0.3333,0.4189,0.4410,127,0 - 0,0 - 0,0 - 5,27 - 60
193,Elms,5-6,0.3917,,0.4545,0.3508,0.4106,239,0 - 0,0 - 0,0 - 0,5 - 6
194,Thiel,3-8,0.3892,,0.2727,0.4422,0.3997,170,0 - 0,0 - 0,0 - 4,42 - 44
195,New England College,3-9,0.3853,,0.2500,0.4168,0.4574,168,0 - 1,0 - 1,0 - 2,49 - 60
196,Alvernia,4-8,0.3852,,0.3333,0.3731,0.4614,157,0 - 0,0 - 0,0 - 0,20 - 91
197,Wilkes,4-9,0.3846,,0.3077,0.3862,0.4584,194,0 - 0,0 - 0,0 - 0,36 - 72
198,Delaware Valley,4-9,0.3843,,0.3077,0.3943,0.4410,135,0 - 0,0 - 3,0 - 0,43 - 78
199,Keystone,6-7,0.3834,,0.4615,0.3493,0.3735,200,0 - 0,0 - 0,0 - 0,8 - 78
200,King's,1-9,0.3822,,0.1000,0.4983,0.4323,164,0 - 0,0 - 0,0 - 0,28 - 87
201,Marian,2-8,0.3811,,0.2000,0.4308,0.4628,190,0 - 0,0 - 0,0 - 1,33 - 40
202,Fairleigh Dickinson,1-11,0.3797,,0.0833,0.4954,0.4446,140,0 - 0,0 - 0,0 - 0,39 - 75
203,Juniata,2-11,0.3787,,0.1538,0.4573,0.4466,211,0 - 0,0 - 0,0 - 0,6 - 37
204,Averett,2-11,0.3775,,0.1538,0.4539,0.4482,143,0 - 0,0 - 0,0 - 4,13 - 40
205,Cairn,3-7,0.3721,,0.3000,0.4004,0.3876,235,0 - 0,0 - 0,0 - 0,12 - 26
206,Huntingdon,3-10,0.3719,,0.2308,0.4124,0.4319,202,0 - 0,0 - 0,0 - 0,26 - 61
207,Heidelberg,4-9,0.3716,,0.3077,0.3865,0.4059,197,0 - 0,0 - 0,0 - 0,22 - 76
