Rank,Club,Rating,Link
151,ESLC Pirates 2025,84.13,
152,Reign '24-'25 Rise,84.12,
153,Nor'easter 2025 Power,84.05,
154,Phantastix 2025 West,84.01,
155,Mad Dog NJ North 2025 Black,83.8,
156,Triple Threat Elite 2025 Steel,83.8,
157,GRIT Austin 2025,83.56,
158,Ultimate NC 2025 Blue,83.53,
159,Monster Elite 2025 Orange,83.36,
160,Bay Area 2025,83.18,
161,Pride 2025 Chestnut,83.04,
162,True Pittsburg 2025,82.9,
163,Nor'easter 2025,82.83,
164,Florida Shine Elite 2025,82.81,
165,Gold Coast 2025 Black,82.7,
166,Coast 2025 Elite,82.59,
167,Ultimate PA 2025,82.59,
168,Gold Coast 2025 Silver,82.56,
169,MFL 2025 Blue,82.52,
170,STARS 2025 Blue,82.22,
171,Blue Devils 2025,82.05,
172,Rebels 2025,81.92,
173,Sidewinders 2025,81.78,
174,Renegades 2025,81.62,
175,DEWLAX 2025 BLUE,81.6,
176,Dynasty Elite 2025 Victor,81.59,
177,TLC 2025 White,81.51,
178,DEWLAX 2025 ORANGE,81.46,
179,Pride 2025 White,81.37,
180,Virginia One 2025 White,81.28,
181,Coppermine North 2025 Blue,81.24,
182,GRIT Houston 2025,81.22,
183,ADK 2025,81.13,
184,REV 2025 Blue,80.89,
185,Belles 2025,80.86,
186,VA Metro 2025,80.8,
187,TNLAX 2025,80.71,
188,Lax Maniax 2025 White,80.59,
189,DEWLAX 2025 BO,80.53,
190,Rebels 2025 Black,80.53,
191,Coppermine 2025 Blue,80.23,
192,True PA Valley 2025 Black,80.19,
193,Lotus 2025,79.6,
194,Circle City 2025 Titanium,79.44,
195,HOCO 2025 Pink,79.4,
196,Xtreme Lax Factory Elite 2025,79.14,
197,True CA Attack 2025,78.99,
198,Mid Penn Blaze 25-26,78.6,
199,Pride 2025 Cavalier,78.51,
200,Empress 2025,78.47,
201,Lady Ballers 2025,78.35,
202,No Excuse 2025,78.34,
203,Resolute 2025 Black,78.14,
204,Dynamite 2025 Black,78.11,
205,Fundamentals LC 2025,77.72,
206,3D Virginia 2025,77.52,
207,CLC 2025 Bold,77.33,
208,Jersey Thunder Bolt 2025,77.15,
209,PA Express 2025,76.69,
210,LI Jesters 2025 Pink,76.51,
