Rank,Club,Rating,Link
89,Laxachusetts 2024 Green,84.2,
90,NH Tomahawks 2024 Gold,84.17,
91,ALC Bay Raiders 2024,84.04,
92,Eclipse 2024 Yellow A,83.64,
93,Arizona Outlaws 2024,83.63,
94,Looney's 2024 Green,83.51,
95,Team MN 2024,83.45,
96,Saltwater 2024,83.26,
97,Bucks Select 2024 Red,83.21,
98,True Florida 2024,83.2,
99,Laxachusetts 2024 White,82.85,
100,True Pittsburgh 2024,82.71,
101,Colorado Scorpions 2024,82.62,
102,Brotherhood 2024A,82.51,
103,RC Lacrosse 2024,82.36,
104,Omnia 2024,82.35,
105,Blue Star 2024 Navy,82.17,
106,Fusion 2024,82.1,
107,HEADstrong 2024,82.1,
108,3D Maryland 2024,82.01,
109,NJ Riot 2024 Rockland,81.83,
110,CT Valley 2024 Blue,81.65,
111,Ultimate Pittsburgh 2024 White,81.53,
112,Bucktown 2024,81.39,
113,3D New England 2024 Blue,81.38,
114,TEAM Lacrosse 2024,81.33,
115,FLC Elite 2024,81.29,
116,3D Texas 2024,81.23,
117,Patriot Elite 2024,81.15,
118,United 2024,81.07,
119,Ultimate 2024,80.99,
120,EMass Hawks 2024,80.87,
121,NXT 2024 Silver,80.83,
122,4Leaf 2024 Navy,80.76,
123,Piatelli Central 2024 AA,80.7,
124,Cavalier 2024,80.66,
125,Black Bear 2024,80.49,
126,HGR 2024 Blue,80.4,
127,True Baltimore 2024,80.35,
128,Team Maryland 2024,80.27,
129,Littlenecks 2024/2025,79.8,
130,Philadelphia Freedom 2024 White,79.78,
131,Sidewinders 2024 Volt,79.69,
132,DelCo 2024,79.35,
133,Team 91 NJ West 2024-2025,79.35,
134,2 Knights 2024,79.33,
135,DC Express 2024 Orange,79.25,
136,Summit Elite 2024 Blue,79.15,
137,Denver Elite 2024 Blue,79.1,
138,HOCO 2024,79.04,
139,Kings 2024 Green,78.99,
140,Arsenal 2024/25,78.71,
141,True Maryland 2024,78.69,
142,Rising Sons 2024,78.56,
143,Next Level 2024 Red,78.53,
144,Harlem Boston 2024,78.46,
145,Rainier Royals 2024,78.39,
146,Gaffer Elite 2024,78.32,
147,Cape Cod Kings 2024-25,77.99,
148,Penguins 2024 Orange,77.81,
149,Zingos 2024 Black,77.75,
150,Thundercanes 2024 Orange,77.58,
151,Seven Hills 2024,77.52,
152,Team 91 Colorado 2024,76.93,
153,Northside Hustle 2024,76.83,
154,Blue Label 2024,76.7,
155,3D Colorado 2024 Scorpions,76.36,
156,Brady's Bunch 2024,76.33,
157,Falcons 2024,76.18,
158,Sixers 2024,75.65,
159,Team 91 NJ South 2024,75.44,
160,EMass Hawks 2024/25,75.42,
161,Catamount 2024,75.03,
162,MDX-R North 24/25,75.01,
163,Dukes Young Guns 2024,74.73,
164,Patriot Stars 2024,74.33,
165,Blak Widow 2024,74.27,
166,HGR 2024 Green,73.86,
167,True Colorado 2024,73.11,
168,Cold Brook 2024/25,71.12,
--,3D NE South 2024,--,
--,Annapolis Hawks 2024-2025,--,
--,BBL Helix 2024,--,
--,Blue Star 2024 Blue,--,
--,Dukes National 2024,--,
--,Express North 2024 Lawrence,--,
--,Harvest 2024,--,
--,Headstrong Lehigh Valley 2024,--,
--,Tribal 2024 SJ,--,
--,L4 Select 2024,--,
--,Lax Mafia 2024 National,--,
--,Legends National 2024,--,
--,Team Eighteen 2024,--,
--,MDX-R 2024 Red,--,
--,NJ Riot 2024 Mayhem,--,
--,PA Roughriders 2024,--,
--,Piatelli Pioneer 2024 AA,--,
--,Predators 2024,--,
--,Rhino National 2024,--,
--,Rising Sons 2024 White,--,
--,Rock 2024,--,
--,Team MN 2024,--,
--,True Elite 2024,--,
--,True National 2024 Black,--,
--,True National 2024 Green,--,
--,True New Jersey 2024,--,
--,True Utah 2024 Black,--,
--,True Utah 2024 Green,--,
--,Yeti 2024 Blue,--,
--,Yeti 2024-2025 Black,--,
