Rank,Club,Rating,Link
78,Sound Lacrosse 2026,88.77,
79,Lucky Lax 2026,88.58,
80,Southern Zone 2026,88.58,
81,MC Elite 2026 Midnight,88.44,
82,Vortex Elite 2026,88.44,
83,GRIT Dallas 2026,88.42,
84,Urban Elite 2026,88.36,
85,BBL North 2026,88.32,
86,Team ONE Wildcat 2026,88.21,
87,YJ South 2026,88.1,
88,Renegades 2026,88.06,
89,Storm Select 2026,88.05,
90,Resolute 2026,87.97,
91,PPLC 2026,87.88,
92,LI Top Guns 2026 Purple,87.87,
93,Jersey Shore Select 2026 Blue,87.85,
94,Snipers Elite 2026,87.77,
95,Impact 2026,87.72,
96,Team 91 Long Island 2026 Tsunami,87.72,
97,Triumph 2026 National Premier,87.7,
98,Reign 2026,87.69,
99,Monster Elite 2026 White,87.65,
100,Phantastix 2026 West,87.62,
101,Check-Hers Elite 2026 Black,87.56,
102,Pride 2026 BLACK,87.37,
103,Mad Dog North NJ 2026 Black,87.31,
104,Relentless Hustle 2026,87.25,
105,GRIT Austin 2026,87.01,
106,Dynasty Elite 2026 Camo,86.97,
107,DEWLAX 26 CT,86.9,
108,Coppermine 2026 Black,86.85,
109,Ultimate CLT 2026 Blue,86.83,
110,Texas Nationals 2026,86.82,
111,LI Legacy 2026 White,86.69,
112,Denver Pride 2026,86.42,
113,MACLax 2026 Blue,86.37,
114,LI Jesters 2026 Blue,86.35,
115,STARS 2026 Light Blue,86.18,
116,Triple Threat Elite 2026,86.15,
117,Indy United 2026,86.14,
118,South Coast 2026,86.13,
119,DEWLAX 2026 Black,85.98,
120,Dynasty Elite 2026 Charlie,85.89,
121,M&D 2026 SHORE,85.74,
122,Next Level 2026 Blue,85.7,
123,Check Hers 2026 Black,85.52,
124,All Lax Select 2026,85.4,
125,Coast 2026 Elite,85.37,
126,M&D Shore 2026 Black,85.33,
127,Uproar 2026 Elite,85.3,
128,B12 Girls LAX 2026,85.21,
129,SJ Shamrocks 2026,85.04,
130,518 Excelerate 2026 Blue,84.97,
131,Belles 2026 Select,84.97,
132,Hero's 2026 White,84.97,
133,MFL 2026 Black,84.88,
134,Laxachusetts 2026 Yellow,84.85,
135,FLG Blue Devils 2026-2027,84.84,
136,Gold Coast 2026 Black,84.83,
137,Yellow Jackets Mid Atlantic 2026 Jiminez,84.82,
138,CLC 2026 Bold,84.78,
139,ADK Peak 2026,84.75,
140,Mad Dog North NJ 2026 Red,84.55,
141,Ultimate PA 2026,84.53,
142,Mass Elite 2026 White,84.52,
143,YJ North 2026 Berger,84.47,
144,Saltwater 2026/2027,84.42,
145,LI Jesters 2026 Pink,84.41,
146,Seattle Crash 2026,84.27,
147,Bluegrass Premier Select 2026,84.22,
148,Valley Heat 2026,84.22,
149,214LAX DALLAS 2026 VOLT,84.21,
150,Philly Blast 2026 Strength,84.17,
151,Pride 2026 White (Nova),84.09,
152,LA Select 2026,84.04,
153,CCLax 2026,84.0,
154,Minnesota Elite 2026,83.98,
155,Phantastix 2026 White,83.95,
156,TLC 2026 Gold,83.94,
157,3d New England 2026,83.86,
158,CT Sharks 2026,83.72,
159,Nor'easter 26 Grit,83.6,
160,Pride 2026 White,83.58,
161,Philadelphia Freedom White 2026,83.57,
162,Team 91 NJ 2026,83.49,
163,REV 2026 Black,83.46,
164,South Jersey Select 2026 Black,83.41,
165,Lax on Elite 2026,83.4,
166,GSE 2026,83.35,
167,DEWLAX 2026 Blue,83.27,
168,LI Empire 2026,83.04,
169,Integrity 2026 Blue,83.03,
170,Gold Coast 2026 White,83.02,
171,Atlanta Storm 2026 Orange,82.93,
172,Legends MD 2026,82.75,
173,Team 11 2026,82.63,
174,Ultimate NC 2026,82.57,
175,Empress 2026 Blue,82.44,
176,Pipeline Platinum Blue 2026,82.09,
177,AFA 2026,82.06,
178,True Pittsburgh 2026,81.83,
179,HGR 2026,81.65,
180,Lake Murray Rapids 2026/2027 Elite,81.58,
181,3Point 2026,81.54,
182,Team 91 Georgia 2026,81.52,
183,Ultimate NJ 26 White,81.49,
184,Maxim 2026 Teal,81.47,
185,Ultimate CC 2026,81.41,
186,Granite State Elite 2026,81.32,
187,Coppermine North 2026,81.23,
188,Rebels 2026,81.07,
189,Pure Advantage Premier 2026,81.06,
190,True Illinois State 2026,80.69,
191,FCA Upstate 2026,80.48,
192,Team Elevate 2026 Blue,80.4,
193,Virginia One 2026,80.11,
194,Big Fish 2026/2027,79.74,
195,REV 2026 Blue,79.63,
196,Lotus 2026,79.47,
197,HoCo 2026 Pink,79.11,
198,Metro Green 2026,79.1,
199,Jersey Thunder 2026,78.98,
200,Jersey Shore Select 2026 White,78.92,
201,MC Elite 2026 Carolina,78.89,
202,3d Virginia Metro 2026 Navy,78.79,
203,SOGO 2026,78.38,
204,Laxachusetts 2026 Navy,78.28,
205,MFL 2026 Blue,78.14,
206,Legacy Georgia 2026,78.1,
207,Second City 2026,77.93,
208,315 Elite 2026,77.9,
209,518 Excelerate 2026,77.86,
210,Phantoms LC 2026,77.85,
