rank,club,rating,link,class,season,gender,websource
--,Dynamite 2025 Red,--,,2025,2024,girls,insidelacrosse
--,Dynasty Elite 2025 Delta,--,,2025,2024,girls,insidelacrosse
--,Dynasty Elite 2025 Victor,--,,2025,2024,girls,insidelacrosse
--,Eagle Stix 2025 Blue,--,,2025,2024,girls,insidelacrosse
--,Eagle Stix 2025 Grey,--,,2025,2024,girls,insidelacrosse
--,ESLC Pirates 2025,--,,2025,2024,girls,insidelacrosse
--,Empress 2025,--,,2025,2024,girls,insidelacrosse
--,FCA Upstate NY 2025,--,,2025,2024,girls,insidelacrosse
--,FLG 2025 Elevate Blue,--,,2025,2024,girls,insidelacrosse
--,FLG Blue Devils 2025,--,,2025,2024,girls,insidelacrosse
--,Florida Select 2025,--,,2025,2024,girls,insidelacrosse
--,Florida Shine Elite 2025,--,,2025,2024,girls,insidelacrosse
--,Fusion Canada West 2025,--,,2025,2024,girls,insidelacrosse
--,GSE 2025,--,,2025,2024,girls,insidelacrosse
--,Georgia Lady Outlaws 2025 Pink,--,,2025,2024,girls,insidelacrosse
--,Gold Coast 2025 Black,--,,2025,2024,girls,insidelacrosse
--,Gold Coast 2025 GOLD,--,,2025,2024,girls,insidelacrosse
--,Gold Coast 2025 Silver,--,,2025,2024,girls,insidelacrosse
--,Gold Coast 2025 White,--,,2025,2024,girls,insidelacrosse
--,Gold Star 2025,--,,2025,2024,girls,insidelacrosse
--,Granite State Elite 2025,--,,2025,2024,girls,insidelacrosse
--,GRIT Austin 2025,--,,2025,2024,girls,insidelacrosse
--,GRIT Dallas 2025,--,,2025,2024,girls,insidelacrosse
--,GRIT Houston 2025,--,,2025,2024,girls,insidelacrosse
--,Headlines HS 2025,--,,2025,2024,girls,insidelacrosse
--,HEADstrong SJ Girls 2025,--,,2025,2024,girls,insidelacrosse
--,Hero's 2025 Green,--,,2025,2024,girls,insidelacrosse
--,Hero's 2025 White,--,,2025,2024,girls,insidelacrosse
--,HGR 2025 Green,--,,2025,2024,girls,insidelacrosse
--,Hill Academy 2025,--,,2025,2024,girls,insidelacrosse
--,HoCo 2025 Black,--,,2025,2024,girls,insidelacrosse
--,HOCO 2025 Pink,--,,2025,2024,girls,insidelacrosse
--,Hoco Girls 2025 Black,--,,2025,2024,girls,insidelacrosse
--,Hurricanes 2025 Black,--,,2025,2024,girls,insidelacrosse
--,Hurricanes 2025 Green,--,,2025,2024,girls,insidelacrosse
--,Hurricanes 2025/2026 Black,--,,2025,2024,girls,insidelacrosse
--,Hurricanes 2025/2026 Grey,--,,2025,2024,girls,insidelacrosse
--,IL I.D. Fire,--,,2025,2024,girls,insidelacrosse
--,IL I.D. Impact,--,,2025,2024,girls,insidelacrosse
--,IL I.D. Power,--,,2025,2024,girls,insidelacrosse
--,IL I.D. Stars,--,,2025,2024,girls,insidelacrosse
--,Impact 2025,--,,2025,2024,girls,insidelacrosse
--,Integrity 2025,--,,2025,2024,girls,insidelacrosse
--,Integrity 2025 Green,--,,2025,2024,girls,insidelacrosse
--,Inteprid 2024-2025,--,,2025,2024,girls,insidelacrosse
--,Jersey Shore Select 2025 Blue,--,,2025,2024,girls,insidelacrosse
--,Jersey SHORE Select 3 Point 2025,--,,2025,2024,girls,insidelacrosse
--,Jersey Thunder 2025,--,,2025,2024,girls,insidelacrosse
--,Jets Pink 2025/2026,--,,2025,2024,girls,insidelacrosse
--,KCLC Premier 2025,--,,2025,2024,girls,insidelacrosse
--,LA Select 2025,--,,2025,2024,girls,insidelacrosse
--,Lacrosse Monkey 2025,--,,2025,2024,girls,insidelacrosse
--,Lake Effect Storm 2025 Elite Red,--,,2025,2024,girls,insidelacrosse
--,Lake Effect Storm Elite 2025 White,--,,2025,2024,girls,insidelacrosse
--,Lake Murray Rapids 2025 Black,--,,2025,2024,girls,insidelacrosse
--,Lakeshore 2025,--,,2025,2024,girls,insidelacrosse
--,Lakeside Lacrosse Alpine 2025,--,,2025,2024,girls,insidelacrosse
--,Lanco 2025,--,,2025,2024,girls,insidelacrosse
--,Lax Maniax 2025 Black,--,,2025,2024,girls,insidelacrosse
--,Lax Maniax 2025 White,--,,2025,2024,girls,insidelacrosse
--,Lax On Elite 2025,--,,2025,2024,girls,insidelacrosse
--,Laxachusetts 2025 Black,--,,2025,2024,girls,insidelacrosse
--,Laxachusetts 2025 Navy,--,,2025,2024,girls,insidelacrosse
--,Laxachusetts 2025 Yellow,--,,2025,2024,girls,insidelacrosse
--,LI Legacy GA 2025,--,,2025,2024,girls,insidelacrosse
--,LI Empire 2025,--,,2025,2024,girls,insidelacrosse
--,LI Empire 2025 Green,--,,2025,2024,girls,insidelacrosse
--,LI Jesters 2025 Black,--,,2025,2024,girls,insidelacrosse
--,LI Jesters 2025 Pink,--,,2025,2024,girls,insidelacrosse
--,LI Jesters 2025 White,--,,2025,2024,girls,insidelacrosse
--,LI Legacy 2025 Blue,--,,2025,2024,girls,insidelacrosse
--,LI Liberty 2025 Black,--,,2025,2024,girls,insidelacrosse
--,LI Outlaws 2025,--,,2025,2024,girls,insidelacrosse
--,LI Top Guns 2025 Black,--,,2025,2024,girls,insidelacrosse
--,LI Top Guns 2025 Purple,--,,2025,2024,girls,insidelacrosse
--,Limitless Elite 2025,--,,2025,2024,girls,insidelacrosse
--,Lotus 2025,--,,2025,2024,girls,insidelacrosse
--,Lou Fusz Blue Star Elite 2025,--,,2025,2024,girls,insidelacrosse
--,Lucky Lax 2025,--,,2025,2024,girls,insidelacrosse
--,M&D 2025 Black,--,,2025,2024,girls,insidelacrosse
--,M&D 2025 Red,--,,2025,2024,girls,insidelacrosse
--,M&D 2025 Shore,--,,2025,2024,girls,insidelacrosse
--,M&D Orlando 2025 Black,--,,2025,2024,girls,insidelacrosse
--,M&D Orlando Lax 2025-26 Red,--,,2025,2024,girls,insidelacrosse
--,M&D Shore 2025 Black,--,,2025,2024,girls,insidelacrosse
--,MACLAX HS 2025/2026 BLUE,--,,2025,2024,girls,insidelacrosse
--,Mad Dog NJ North 2025 Black,--,,2025,2024,girls,insidelacrosse
--,Mad Dog Shore 2025/2026,--,,2025,2024,girls,insidelacrosse
--,Mad Dog West Elite 2025,--,,2025,2024,girls,insidelacrosse
--,Madlax Magic 2025-26 Orange,--,,2025,2024,girls,insidelacrosse
--,Maineiax Elite 2025,--,,2025,2024,girls,insidelacrosse
--,MFL 2025 Black,--,,2025,2024,girls,insidelacrosse
--,MFL 2025 Blue,--,,2025,2024,girls,insidelacrosse
--,Mass Elite 2025 Blue,--,,2025,2024,girls,insidelacrosse
--,Mass Elite 2025 Red,--,,2025,2024,girls,insidelacrosse
--,Mass Elite 2025 White,--,,2025,2024,girls,insidelacrosse
--,Maxim 2025 Navy,--,,2025,2024,girls,insidelacrosse
--,Maxim 2025 Teal,--,,2025,2024,girls,insidelacrosse
--,MC Elite 2025 Carolina,--,,2025,2024,girls,insidelacrosse
--,MC Elite 2025 Midnight,--,,2025,2024,girls,insidelacrosse
--,MD United 2025 East,--,,2025,2024,girls,insidelacrosse
--,MD United 2025 West,--,,2025,2024,girls,insidelacrosse
--,Metro 2025 Blue,--,,2025,2024,girls,insidelacrosse
--,Minnesota Elite 2025,--,,2025,2024,girls,insidelacrosse
--,Monarch Black 2025,--,,2025,2024,girls,insidelacrosse
--,Monster 2025 Blue,--,,2025,2024,girls,insidelacrosse
--,Monster Elite 2025 Orange,--,,2025,2024,girls,insidelacrosse
--,Monster Elite 2025 Purple,--,,2025,2024,girls,insidelacrosse
--,Monster Elite 2025 White,--,,2025,2024,girls,insidelacrosse
--,NEMS 2025,--,,2025,2024,girls,insidelacrosse
--,Next Level 2025,--,,2025,2024,girls,insidelacrosse
--,NH Tomahawks 2025 Gold,--,,2025,2024,girls,insidelacrosse
--,NH Tomahawks 2025 Purple,--,,2025,2024,girls,insidelacrosse
--,Nor'easter 2025,--,,2025,2024,girls,insidelacrosse
--,Nor'easter 2025 Grit,--,,2025,2024,girls,insidelacrosse
--,Nor'easter 2025 Power,--,,2025,2024,girls,insidelacrosse
--,NXT 2025 Black,--,,2025,2024,girls,insidelacrosse
--,NXT 2025 Volt,--,,2025,2024,girls,insidelacrosse
--,Ohio Premier Select 2025,--,,2025,2024,girls,insidelacrosse
--,Orange Crush 2025,--,,2025,2024,girls,insidelacrosse
--,Oregon Pride 2025,--,,2025,2024,girls,insidelacrosse
--,Phantastix 2025 Purple,--,,2025,2024,girls,insidelacrosse
--,Phantastix 2025 West,--,,2025,2024,girls,insidelacrosse
--,Phantastix 2025 White,--,,2025,2024,girls,insidelacrosse
--,Phantoms 2025,--,,2025,2024,girls,insidelacrosse
--,Philadelphia Freedom 2025,--,,2025,2024,girls,insidelacrosse
--,Philly Blast 2025,--,,2025,2024,girls,insidelacrosse
--,Philly Blast 2025 Pride,--,,2025,2024,girls,insidelacrosse
--,Pipeline Platinum 2025 Red,--,,2025,2024,girls,insidelacrosse
--,Pipeline Platinum Blue 2025,--,,2025,2024,girls,insidelacrosse
--,PPLC 2025 Blue,--,,2025,2024,girls,insidelacrosse
--,Predators 2025,--,,2025,2024,girls,insidelacrosse
--,Pride 2025 Black Nova,--,,2025,2024,girls,insidelacrosse
--,Pride 2025 Cavalier,--,,2025,2024,girls,insidelacrosse
--,Pride 2025 Hansen,--,,2025,2024,girls,insidelacrosse
--,Pride 2025 White,--,,2025,2024,girls,insidelacrosse
--,Pride 2025 White (Nova),--,,2025,2024,girls,insidelacrosse
--,Primetime 2025,--,,2025,2024,girls,insidelacrosse
--,Pure Advantage Premier 2025,--,,2025,2024,girls,insidelacrosse
--,Pure Advantage Premier 2025/2026,--,,2025,2024,girls,insidelacrosse
1,LI Yellow Jackets 2025 Spallina,99.9,,2025,2022,girls,insidelacrosse
2,STEPS Elite NJ 2025 Navy,99.86,,2025,2022,girls,insidelacrosse
3,Hero's 2025 Green,99.6,,2025,2022,girls,insidelacrosse
4,M&D 2025 Black,99.44,,2025,2022,girls,insidelacrosse
5,Big 4 HHH 2025,99.09,,2025,2022,girls,insidelacrosse
6,Primetime 2025,98.85,,2025,2022,girls,insidelacrosse
7,Sky Walkers 2025 Blue,98.78,,2025,2022,girls,insidelacrosse
8,Mass Elite 2025 Red,98.18,,2025,2022,girls,insidelacrosse
9,Monster Elite 2025 Purple,97.5,,2025,2022,girls,insidelacrosse
10,CT Grizzlies 2025 Navy,97.19,,2025,2022,girls,insidelacrosse
11,Capital 2025 Blue,97.12,,2025,2022,girls,insidelacrosse
12,NXT 2025 Black,97.06,,2025,2022,girls,insidelacrosse
13,LI Top Guns 2025 Black,96.55,,2025,2022,girls,insidelacrosse
14,Aces Elite 2025,96.52,,2025,2022,girls,insidelacrosse
15,LI Yellow Jackets 2025 Bertolone,96.36,,2025,2022,girls,insidelacrosse
16,LI Yellow Jackets 2025 Janelli,96.15,,2025,2022,girls,insidelacrosse
17,Team Elevate 2025 Blue,95.52,,2025,2022,girls,insidelacrosse
18,LBC 2025,95.46,,2025,2022,girls,insidelacrosse
19,Florida Select 2025,95.43,,2025,2022,girls,insidelacrosse
20,Cav Lax Elite 2025,95.23,,2025,2022,girls,insidelacrosse
21,Tradition 2025,95.19,,2025,2022,girls,insidelacrosse
22,Aim 2025,95.03,,2025,2022,girls,insidelacrosse
23,Cavalier 2025,95.03,,2025,2022,girls,insidelacrosse
24,Eagle Stix 2025 Blue,94.78,,2025,2022,girls,insidelacrosse
25,BBL Elite 2025 Black,94.71,,2025,2022,girls,insidelacrosse
26,Oregon Pride 2025,94.68,,2025,2022,girls,insidelacrosse
27,Yellow Jackets 2025 Lomo,94.52,,2025,2022,girls,insidelacrosse
28,LI Legacy 2025 Blue,94.4,,2025,2022,girls,insidelacrosse
29,Denver Pride 2025,94.25,,2025,2022,girls,insidelacrosse
30,Hoco Girls 2025 Black,94.2,,2025,2022,girls,insidelacrosse
31,LI Jesters 2025 Black,94.19,,2025,2022,girls,insidelacrosse
32,3D Maryland 2025 Frederick,93.91,,2025,2022,girls,insidelacrosse
33,GRIT Dallas 2025,93.88,,2025,2022,girls,insidelacrosse
34,STEPS California 2025,93.69,,2025,2022,girls,insidelacrosse
35,Limitless Elite 2025,93.62,,2025,2022,girls,insidelacrosse
36,Salt City Snipers 2025,93.54,,2025,2022,girls,insidelacrosse
37,DEWLAX 2025 BLACK,93.48,,2025,2022,girls,insidelacrosse
38,MD United 2025 East,93.41,,2025,2022,girls,insidelacrosse
39,Team 180 2025,93.4,,2025,2022,girls,insidelacrosse
40,NEMS 2025,93.11,,2025,2022,girls,insidelacrosse
41,M&D 2025 Red,93.1,,2025,2022,girls,insidelacrosse
42,York Invaders 2025,93.0,,2025,2022,girls,insidelacrosse
43,Hero's 2025 White,92.96,,2025,2022,girls,insidelacrosse
44,Phantastix 2025 Purple,92.6,,2025,2022,girls,insidelacrosse
45,STEPS Elite NJ 2025 Carolina,92.59,,2025,2022,girls,insidelacrosse
46,Lax Maniax 2025 Black,92.52,,2025,2022,girls,insidelacrosse
47,LI Liberty 2025 Black,92.32,,2025,2022,girls,insidelacrosse
48,Triple Threat Elite 2025 Iron,92.12,,2025,2022,girls,insidelacrosse
49,Mass Elite 2025 Blue,92.1,,2025,2022,girls,insidelacrosse
50,Pride 2025 Black,92.05,,2025,2022,girls,insidelacrosse
51,Sound 2025,92.03,,2025,2022,girls,insidelacrosse
52,Philly Blast 2025 Pride,91.92,,2025,2022,girls,insidelacrosse
53,Orange Crush 2025,91.76,,2025,2022,girls,insidelacrosse
54,Mad Dog West Elite 2025,91.71,,2025,2022,girls,insidelacrosse
55,South Jersey Select 2025 Pink,91.7,,2025,2022,girls,insidelacrosse
56,Laxachusetts 2025 Black,91.64,,2025,2022,girls,insidelacrosse
57,UT Express 2025/2026,91.6,,2025,2022,girls,insidelacrosse
58,DEWLAX 2025 CT,91.57,,2025,2022,girls,insidelacrosse
59,Southern Zone 2025,91.48,,2025,2022,girls,insidelacrosse
60,Team Ontario U15,91.48,,2025,2022,girls,insidelacrosse
61,Atlanta Storm 2025 Blue,91.46,,2025,2022,girls,insidelacrosse
62,Sky Walkers 2025 White,91.26,,2025,2022,girls,insidelacrosse
63,Mass Elite 2025 White,91.17,,2025,2022,girls,insidelacrosse
64,3D Colorado 2025 AA,90.98,,2025,2022,girls,insidelacrosse
65,Yellow Jackets South 2025 Blue,90.85,,2025,2022,girls,insidelacrosse
66,CT Grizzlies 2025 Yellow,90.79,,2025,2022,girls,insidelacrosse
67,Team 91 Carolina 2025,90.66,,2025,2022,girls,insidelacrosse
68,TLC 2025 Red,90.6,,2025,2022,girls,insidelacrosse
69,Dynasty Elite 2025 Delta,90.58,,2025,2022,girls,insidelacrosse
70,Capital 2025 Orange,90.48,,2025,2022,girls,insidelacrosse
71,CLC 2025 Pride,90.32,,2025,2022,girls,insidelacrosse
72,Coppermine 2025 Black,90.31,,2025,2022,girls,insidelacrosse
73,HoCo 2025 Black,90.3,,2025,2022,girls,insidelacrosse
74,Snipers Elite 2025,90.1,,2025,2022,girls,insidelacrosse
75,Yellow Jackets North Mid Atlantic 2025,89.92,,2025,2022,girls,insidelacrosse
76,Team ONE Wildcat 2025,89.9,,2025,2022,girls,insidelacrosse
77,All Lax Select 2025,89.76,,2025,2022,girls,insidelacrosse
78,Monster Elite 2025 White,89.74,,2025,2022,girls,insidelacrosse
79,Lakeshore 2025,89.4,,2025,2022,girls,insidelacrosse
80,Jersey Shore Select 2025 Blue,89.31,,2025,2022,girls,insidelacrosse
81,Predators 2025,89.3,,2025,2022,girls,insidelacrosse
82,3D Maryland 2025 Baltimore,89.24,,2025,2022,girls,insidelacrosse
83,Xtreme 2025,89.24,,2025,2022,girls,insidelacrosse
84,LI Empire 2025 Green,89.19,,2025,2022,girls,insidelacrosse
85,LI Yellow Jackets 2025 Galvin,89.17,,2025,2022,girls,insidelacrosse
86,DEWLAX CT '24-'25,89.12,,2025,2022,girls,insidelacrosse
87,Lady Blue Crabs 25 Black,88.94,,2025,2022,girls,insidelacrosse
88,Charlotte Style 2025 Black,88.88,,2025,2022,girls,insidelacrosse
89,Yellow Jackets North 2025 Willams,88.82,,2025,2022,girls,insidelacrosse
90,Gold Coast 2025 GOLD,88.64,,2025,2022,girls,insidelacrosse
91,214Lax Dallas 2025,88.57,,2025,2022,girls,insidelacrosse
92,MFL 2025 Black,88.5,,2025,2022,girls,insidelacrosse
93,CheckHers 2025,88.44,,2025,2022,girls,insidelacrosse
94,Storm Select 2025,88.44,,2025,2022,girls,insidelacrosse
95,Team BC 2025,88.28,,2025,2022,girls,insidelacrosse
96,REV 2025 Black,88.12,,2025,2022,girls,insidelacrosse
97,MC Elite 2025 Midnight,87.96,,2025,2022,girls,insidelacrosse
98,UPROAR 2025 ELITE,87.94,,2025,2022,girls,insidelacrosse
99,Impact 2025,87.9,,2025,2022,girls,insidelacrosse
100,Metro 2025 Blue,87.9,,2025,2022,girls,insidelacrosse
101,Yellow Jackets North Rockland 2025,87.77,,2025,2022,girls,insidelacrosse
102,Ultimate Elite 2025,87.72,,2025,2022,girls,insidelacrosse
103,True National 2025,87.7,,2025,2022,girls,insidelacrosse
104,Integrity 2025 Green,87.67,,2025,2022,girls,insidelacrosse
105,Seattle Starz 2025,87.66,,2025,2022,girls,insidelacrosse
106,Philadelphia Freedom 2025,87.65,,2025,2022,girls,insidelacrosse
107,South Coast 2025,87.64,,2025,2022,girls,insidelacrosse
108,M&D Orlando 2025 Black,87.6,,2025,2022,girls,insidelacrosse
109,True Illinois 2025 State,87.6,,2025,2022,girls,insidelacrosse
110,Bay State Bullets 2025 Silver,87.53,,2025,2022,girls,insidelacrosse
111,NH Tomahawks 2025 Purple,87.53,,2025,2022,girls,insidelacrosse
112,Ultimate CLT 2025 Blue,87.46,,2025,2022,girls,insidelacrosse
113,FCA MD 2025 Blue,87.45,,2025,2022,girls,insidelacrosse
114,BBL Elite 2025 Select,87.44,,2025,2022,girls,insidelacrosse
115,LI Top Guns 2025 Purple,87.44,,2025,2022,girls,insidelacrosse
116,CLC 2025 Rise,87.31,,2025,2022,girls,insidelacrosse
117,Laxachusetts 2025 Yellow,87.27,,2025,2022,girls,insidelacrosse
118,BBL 2025 North,87.25,,2025,2022,girls,insidelacrosse
119,Charlotte Style 2025,87.1,,2025,2022,girls,insidelacrosse
120,DelCo 2025 Select,87.04,,2025,2022,girls,insidelacrosse
121,Reign 2025,86.95,,2025,2022,girls,insidelacrosse
122,Pride 2025 Hansen,86.68,,2025,2022,girls,insidelacrosse
123,Ultimate NJ 2025,86.65,,2025,2022,girls,insidelacrosse
124,PPLC 2025 Blue,86.61,,2025,2022,girls,insidelacrosse
125,NXT 2025 Volt,86.58,,2025,2022,girls,insidelacrosse
126,Eagle Stix 2025 Grey,86.55,,2025,2022,girls,insidelacrosse
127,Check Hers 2025 Black,86.34,,2025,2022,girls,insidelacrosse
128,Hurricanes 2025 Black,86.16,,2025,2022,girls,insidelacrosse
129,Lucky Lax 2025,86.13,,2025,2022,girls,insidelacrosse
130,3D New England 2025,86.09,,2025,2022,girls,insidelacrosse
131,Ultimate CC 2025,85.87,,2025,2022,girls,insidelacrosse
132,Atlanta Storm 2025 Orange,85.63,,2025,2022,girls,insidelacrosse
133,Renegades 25,85.6,,2025,2022,girls,insidelacrosse
134,Relentless Hustle 2025,85.56,,2025,2022,girls,insidelacrosse
135,Team 91 Long Island 2025,85.56,,2025,2022,girls,insidelacrosse
136,Minnesota Elite 2025,85.55,,2025,2022,girls,insidelacrosse
137,All American Aim 2025 Stars and Stripes,85.38,,2025,2022,girls,insidelacrosse
138,Coast VA 2025,85.24,,2025,2022,girls,insidelacrosse
139,LI Legacy 2025 White,85.08,,2025,2022,girls,insidelacrosse
140,Pride 2025 Cora,84.71,,2025,2022,girls,insidelacrosse
141,Yellow Jackets South 2025 Gold,84.71,,2025,2022,girls,insidelacrosse
142,Phantoms 2025,84.64,,2025,2022,girls,insidelacrosse
143,Common Goal 2025,84.58,,2025,2022,girls,insidelacrosse
144,Phantastix 2025 White,84.54,,2025,2022,girls,insidelacrosse
145,Team Elevate 2025 Red,84.5,,2025,2022,girls,insidelacrosse
146,MD United 2025 West,84.43,,2025,2022,girls,insidelacrosse
147,Georgia Lady Outlaws 2025 Pink,84.42,,2025,2022,girls,insidelacrosse
148,CCLAX 2025,84.41,,2025,2022,girls,insidelacrosse
149,South Jersey Select 2025 Black,84.33,,2025,2022,girls,insidelacrosse
150,Nor'easter 2025 Grit,84.18,,2025,2022,girls,insidelacrosse
151,ESLC Pirates 2025,84.13,,2025,2022,girls,insidelacrosse
152,Reign '24-'25 Rise,84.12,,2025,2022,girls,insidelacrosse
153,Nor'easter 2025 Power,84.05,,2025,2022,girls,insidelacrosse
154,Phantastix 2025 West,84.01,,2025,2022,girls,insidelacrosse
155,Mad Dog NJ North 2025 Black,83.8,,2025,2022,girls,insidelacrosse
156,Triple Threat Elite 2025 Steel,83.8,,2025,2022,girls,insidelacrosse
157,GRIT Austin 2025,83.56,,2025,2022,girls,insidelacrosse
158,Ultimate NC 2025 Blue,83.53,,2025,2022,girls,insidelacrosse
159,Monster Elite 2025 Orange,83.36,,2025,2022,girls,insidelacrosse
160,Bay Area 2025,83.18,,2025,2022,girls,insidelacrosse
161,Pride 2025 Chestnut,83.04,,2025,2022,girls,insidelacrosse
162,True Pittsburg 2025,82.9,,2025,2022,girls,insidelacrosse
163,Nor'easter 2025,82.83,,2025,2022,girls,insidelacrosse
164,Florida Shine Elite 2025,82.81,,2025,2022,girls,insidelacrosse
165,Gold Coast 2025 Black,82.7,,2025,2022,girls,insidelacrosse
166,Coast 2025 Elite,82.59,,2025,2022,girls,insidelacrosse
167,Ultimate PA 2025,82.59,,2025,2022,girls,insidelacrosse
168,Gold Coast 2025 Silver,82.56,,2025,2022,girls,insidelacrosse
169,MFL 2025 Blue,82.52,,2025,2022,girls,insidelacrosse
170,STARS 2025 Blue,82.22,,2025,2022,girls,insidelacrosse
171,Blue Devils 2025,82.05,,2025,2022,girls,insidelacrosse
172,Rebels 2025,81.92,,2025,2022,girls,insidelacrosse
173,Sidewinders 2025,81.78,,2025,2022,girls,insidelacrosse
174,Renegades 2025,81.62,,2025,2022,girls,insidelacrosse
175,DEWLAX 2025 BLUE,81.6,,2025,2022,girls,insidelacrosse
176,Dynasty Elite 2025 Victor,81.59,,2025,2022,girls,insidelacrosse
177,TLC 2025 White,81.51,,2025,2022,girls,insidelacrosse
178,DEWLAX 2025 ORANGE,81.46,,2025,2022,girls,insidelacrosse
179,Pride 2025 White,81.37,,2025,2022,girls,insidelacrosse
180,Virginia One 2025 White,81.28,,2025,2022,girls,insidelacrosse
181,Coppermine North 2025 Blue,81.24,,2025,2022,girls,insidelacrosse
182,GRIT Houston 2025,81.22,,2025,2022,girls,insidelacrosse
183,ADK 2025,81.13,,2025,2022,girls,insidelacrosse
184,REV 2025 Blue,80.89,,2025,2022,girls,insidelacrosse
185,Belles 2025,80.86,,2025,2022,girls,insidelacrosse
186,VA Metro 2025,80.8,,2025,2022,girls,insidelacrosse
187,TNLAX 2025,80.71,,2025,2022,girls,insidelacrosse
188,Lax Maniax 2025 White,80.59,,2025,2022,girls,insidelacrosse
189,DEWLAX 2025 BO,80.53,,2025,2022,girls,insidelacrosse
190,Rebels 2025 Black,80.53,,2025,2022,girls,insidelacrosse
191,Coppermine 2025 Blue,80.23,,2025,2022,girls,insidelacrosse
192,True PA Valley 2025 Black,80.19,,2025,2022,girls,insidelacrosse
193,Lotus 2025,79.6,,2025,2022,girls,insidelacrosse
194,Circle City 2025 Titanium,79.44,,2025,2022,girls,insidelacrosse
195,HOCO 2025 Pink,79.4,,2025,2022,girls,insidelacrosse
196,Xtreme Lax Factory Elite 2025,79.14,,2025,2022,girls,insidelacrosse
197,True CA Attack 2025,78.99,,2025,2022,girls,insidelacrosse
198,Mid Penn Blaze 25-26,78.6,,2025,2022,girls,insidelacrosse
199,Pride 2025 Cavalier,78.51,,2025,2022,girls,insidelacrosse
200,Empress 2025,78.47,,2025,2022,girls,insidelacrosse
201,Lady Ballers 2025,78.35,,2025,2022,girls,insidelacrosse
202,No Excuse 2025,78.34,,2025,2022,girls,insidelacrosse
203,Resolute 2025 Black,78.14,,2025,2022,girls,insidelacrosse
204,Dynamite 2025 Black,78.11,,2025,2022,girls,insidelacrosse
205,Fundamentals LC 2025,77.72,,2025,2022,girls,insidelacrosse
206,3D Virginia 2025,77.52,,2025,2022,girls,insidelacrosse
207,CLC 2025 Bold,77.33,,2025,2022,girls,insidelacrosse
208,Jersey Thunder Bolt 2025,77.15,,2025,2022,girls,insidelacrosse
209,PA Express 2025,76.69,,2025,2022,girls,insidelacrosse
210,LI Jesters 2025 Pink,76.51,,2025,2022,girls,insidelacrosse
--,315 Elite 2027 Green,--,,2027,2024,girls,insidelacrosse
--,315 Elite 2027 White,--,,2027,2024,girls,insidelacrosse
--,3d Colorado 2027 AA,--,,2027,2024,girls,insidelacrosse
--,Common Goal 2027,--,,2027,2024,girls,insidelacrosse
--,3D Garden State 2027,--,,2027,2024,girls,insidelacrosse
--,3d Maryland 2027 Black,--,,2027,2024,girls,insidelacrosse
--,3d Maryland 2027 Gold,--,,2027,2024,girls,insidelacrosse
--,3d New England 2027,--,,2027,2024,girls,insidelacrosse
--,3d VA Metro 2027-28 Silver,--,,2027,2024,girls,insidelacrosse
--,3D VA Metro 27 Navy,--,,2027,2024,girls,insidelacrosse
--,3D VA Metro 27 Orange,--,,2027,2024,girls,insidelacrosse
--,3 POINT 2027,--,,2027,2024,girls,insidelacrosse
--,Aces Elite 2027,--,,2027,2024,girls,insidelacrosse
--,AFA 2027,--,,2027,2024,girls,insidelacrosse
--,All Lax Select 2027,--,,2027,2024,girls,insidelacrosse
--,Aim 2027,--,,2027,2024,girls,insidelacrosse
--,All American Aim 2027 Stars & Stripes,--,,2027,2024,girls,insidelacrosse
--,Ambition Elite 2027,--,,2027,2024,girls,insidelacrosse
--,ATL Storm 2027 Orange,--,,2027,2024,girls,insidelacrosse
--,Atlanta Storm 2027 Blue,--,,2027,2024,girls,insidelacrosse
--,Atlantic County Wave 2027,--,,2027,2024,girls,insidelacrosse
--,Bay State Bullets 2027 Silver,--,,2027,2024,girls,insidelacrosse
--,BBL 2027 Select,--,,2027,2024,girls,insidelacrosse
--,BBL Elite 2027 Black,--,,2027,2024,girls,insidelacrosse
--,BBL 2027 North,--,,2027,2024,girls,insidelacrosse
--,Belles 2027 Elite Green,--,,2027,2024,girls,insidelacrosse
--,Belles 2027 Select Black,--,,2027,2024,girls,insidelacrosse
--,Big 4 HHH 2027,--,,2027,2024,girls,insidelacrosse
--,BLC 2027 Blue,--,,2027,2024,girls,insidelacrosse
--,Capital 2027 Blue,--,,2027,2024,girls,insidelacrosse
--,Capital 2027 Orange,--,,2027,2024,girls,insidelacrosse
--,Cav Lax Elite 2027,--,,2027,2024,girls,insidelacrosse
--,CCLax 2027 Black,--,,2027,2024,girls,insidelacrosse
--,CCLax 2027 Red,--,,2027,2024,girls,insidelacrosse
--,CLC 2027 Bold,--,,2027,2024,girls,insidelacrosse
--,CLC 2027 Elite,--,,2027,2024,girls,insidelacrosse
--,CLC 2027 Rise,--,,2027,2024,girls,insidelacrosse
--,Charlotte Style 2027,--,,2027,2024,girls,insidelacrosse
--,Chatham 2027,--,,2027,2024,girls,insidelacrosse
--,Check-Hers Elite 2027,--,,2027,2024,girls,insidelacrosse
--,Coastal Lacrosse Academy 2027,--,,2027,2024,girls,insidelacrosse
--,Coppermine 2027 Black,--,,2027,2024,girls,insidelacrosse
--,Coppermine 2027 Blue,--,,2027,2024,girls,insidelacrosse
--,Coppermine 2027 North,--,,2027,2024,girls,insidelacrosse
--,CT Grizzlies 2027 Navy,--,,2027,2024,girls,insidelacrosse
