rank,club,rating,link,gender,class,season
157,UNRL Texas 2024,89.07,,boys,2024,2023
158,Team 11 2024,89.03,,boys,2024,2023
159,STEPS Elite 2024,88.8,,boys,2024,2023
160,Sidewinders 2024,88.49,,boys,2024,2023
161,Black Bear 2024,88.44,,boys,2024,2023
162,Amped 2024,88.43,,boys,2024,2023
163,LI Express 2024 Leghart,88.4,,boys,2024,2023
164,Penguins 2024 Gold,88.21,,boys,2024,2023
165,iM3 2024,88.11,,boys,2024,2023
166,True MN 2024 AA,88.08,,boys,2024,2023
167,NJ Riot 2024 Mayhem,88.03,,boys,2024,2023
168,True VA 2024 Green,87.9,,boys,2024,2023
169,MN Loons 2024,87.9,,boys,2024,2023
170,PA Roughriders 2024,87.89,,boys,2024,2023
171,Brotherly Love 2024 Mercury,87.76,,boys,2024,2023
172,Albany Stags 2024,87.72,,boys,2024,2023
173,RC Elite Carolina 2024,87.7,,boys,2024,2023
174,Prostart 2024 White,87.53,,boys,2024,2023
175,Spiders 2024 Corto,87.52,,boys,2024,2023
176,True PA 2024 Black,87.47,,boys,2024,2023
177,Hammers 2024,87.35,,boys,2024,2023
178,Rebels National 2024 Red,87.34,,boys,2024,2023
179,Express North 2024 White,87.33,,boys,2024,2023
180,FLC 2024 National Blue,87.25,,boys,2024,2023
181,Team Eighteen 2024,87.18,,boys,2024,2023
182,Conrad's Varsity,87.17,,boys,2024,2023
183,Team 91 Northside Hustle 2024,87.07,,boys,2024,2023
184,FCA Upstate 2024,87.03,,boys,2024,2023
185,Iron Horse Dallas 2024,86.9,,boys,2024,2023
186,ELEV8 2024,86.87,,boys,2024,2023
187,True Philly 2024,86.79,,boys,2024,2023
188,Patriot Elite 2024 Navy,86.77,,boys,2024,2023
189,NJLC 2024,86.71,,boys,2024,2023
190,HLC 2024,86.66,,boys,2024,2023
191,NJ Riot 2024 North,86.62,,boys,2024,2023
192,10th Mountain 2024,86.6,,boys,2024,2023
193,New England Twisters 2024 Orange,86.57,,boys,2024,2023
194,CT Sharks 2024,86.54,,boys,2024,2023
195,NCF Triad Elite 2024 Red,86.54,,boys,2024,2023
196,SJ Shamrocks 2024,86.43,,boys,2024,2023
197,Salt Kings 2024 Adams,86.35,,boys,2024,2023
198,True Upstate 2024 Black,86.15,,boys,2024,2023
199,Grizzly 2024,86.13,,boys,2024,2023
200,RI Bulldogs 2024 Green,86.11,,boys,2024,2023
201,CT Valley 2024 White,86.1,,boys,2024,2023
202,Hammers Elite 2023-24,85.83,,boys,2024,2023
203,DC Express 2024 Orange,85.82,,boys,2024,2023
204,Rebels MD 2024,85.76,,boys,2024,2023
205,True New Jersey 2024 Black,85.73,,boys,2024,2023
206,Wasatch 2024,85.72,,boys,2024,2023
207,Rebels National 2024 White,85.44,,boys,2024,2023
208,Recon 2024 Sharks,85.44,,boys,2024,2023
209,Great Lakes 2024,85.37,,boys,2024,2023
210,St. Louis Samurai 2024,85.37,,boys,2024,2023
