champ_%_rank,team,pr,sos-pr,qwf-pr,champ_%,rpi,sos-rpi,qwf-rpi,selection,gender,division
48,Bates ( 3 - 11 ),54,16,133,0 . 0 %,128,88,173,389,boys,D3
49,Beloit ( 3 - 11 ),222,222,208,0 . 0 %,218,206,210,634,boys,D3
50,Benedictine (IL) ( 6 - 11 ),163,166,197,0 . 0 %,140,75,193,408,boys,D3
51,Berry ( 7 - 7 ),110,76,84,0 . 0 %,59,55,83,197,boys,D3
52,Bethany ( 4 - 10 ),216,227,190,0 . 0 %,217,213,188,618,boys,D3
53,Birmingham Southern ( 9 - 4 ),76,121,47,0 . 0 %,60,127,52,239,boys,D3
54,Brevard ( 2 - 14 ),227,226,225,0 . 0 %,228,237,226,691,boys,D3
55,Bridgewater ( 6 - 11 ),128,84,193,0 . 0 %,145,76,194,415,boys,D3
56,Brockport ( 4 - 11 ),102,61,203,0 . 0 %,139,106,203,448,boys,D3
57,Bryn Athyn ( 3 - 6 ),220,233,107,0 . 0 %,225,236,105,566,boys,D3
58,Cabrini ( 15 - 5 ),34,79,27,0 . 0 %,41,58,25,124,boys,D3
59,Cairn ( 4 - 9 ),211,216,140,0 . 0 %,210,234,140,584,boys,D3
60,Calvin ( 12 - 6 ),120,135,56,0 . 0 %,62,167,60,289,boys,D3
61,Canton ( 6 - 7 ),191,206,110,0 . 0 %,186,210,108,504,boys,D3
62,Capital ( 9 - 9 ),116,134,141,0 . 0 %,105,103,141,349,boys,D3
63,Carroll ( 6 - 10 ),198,198,155,0 . 0 %,179,191,142,512,boys,D3
64,Carthage ( 8 - 9 ),118,125,146,0 . 0 %,87,54,124,265,boys,D3
65,Castleton ( 3 - 14 ),190,130,238,0 . 0 %,191,149,238,578,boys,D3
66,Catholic ( 10 - 9 ),78,69,116,0 . 0 %,89,59,117,265,boys,D3
67,Centenary (LA) ( 1 - 11 ),228,218,181,0 . 0 %,230,235,180,645,boys,D3
68,Centenary (NJ) ( 1 - 12 ),235,208,229,0 . 0 %,237,227,230,694,boys,D3
69,Centre ( 12 - 4 ),65,118,41,0 . 0 %,35,69,40,144,boys,D3
70,Chatham ( 9 - 8 ),138,161,117,0 . 0 %,133,160,112,405,boys,D3
71,Clark ( 5 - 10 ),106,51,149,0 . 0 %,147,186,158,491,boys,D3
72,Clarkson ( 8 - 9 ),33,23,89,0 . 0 %,55,34,84,173,boys,D3
73,Coast Guard ( 2 - 12 ),104,46,212,0 . 0 %,184,152,215,551,boys,D3
74,Cobleskill ( 1 - 11 ),232,231,213,0 . 0 %,235,229,212,676,boys,D3
75,Colby ( 6 - 8 ),40,21,66,0 . 0 %,99,98,100,297,boys,D3
76,Colorado College ( 8 - 6 ),56,77,67,0 . 0 %,50,101,53,204,boys,D3
77,Concordia-Chicago ( 0 - 12 ),236,220,231,0 . 0 %,231,226,232,689,boys,D3
78,Concordia-Wisconsin ( 13 - 6 ),142,193,73,0 . 0 %,101,128,71,300,boys,D3
79,Connecticut College ( 5 - 9 ),45,15,85,0 . 0 %,112,79,118,309,boys,D3
80,Cornell College ( 6 - 9 ),202,212,158,0 . 0 %,182,217,159,558,boys,D3
81,Curry ( 4 - 14 ),129,83,236,0 . 0 %,165,87,236,488,boys,D3
82,Dean College ( 13 - 5 ),125,183,51,0 . 0 %,96,114,56,266,boys,D3
83,Delaware Valley ( 4 - 12 ),196,154,216,0 . 0 %,205,172,216,593,boys,D3
84,Delhi ( 12 - 5 ),168,228,57,0 . 0 %,159,220,61,440,boys,D3
85,Denison ( 14 - 6 ),29,49,37,0 . 0 %,12,24,41,77,boys,D3
86,DePauw ( 8 - 8 ),147,146,124,0 . 0 %,104,100,113,317,boys,D3
87,DeSales ( 11 - 7 ),68,58,78,0 . 0 %,73,64,82,219,boys,D3
88,Drew ( 10 - 8 ),123,112,112,0 . 0 %,110,133,114,357,boys,D3
89,Dubuque ( 10 - 7 ),134,172,100,0 . 0 %,83,73,95,251,boys,D3
90,Earlham ( 7 - 9 ),229,237,150,0 . 0 %,226,232,152,610,boys,D3
91,Eastern ( 8 - 11 ),58,43,182,0 . 0 %,106,81,181,368,boys,D3
92,Eastern Connecticut ( 6 - 11 ),144,120,198,0 . 0 %,164,122,199,485,boys,D3
93,Edgewood ( 6 - 11 ),189,196,199,0 . 0 %,178,147,200,525,boys,D3
94,Elizabethtown ( 11 - 7 ),62,68,90,0 . 0 %,78,80,89,247,boys,D3
95,Elmhurst ( 13 - 4 ),57,91,35,0 . 0 %,17,20,26,63,boys,D3
96,Elms ( 5 - 9 ),203,211,159,0 . 0 %,196,204,160,560,boys,D3
97,Emerson ( 7 - 9 ),82,56,142,0 . 0 %,141,142,153,436,boys,D3
98,Emmanuel (MA) ( 5 - 12 ),146,150,217,0 . 0 %,169,108,217,494,boys,D3
99,Farmingdale State ( 16 - 4 ),88,148,21,0 . 0 %,80,209,20,309,boys,D3
100,FDU-Florham ( 1 - 15 ),183,113,240,0 . 0 %,219,158,240,617,boys,D3
101,Ferrum ( 0 - 9 ),136,102,174,0 . 0 %,201,177,174,552,boys,D3
102,Franciscan ( 10 - 7 ),186,224,101,0 . 0 %,177,205,96,478,boys,D3
103,Franklin & Marshall ( 7 - 10 ),47,34,160,0 . 0 %,90,70,154,314,boys,D3
104,Gordon ( 4 - 10 ),157,99,187,0 . 0 %,166,131,182,479,boys,D3
105,Goucher ( 9 - 8 ),140,127,118,0 . 0 %,137,161,119,417,boys,D3
106,Greensboro ( 7 - 9 ),187,199,156,0 . 0 %,189,223,157,569,boys,D3
107,Guilford ( 8 - 10 ),131,114,151,0 . 0 %,108,62,148,318,boys,D3
108,Gwynedd Mercy ( 8 - 8 ),145,163,125,0 . 0 %,168,189,125,482,boys,D3
109,Hampden-Sydney ( 12 - 6 ),41,65,48,0 . 0 %,46,32,47,125,boys,D3
110,Hanover ( 8 - 9 ),201,225,147,0 . 0 %,181,188,149,518,boys,D3
111,Hartford ( 6 - 7 ),92,70,92,0 . 0 %,85,119,90,294,boys,D3
112,Hartwick ( 5 - 9 ),113,74,161,0 . 0 %,131,123,161,415,boys,D3
113,Haverford ( 7 - 9 ),59,41,134,0 . 0 %,100,63,126,289,boys,D3
114,Heidelberg ( 4 - 13 ),223,209,220,0 . 0 %,202,218,221,641,boys,D3
115,Hendrix ( 5 - 9 ),149,139,162,0 . 0 %,149,134,162,445,boys,D3
116,Hilbert ( 3 - 6 ),221,240,91,0 . 0 %,236,239,91,566,boys,D3
117,Hiram ( 5 - 12 ),210,188,202,0 . 0 %,185,197,198,580,boys,D3
118,Hood ( 9 - 8 ),124,107,119,0 . 0 %,144,170,120,434,boys,D3
119,Hope ( 14 - 4 ),70,98,29,0 . 0 %,23,47,21,91,boys,D3
120,Huntingdon ( 4 - 12 ),206,197,204,0 . 0 %,203,201,204,608,boys,D3
121,Husson ( 6 - 10 ),205,229,183,0 . 0 %,209,215,183,607,boys,D3
122,Illinois Tech ( 8 - 8 ),174,184,126,0 . 0 %,115,95,127,337,boys,D3
123,Illinois Wesleyan ( 14 - 4 ),63,86,30,0 . 0 %,14,13,27,54,boys,D3
124,Immaculata ( 9 - 7 ),154,167,103,0 . 0 %,158,179,102,439,boys,D3
125,Ithaca ( 8 - 8 ),36,22,79,0 . 0 %,43,26,79,148,boys,D3
126,John Carroll ( 11 - 5 ),72,111,60,0 . 0 %,48,65,54,167,boys,D3
127,Johnson & Wales ( 9 - 7 ),172,189,104,0 . 0 %,150,176,103,429,boys,D3
128,Juniata ( 2 - 15 ),199,136,241,0 . 0 %,212,162,241,615,boys,D3
129,Kalamazoo ( 5 - 8 ),156,143,136,0 . 0 %,130,137,135,402,boys,D3
130,Kean ( 12 - 7 ),51,53,52,0 . 0 %,75,57,55,187,boys,D3
131,Keene State ( 6 - 9 ),90,90,152,0 . 0 %,119,93,150,362,boys,D3
132,Kenyon ( 13 - 6 ),55,62,71,0 . 0 %,24,31,48,103,boys,D3
133,Keuka ( 5 - 8 ),185,151,137,0 . 0 %,173,178,136,487,boys,D3
134,Keystone ( 6 - 10 ),207,213,184,0 . 0 %,199,211,184,594,boys,D3
135,Kings ( 3 - 11 ),173,126,205,0 . 0 %,195,173,205,573,boys,D3
136,La Roche ( 0 - 11 ),240,238,188,0 . 0 %,239,238,189,666,boys,D3
137,LaGrange ( 8 - 10 ),181,190,175,0 . 0 %,172,222,175,569,boys,D3
138,Lake Forest ( 16 - 3 ),111,175,20,0 . 0 %,52,91,15,158,boys,D3
139,Lasell ( 11 - 7 ),112,149,93,0 . 0 %,95,109,97,301,boys,D3
140,Lebanon Valley ( 7 - 10 ),121,103,171,0 . 0 %,153,141,170,464,boys,D3
141,Lycoming ( 5 - 9 ),167,128,163,0 . 0 %,162,151,163,476,boys,D3
142,Maine Maritime ( 11 - 5 ),159,191,61,0 . 0 %,126,196,64,386,boys,D3
143,Manhattanville ( 8 - 10 ),153,145,172,0 . 0 %,135,94,171,400,boys,D3
144,Marian (WI) ( 3 - 10 ),214,221,194,0 . 0 %,213,200,196,609,boys,D3
145,Marietta ( 7 - 10 ),169,156,176,0 . 0 %,148,153,176,477,boys,D3
146,Maritime ( 11 - 7 ),74,106,77,0 . 0 %,94,180,80,354,boys,D3
147,Mary Washington ( 8 - 9 ),50,39,113,0 . 0 %,70,50,109,229,boys,D3
148,Marymount ( 9 - 10 ),117,115,166,0 . 0 %,120,117,166,403,boys,D3
149,Marywood ( 3 - 13 ),188,165,235,0 . 0 %,208,181,235,624,boys,D3
150,Massachusetts Maritime ( 8 - 7 ),109,137,108,0 . 0 %,121,148,106,375,boys,D3
151,Massachusetts-Boston ( 13 - 5 ),83,100,44,0 . 0 %,88,105,57,250,boys,D3
152,McDaniel ( 6 - 9 ),93,57,143,0 . 0 %,124,130,133,387,boys,D3
153,MCLA ( 2 - 12 ),233,232,226,0 . 0 %,234,224,227,685,boys,D3
154,Merchant Marine ( 10 - 5 ),99,142,68,0 . 0 %,102,138,67,307,boys,D3
155,Messiah ( 12 - 6 ),61,60,74,0 . 0 %,79,118,76,273,boys,D3
156,Methodist ( 9 - 8 ),175,195,120,0 . 0 %,155,157,121,433,boys,D3
157,Misericordia ( 8 - 9 ),103,94,138,0 . 0 %,117,86,137,340,boys,D3
158,MIT ( 6 - 10 ),48,29,127,0 . 0 %,111,82,143,336,boys,D3
159,Mitchell ( 0 - 12 ),237,200,232,0 . 0 %,229,198,233,660,boys,D3
160,Montclair State ( 4 - 10 ),89,48,153,0 . 0 %,127,68,144,339,boys,D3
161,Moravian ( 9 - 9 ),126,117,144,0 . 0 %,114,121,145,380,boys,D3
162,Morrisville ( 8 - 8 ),165,176,128,0 . 0 %,143,139,128,410,boys,D3
163,Mount St Joseph ( 0 - 13 ),239,235,237,0 . 0 %,238,231,237,706,boys,D3
164,Mount St Mary (NY) ( 4 - 9 ),184,171,167,0 . 0 %,200,212,167,579,boys,D3
165,Mount St Vincent ( 6 - 8 ),194,194,135,0 . 0 %,188,203,134,525,boys,D3
166,Mount Union ( 6 - 11 ),170,192,200,0 . 0 %,176,155,201,532,boys,D3
167,MSOE ( 8 - 8 ),177,201,129,0 . 0 %,167,171,129,467,boys,D3
168,Muskingum ( 9 - 8 ),155,180,121,0 . 0 %,125,159,122,406,boys,D3
169,Nazareth ( 12 - 7 ),35,44,62,0 . 0 %,38,45,62,145,boys,D3
170,Neumann ( 9 - 9 ),160,162,145,0 . 0 %,174,165,146,485,boys,D3
171,New England College ( 4 - 11 ),180,169,206,0 . 0 %,192,190,206,588,boys,D3
172,New Paltz ( 5 - 10 ),133,101,189,0 . 0 %,136,113,190,439,boys,D3
173,Nichols ( 8 - 10 ),101,72,157,0 . 0 %,123,77,164,364,boys,D3
174,North Central ( 11 - 4 ),98,133,42,0 . 0 %,44,89,33,166,boys,D3
175,Northland ( 3 - 10 ),219,215,173,0 . 0 %,197,214,172,583,boys,D3
176,Northwestern (MN) ( 6 - 6 ),192,202,87,0 . 0 %,146,195,87,428,boys,D3
177,Norwich ( 11 - 7 ),150,174,94,0 . 0 %,142,163,98,403,boys,D3
178,Oberlin ( 10 - 6 ),95,92,81,0 . 0 %,47,66,77,190,boys,D3
179,Oglethorpe ( 5 - 10 ),195,164,168,0 . 0 %,175,193,168,536,boys,D3
180,Ohio Northern ( 13 - 6 ),80,131,75,0 . 0 %,72,102,78,252,boys,D3
181,Ohio Wesleyan ( 11 - 5 ),38,66,49,0 . 0 %,22,44,42,108,boys,D3
182,Oneonta ( 7 - 8 ),85,59,122,0 . 0 %,109,116,130,355,boys,D3
183,Oswego ( 10 - 6 ),71,67,82,0 . 0 %,84,112,85,281,boys,D3
184,Otterbein ( 8 - 8 ),141,152,130,0 . 0 %,129,145,131,405,boys,D3
185,Penn College ( 10 - 9 ),161,181,139,0 . 0 %,170,185,138,493,boys,D3
186,Pfeiffer ( 13 - 6 ),96,144,69,0 . 0 %,54,52,68,174,boys,D3
187,Piedmont ( 15 - 3 ),105,185,26,0 . 0 %,65,129,28,222,boys,D3
188,Plattsburgh ( 4 - 12 ),164,97,221,0 . 0 %,171,146,222,539,boys,D3
189,Plymouth State ( 15 - 5 ),77,116,38,0 . 0 %,64,71,36,171,boys,D3
190,Potsdam ( 10 - 6 ),60,80,72,0 . 0 %,81,99,73,253,boys,D3
191,Purchase ( 3 - 12 ),225,207,224,0 . 0 %,215,175,225,615,boys,D3
192,Randolph ( 5 - 11 ),218,178,191,0 . 0 %,198,182,191,571,boys,D3
193,Regis (MA) ( 6 - 7 ),197,210,111,0 . 0 %,190,216,110,516,boys,D3
194,Rhodes ( 9 - 7 ),69,81,88,0 . 0 %,66,60,88,214,boys,D3
195,Rivier ( 11 - 7 ),114,159,95,0 . 0 %,118,120,99,337,boys,D3
196,Roger Williams ( 13 - 6 ),66,73,63,0 . 0 %,82,90,69,241,boys,D3
197,Rosemont ( 1 - 11 ),230,214,201,0 . 0 %,232,233,202,667,boys,D3
198,Sage ( 6 - 10 ),152,122,185,0 . 0 %,160,124,185,469,boys,D3
199,Salem State ( 4 - 11 ),209,187,207,0 . 0 %,211,208,207,626,boys,D3
200,Salve Regina ( 4 - 10 ),79,45,169,0 . 0 %,152,135,192,479,boys,D3
201,Scranton ( 14 - 8 ),52,55,83,0 . 0 %,39,37,74,150,boys,D3
202,Sewanee ( 10 - 4 ),84,93,45,0 . 0 %,31,74,44,149,boys,D3
203,Shenandoah ( 12 - 7 ),86,95,80,0 . 0 %,86,78,81,245,boys,D3
204,Skidmore ( 9 - 7 ),39,24,59,0 . 0 %,42,42,58,142,boys,D3
205,Southern Maine ( 5 - 12 ),182,157,218,0 . 0 %,183,126,218,527,boys,D3
206,Southern Virginia ( 8 - 11 ),139,124,195,0 . 0 %,113,61,195,369,boys,D3
207,Southwestern ( 2 - 12 ),132,63,227,0 . 0 %,151,72,219,442,boys,D3
208,Spalding ( 2 - 12 ),238,234,228,0 . 0 %,233,219,228,680,boys,D3
209,Springfield ( 7 - 10 ),44,20,105,0 . 0 %,92,33,139,264,boys,D3
210,St Joseph (CT) ( 17 - 4 ),130,177,24,0 . 0 %,77,84,23,184,boys,D3
211,St Josephs (LI) ( 1 - 11 ),215,173,214,0 . 0 %,204,169,213,586,boys,D3
212,St Josephs (ME) ( 10 - 8 ),137,147,114,0 . 0 %,116,132,115,363,boys,D3
213,St Marys (MD) ( 14 - 7 ),53,109,50,0 . 0 %,58,22,49,129,boys,D3
214,St Vincent ( 8 - 9 ),127,138,148,0 . 0 %,107,92,147,346,boys,D3
215,Stockton ( 11 - 8 ),46,33,64,0 . 0 %,40,40,65,145,boys,D3
216,SUNY Poly ( 10 - 7 ),179,204,102,0 . 0 %,138,156,101,395,boys,D3
217,Susquehanna ( 14 - 4 ),67,104,39,0 . 0 %,68,136,38,242,boys,D3
218,Thiel ( 3 - 11 ),224,205,209,0 . 0 %,214,194,208,616,boys,D3
219,Thomas ( 2 - 9 ),217,223,154,0 . 0 %,223,225,155,603,boys,D3
220,Transylvania ( 11 - 7 ),100,179,96,0 . 0 %,93,85,92,270,boys,D3
221,Trine ( 6 - 10 ),162,186,186,0 . 0 %,180,154,186,520,boys,D3
222,U of New England ( 4 - 13 ),143,88,233,0 . 0 %,163,97,231,491,boys,D3
223,Ursinus ( 7 - 9 ),43,25,123,0 . 0 %,71,39,111,221,boys,D3
224,Utica ( 6 - 10 ),158,105,177,0 . 0 %,156,164,187,507,boys,D3
225,Vassar ( 9 - 6 ),42,30,40,0 . 0 %,32,49,34,115,boys,D3
226,Virginia Wesleyan ( 6 - 11 ),176,129,196,0 . 0 %,157,115,197,469,boys,D3
227,Wabash ( 8 - 8 ),166,168,131,0 . 0 %,122,140,116,378,boys,D3
228,Warren Wilson ( 0 - 10 ),241,239,164,0 . 0 %,240,240,165,645,boys,D3
229,Washington & Jefferson ( 3 - 11 ),213,203,210,0 . 0 %,216,202,209,627,boys,D3
230,Washington College ( 6 - 11 ),49,18,165,0 . 0 %,91,48,151,290,boys,D3
231,Wentworth ( 13 - 6 ),81,82,46,0 . 0 %,61,174,45,280,boys,D3
232,Western Connecticut ( 13 - 5 ),64,96,53,0 . 0 %,63,107,59,229,boys,D3
233,Western New England ( 11 - 7 ),37,42,54,0 . 0 %,49,23,63,135,boys,D3
234,Westminster (PA) ( 10 - 8 ),151,170,115,0 . 0 %,132,150,107,389,boys,D3
235,Wheaton ( 9 - 8 ),91,75,109,0 . 0 %,134,143,123,400,boys,D3
236,Widener ( 4 - 12 ),108,54,215,0 . 0 %,161,111,214,486,boys,D3
237,Wilkes ( 4 - 12 ),178,132,222,0 . 0 %,193,166,223,582,boys,D3
238,William Peace ( 3 - 11 ),212,219,211,0 . 0 %,221,207,211,639,boys,D3
239,Wilmington (OH) ( 4 - 13 ),234,230,234,0 . 0 %,227,199,234,660,boys,D3
240,Wittenberg ( 8 - 5 ),94,110,76,0 . 0 %,67,110,70,247,boys,D3
241,Wooster ( 11 - 7 ),75,89,97,0 . 0 %,53,67,86,206,boys,D3
