champ_%_rank,team,pr,sos-pr,qwf-pr,champ_%,rpi,sos-rpi,qwf-rpi,selection,gender,division
35,Boston University ( 4 - 9 ),91,52,89,0 . 0 %,73,53,93,219,girls,D1
36,Bryant ( 8 - 5 ),50,67,52,0 . 0 %,42,65,52,159,girls,D1
37,Bucknell ( 4 - 8 ),92,77,94,0 . 0 %,94,99,94,287,girls,D1
38,Butler ( 2 - 12 ),106,58,125,0 . 0 %,107,78,125,310,girls,D1
39,California ( 4 - 9 ),80,70,100,0 . 0 %,87,75,102,264,girls,D1
40,Campbell ( 3 - 12 ),94,62,127,0 . 0 %,91,47,127,265,girls,D1
41,Canisius ( 10 - 5 ),88,104,57,0 . 0 %,62,103,53,218,girls,D1
42,Central Connecticut ( 2 - 10 ),130,124,106,0 . 0 %,124,125,107,356,girls,D1
43,Central Michigan ( 4 - 11 ),100,64,101,0 . 0 %,92,49,100,241,girls,D1
44,Cincinnati ( 10 - 5 ),62,84,47,0 . 0 %,68,98,45,211,girls,D1
45,Coastal Carolina ( 10 - 4 ),52,75,42,0 . 0 %,37,71,44,152,girls,D1
46,Colgate ( 2 - 11 ),84,39,109,0 . 0 %,78,38,117,233,girls,D1
47,Colorado ( 10 - 4 ),24,31,20,0 . 0 %,27,29,18,74,girls,D1
48,Columbia ( 3 - 9 ),81,43,98,0 . 0 %,84,70,96,250,girls,D1
49,Connecticut ( 8 - 5 ),30,48,45,0 . 0 %,45,59,49,153,girls,D1
50,Dartmouth ( 7 - 5 ),29,30,43,0 . 0 %,33,34,50,117,girls,D1
51,Davidson ( 8 - 6 ),51,65,65,0 . 0 %,54,51,66,171,girls,D1
52,Delaware ( 9 - 5 ),49,63,50,0 . 0 %,49,74,54,177,girls,D1
53,Delaware State ( 2 - 11 ),129,125,126,0 . 0 %,121,113,124,358,girls,D1
54,Detroit Mercy ( 3 - 11 ),116,109,123,0 . 0 %,120,121,122,363,girls,D1
55,Drexel ( 10 - 4 ),27,36,30,0 . 0 %,21,21,21,63,girls,D1
56,Duquesne ( 7 - 7 ),114,105,81,0 . 0 %,96,109,80,285,girls,D1
57,East Carolina ( 3 - 11 ),77,49,110,0 . 0 %,83,45,114,242,girls,D1
58,Eastern Michigan ( 6 - 6 ),109,110,64,0 . 0 %,103,115,63,281,girls,D1
59,Elon ( 7 - 7 ),71,61,75,0 . 0 %,65,84,76,225,girls,D1
60,Fairleigh Dickinson ( 2 - 13 ),128,127,129,0 . 0 %,126,118,129,373,girls,D1
61,Florida State ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0,girls,D1
62,Furman ( 6 - 8 ),89,83,90,0 . 0 %,90,85,89,264,girls,D1
63,Gardner Webb ( 0 - 14 ),131,99,130,0 . 0 %,125,111,130,366,girls,D1
64,George Mason ( 9 - 6 ),85,116,68,0 . 0 %,88,107,67,262,girls,D1
65,George Washington ( 4 - 11 ),113,101,120,0 . 0 %,111,93,119,323,girls,D1
66,Georgetown ( 6 - 9 ),42,27,77,0 . 0 %,57,30,73,160,girls,D1
67,High Point ( 8 - 5 ),76,90,53,0 . 0 %,71,94,56,221,girls,D1
68,Hofstra ( 9 - 5 ),41,57,58,0 . 0 %,51,81,57,189,girls,D1
69,Holy Cross ( 10 - 3 ),43,59,28,0 . 0 %,24,43,30,97,girls,D1
70,Howard (DC) ( 0 - 14 ),132,126,131,0 . 0 %,127,126,131,384,girls,D1
71,Iona ( 10 - 4 ),83,92,44,0 . 0 %,46,72,43,161,girls,D1
72,Jacksonville ( 5 - 8 ),55,40,74,0 . 0 %,60,37,77,174,girls,D1
73,James Madison ( 9 - 5 ),23,15,37,0 . 0 %,19,19,31,69,girls,D1
74,Kennesaw State ( 5 - 9 ),108,108,102,0 . 0 %,116,127,103,346,girls,D1
75,Kent State ( 5 - 10 ),112,103,108,0 . 0 %,105,100,108,313,girls,D1
76,La Salle ( 2 - 10 ),120,94,114,0 . 0 %,114,96,111,321,girls,D1
77,Lafayette ( 4 - 9 ),93,82,97,0 . 0 %,101,97,98,296,girls,D1
78,Le Moyne ( 8 - 6 ),111,118,70,0 . 0 %,76,90,69,235,girls,D1
79,Lehigh ( 7 - 5 ),53,53,54,0 . 0 %,53,82,55,190,girls,D1
80,Liberty ( 5 - 10 ),72,38,95,0 . 0 %,64,33,95,192,girls,D1
81,Lindenwood ( 11 - 3 ),60,106,34,0 . 0 %,67,120,35,222,girls,D1
82,LIU ( 7 - 7 ),97,113,82,0 . 0 %,82,88,81,251,girls,D1
83,Longwood ( 7 - 7 ),103,111,83,0 . 0 %,109,122,82,313,girls,D1
84,Louisville ( 7 - 9 ),35,17,72,0 . 0 %,44,23,74,141,girls,D1
85,Manhattan ( 4 - 11 ),118,86,118,0 . 0 %,95,62,118,275,girls,D1
86,Marist ( 3 - 11 ),107,76,124,0 . 0 %,99,63,120,282,girls,D1
87,Marquette ( 5 - 10 ),61,41,96,0 . 0 %,69,41,97,207,girls,D1
88,Massachusetts ( 9 - 4 ),36,55,38,0 . 0 %,29,57,40,126,girls,D1
89,Massachusetts-Lowell ( 11 - 4 ),58,107,41,0 . 0 %,58,86,41,185,girls,D1
90,Mercer ( 8 - 5 ),47,72,49,0 . 0 %,48,54,51,153,girls,D1
91,Merrimack ( 3 - 11 ),123,115,121,0 . 0 %,113,91,123,327,girls,D1
92,Monmouth (NJ) ( 6 - 8 ),69,56,84,0 . 0 %,79,79,86,244,girls,D1
93,Mount St Marys ( 5 - 9 ),75,68,99,0 . 0 %,61,40,99,200,girls,D1
94,New Hampshire ( 2 - 10 ),110,74,115,0 . 0 %,102,77,112,291,girls,D1
95,Niagara ( 12 - 3 ),48,85,32,0 . 0 %,35,76,32,143,girls,D1
96,Ohio State ( 7 - 7 ),46,47,60,0 . 0 %,56,50,46,152,girls,D1
97,Old Dominion ( 3 - 11 ),96,66,119,0 . 0 %,100,73,121,294,girls,D1
98,Oregon ( 7 - 5 ),56,88,55,0 . 0 %,72,102,62,236,girls,D1
99,Penn State ( 8 - 6 ),26,10,39,0 . 0 %,23,15,36,74,girls,D1
100,Pittsburgh ( 5 - 11 ),70,34,93,0 . 0 %,70,35,92,197,girls,D1
101,Presbyterian ( 2 - 11 ),127,119,116,0 . 0 %,122,124,113,359,girls,D1
102,Queens ( 8 - 6 ),82,98,71,0 . 0 %,81,95,70,246,girls,D1
103,Quinnipiac ( 2 - 11 ),95,79,117,0 . 0 %,98,58,115,271,girls,D1
104,Radford ( 4 - 9 ),124,123,103,0 . 0 %,119,123,104,346,girls,D1
105,Rhode Island ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0,girls,D1
106,Rider ( 8 - 7 ),101,112,78,0 . 0 %,93,104,78,275,girls,D1
107,Robert Morris ( 4 - 11 ),119,96,111,0 . 0 %,112,105,116,333,girls,D1
108,Rutgers ( 6 - 8 ),20,8,61,0 . 0 %,34,7,47,88,girls,D1
109,Sacred Heart ( 8 - 5 ),98,114,63,0 . 0 %,66,87,58,211,girls,D1
110,San Diego State ( 2 - 12 ),99,42,122,0 . 0 %,89,55,126,270,girls,D1
111,Siena ( 11 - 4 ),57,81,40,0 . 0 %,36,67,39,142,girls,D1
112,South Florida ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0,girls,D1
113,St Bonaventure ( 7 - 8 ),87,91,91,0 . 0 %,75,68,90,233,girls,D1
114,St Francis ( 7 - 6 ),115,122,73,0 . 0 %,104,117,72,293,girls,D1
115,St Josephs (PA) ( 8 - 6 ),38,46,66,0 . 0 %,40,39,64,143,girls,D1
116,Stetson ( 4 - 9 ),102,102,104,0 . 0 %,108,92,101,301,girls,D1
117,Stonehill ( 6 - 7 ),104,121,85,0 . 0 %,106,112,84,302,girls,D1
118,Temple ( 9 - 4 ),39,44,36,0 . 0 %,30,44,37,111,girls,D1
119,Towson ( 6 - 8 ),44,25,79,0 . 0 %,47,32,85,164,girls,D1
120,UC Davis ( 9 - 5 ),74,78,56,0 . 0 %,52,69,59,180,girls,D1
121,UMBC ( 9 - 4 ),68,93,46,0 . 0 %,63,106,48,217,girls,D1
122,UNC-Charlotte ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0,girls,D1
123,Vanderbilt ( 8 - 6 ),54,51,62,0 . 0 %,55,60,60,175,girls,D1
124,VCU ( 4 - 11 ),79,54,112,0 . 0 %,85,52,109,246,girls,D1
125,Vermont ( 6 - 7 ),78,87,86,0 . 0 %,77,83,83,243,girls,D1
126,Villanova ( 6 - 7 ),73,60,76,0 . 0 %,80,89,79,248,girls,D1
127,Wagner ( 4 - 9 ),122,117,105,0 . 0 %,115,110,105,330,girls,D1
128,William & Mary ( 4 - 11 ),90,50,107,0 . 0 %,86,56,106,248,girls,D1
129,Winthrop ( 1 - 12 ),125,97,128,0 . 0 %,118,101,128,347,girls,D1
130,Wofford ( 5 - 7 ),105,95,88,0 . 0 %,97,108,87,292,girls,D1
131,Xavier ( 3 - 10 ),121,89,113,0 . 0 %,117,119,110,346,girls,D1
132,Youngstown State ( 0 - 14 ),126,100,132,0 . 0 %,123,114,132,369,girls,D1
