champ_%_rank,team,pr,sos-pr,qwf-pr,champ_%,rpi,sos-rpi,qwf-rpi,selection,gender,division
29,Air Force ( 9 - 6 ),45,57,34,0 . 0 %,38,46,34,118,boys,D1
30,Albany ( 10 - 8 ),30,36,39,0 . 0 %,31,29,39,99,boys,D1
31,Bellarmine ( 9 - 8 ),57,73,42,0 . 0 %,56,52,43,151,boys,D1
32,Binghamton ( 6 - 7 ),59,59,48,0 . 0 %,57,65,47,169,boys,D1
33,Brown ( 3 - 11 ),36,13,60,0 . 0 %,42,21,57,120,boys,D1
34,Bryant ( 9 - 5 ),29,47,35,0 . 0 %,33,61,31,125,boys,D1
35,Bucknell ( 4 - 10 ),50,34,67,0 . 0 %,59,48,65,172,boys,D1
36,Canisius ( 5 - 10 ),67,68,64,0 . 0 %,65,59,66,190,boys,D1
37,Cleveland State ( 9 - 8 ),62,62,43,0 . 0 %,45,39,44,128,boys,D1
38,Dartmouth ( 3 - 10 ),49,25,59,0 . 0 %,58,38,59,155,boys,D1
39,Detroit Mercy ( 3 - 10 ),68,65,68,0 . 0 %,69,69,68,206,boys,D1
40,Drexel ( 6 - 9 ),44,33,49,0 . 0 %,41,34,50,125,boys,D1
41,Fairfield ( 8 - 7 ),42,48,41,0 . 0 %,46,47,41,134,boys,D1
42,Hampton ( 0 - 13 ),76,53,74,0 . 0 %,76,72,74,222,boys,D1
43,High Point ( 9 - 7 ),34,43,29,0 . 0 %,37,30,29,96,boys,D1
44,Hobart ( 4 - 9 ),52,32,54,0 . 0 %,53,45,54,152,boys,D1
45,Hofstra ( 6 - 9 ),48,46,58,0 . 0 %,55,57,60,172,boys,D1
46,Holy Cross (MA) ( 2 - 11 ),65,38,69,0 . 0 %,68,58,69,195,boys,D1
47,Jacksonville ( 13 - 5 ),35,61,23,0 . 0 %,29,37,23,89,boys,D1
48,Lafayette ( 6 - 7 ),43,45,44,0 . 0 %,49,54,45,148,boys,D1
49,Le Moyne ( 3 - 8 ),64,54,55,0 . 0 %,67,76,55,198,boys,D1
50,Lindenwood ( 0 - 12 ),75,70,72,0 . 0 %,75,70,72,217,boys,D1
51,LIU ( 10 - 4 ),56,74,26,0 . 0 %,43,67,26,136,boys,D1
52,Manhattan ( 8 - 9 ),53,51,52,0 . 0 %,36,23,51,110,boys,D1
53,Marist ( 8 - 7 ),55,64,45,0 . 0 %,44,53,46,143,boys,D1
54,Marquette ( 4 - 10 ),47,31,50,0 . 0 %,50,28,52,130,boys,D1
55,Massachusetts ( 6 - 8 ),37,41,53,0 . 0 %,47,44,48,139,boys,D1
56,Massachusetts-Lowell ( 0 - 12 ),74,52,73,0 . 0 %,73,71,73,217,boys,D1
57,Mercer ( 4 - 10 ),70,69,65,0 . 0 %,66,64,67,197,boys,D1
58,Merrimack ( 6 - 9 ),61,44,61,0 . 0 %,48,49,61,158,boys,D1
59,Monmouth ( 5 - 8 ),51,56,51,0 . 0 %,62,55,53,170,boys,D1
60,Mount St Marys ( 1 - 14 ),71,58,75,0 . 0 %,70,56,75,201,boys,D1
61,Navy ( 9 - 7 ),32,27,33,0 . 0 %,32,33,36,101,boys,D1
62,NJIT ( 8 - 6 ),58,71,40,0 . 0 %,61,74,40,175,boys,D1
63,Providence ( 7 - 8 ),33,26,38,0 . 0 %,35,31,37,103,boys,D1
64,Queens ( 2 - 11 ),72,75,70,0 . 0 %,74,73,71,218,boys,D1
65,Quinnipiac ( 9 - 5 ),40,67,37,0 . 0 %,40,66,38,144,boys,D1
66,Robert Morris ( 5 - 10 ),66,63,63,0 . 0 %,64,51,62,177,boys,D1
67,Sacred Heart ( 13 - 5 ),38,66,28,0 . 0 %,34,50,28,112,boys,D1
68,Siena ( 8 - 8 ),54,72,56,0 . 0 %,54,62,56,172,boys,D1
69,St Bonaventure ( 1 - 11 ),69,55,71,0 . 0 %,71,75,70,216,boys,D1
70,St Johns (NY) ( 4 - 11 ),60,35,66,0 . 0 %,51,35,63,149,boys,D1
71,St Josephs (PA) ( 12 - 4 ),18,28,15,0 . 0 %,15,20,14,49,boys,D1
72,Stony Brook ( 4 - 10 ),41,40,62,0 . 0 %,60,43,64,167,boys,D1
73,UMBC ( 5 - 7 ),46,49,46,0 . 0 %,52,60,49,161,boys,D1
74,Vermont ( 8 - 8 ),39,42,47,0 . 0 %,39,42,42,123,boys,D1
75,VMI ( 7 - 8 ),63,76,57,0 . 0 %,63,68,58,189,boys,D1
76,Wagner ( 1 - 14 ),73,60,76,0 . 0 %,72,63,76,211,boys,D1
