index,Team,Record,RPI,Projections,1st,2nd,3rd,SOS,vs 1-5,vs 6-10,vs 11-20,vs 21+
78,Colgate,2-11,0.4640,,0.1538,0.5896,0.5231,35,0 - 0,0 - 1,0 - 0,2 - 10
79,Monmouth,6-8,0.4627,,0.4286,0.4486,0.5248,58,0 - 0,0 - 0,0 - 2,6 - 6
80,Villanova,6-7,0.4604,,0.4615,0.4432,0.4934,83,0 - 0,0 - 0,0 - 1,6 - 6
81,Queens,8-6,0.4583,,0.5714,0.3978,0.4662,93,0 - 0,0 - 0,0 - 0,8 - 6
82,East Carolina,3-11,0.4563,,0.2143,0.5504,0.5099,41,0 - 0,0 - 0,0 - 3,3 - 8
83,LIU,7-7,0.4551,,0.5000,0.4445,0.4315,101,0 - 0,0 - 0,0 - 0,7 - 7
84,Columbia,3-9,0.4494,,0.2500,0.5125,0.5227,54,0 - 0,0 - 1,0 - 2,3 - 6
85,VCU,4-11,0.4479,,0.2667,0.5084,0.5081,44,0 - 0,0 - 1,0 - 0,4 - 10
86,William and Mary,4-11,0.4452,,0.2667,0.5067,0.5006,52,0 - 1,0 - 1,0 - 1,4 - 8
87,California,4-9,0.4451,,0.3077,0.4936,0.4856,70,0 - 0,0 - 0,0 - 0,4 - 9
88,Furman,6-8,0.4434,,0.4286,0.4333,0.4785,78,0 - 0,0 - 0,0 - 2,6 - 6
89,San Diego State,2-12,0.4422,,0.1429,0.5610,0.5039,45,0 - 0,0 - 0,0 - 3,2 - 9
90,George Mason,9-6,0.4413,,0.6000,0.3668,0.4315,108,0 - 0,0 - 0,0 - 0,9 - 6
91,Central Michigan,4-11,0.4381,,0.2667,0.5073,0.4713,51,0 - 2,0 - 1,0 - 0,4 - 8
92,Campbell,3-12,0.4363,,0.2000,0.5297,0.4856,53,0 - 0,0 - 0,0 - 1,3 - 11
93,Rider,8-7,0.4341,,0.5333,0.3785,0.4459,104,0 - 0,0 - 0,0 - 0,8 - 7
94,Bucknell,4-8,0.4326,,0.3333,0.4403,0.5164,85,0 - 0,0 - 0,0 - 0,4 - 8
95,Manhattan,4-11,0.4305,,0.2667,0.4868,0.4817,63,0 - 0,0 - 0,0 - 1,4 - 10
96,Wofford,5-7,0.4273,,0.4167,0.4279,0.4369,111,0 - 0,0 - 0,0 - 0,5 - 7
97,Duquesne,7-7,0.4273,,0.5000,0.3924,0.4242,114,0 - 0,0 - 0,0 - 0,7 - 7
98,Quinnipiac,2-11,0.4270,,0.1538,0.5316,0.4909,71,0 - 1,0 - 0,0 - 1,2 - 9
99,Marist,3-11,0.4265,,0.2143,0.5058,0.4803,74,0 - 0,0 - 0,0 - 1,3 - 10
100,Lafayette,4-9,0.4211,,0.3077,0.4422,0.4923,81,0 - 0,0 - 1,0 - 0,4 - 8
101,New Hampshire,2-10,0.4202,,0.1667,0.5218,0.4705,76,0 - 0,0 - 0,0 - 0,2 - 10
102,Eastern Michigan,6-6,0.4196,,0.5000,0.3639,0.4505,117,0 - 1,0 - 1,0 - 0,6 - 4
103,Old Dominion,3-11,0.4189,,0.2143,0.4944,0.4723,75,0 - 0,0 - 0,0 - 1,3 - 10
104,Saint Francis,7-6,0.4188,,0.5385,0.3662,0.4044,122,0 - 0,0 - 0,0 - 0,7 - 6
105,Kent State,5-10,0.4101,,0.3333,0.4474,0.4121,106,0 - 0,0 - 0,0 - 0,5 - 10
106,Stonehill,6-7,0.4055,,0.4615,0.3684,0.4237,110,0 - 0,0 - 0,0 - 0,6 - 7
107,Butler,2-12,0.4030,,0.1429,0.4967,0.4756,73,0 - 0,0 - 1,0 - 1,2 - 10
108,Stetson,4-9,0.3963,,0.3077,0.4163,0.4448,95,0 - 0,0 - 0,0 - 1,4 - 8
109,Longwood,7-7,0.3908,,0.5000,0.3097,0.4439,119,0 - 0,0 - 0,0 - 0,7 - 7
110,Akron,6-8,0.3876,,0.4286,0.3577,0.4065,120,0 - 0,0 - 0,0 - 0,6 - 8
111,George Washington,4-11,0.3760,,0.2667,0.3961,0.4451,95,0 - 0,0 - 0,0 - 0,4 - 11
112,Robert Morris,4-11,0.3745,,0.2667,0.3931,0.4453,100,0 - 0,0 - 0,0 - 1,4 - 10
113,Merrimack,3-11,0.3711,,0.2143,0.4269,0.4161,99,0 - 0,0 - 0,0 - 0,3 - 11
114,Wagner,4-9,0.3684,,0.3077,0.3713,0.4234,113,0 - 0,0 - 0,0 - 0,4 - 9
115,Kennesaw State,4-9,0.3658,,0.3077,0.3633,0.4291,116,0 - 0,0 - 0,0 - 0,4 - 9
116,La Salle,2-10,0.3656,,0.1667,0.4215,0.4526,94,0 - 0,0 - 0,0 - 0,2 - 10
117,Xavier,3-10,0.3519,,0.2308,0.3578,0.4613,102,0 - 0,0 - 0,0 - 0,3 - 10
118,Winthrop,1-12,0.3448,,0.0769,0.4397,0.4230,105,0 - 0,0 - 0,0 - 0,1 - 12
119,Radford,4-9,0.3366,,0.3077,0.3306,0.3776,126,0 - 0,0 - 0,0 - 0,4 - 9
120,Detroit Mercy,3-11,0.3324,,0.2143,0.3418,0.4319,118,0 - 0,0 - 0,0 - 0,3 - 11
121,Presbyterian,2-10,0.3242,,0.1667,0.3717,0.3867,124,0 - 0,0 - 0,0 - 0,2 - 10
122,Delaware State,2-11,0.3242,,0.1538,0.3832,0.3764,123,0 - 0,0 - 0,0 - 0,2 - 11
123,Youngstown State,0-14,0.3049,,0.0000,0.4030,0.4135,115,0 - 0,0 - 0,0 - 0,0 - 14
124,Central Conn,2-10,0.3013,,0.1667,0.3196,0.3993,125,0 - 1,0 - 0,0 - 0,2 - 9
125,Gardner-Webb,0-14,0.2955,,0.0000,0.3753,0.4313,109,0 - 0,0 - 0,0 - 0,0 - 14
126,Fairleigh Dickinson,2-13,0.2936,,0.1333,0.3221,0.3969,121,0 - 0,0 - 0,0 - 0,2 - 13
127,Howard,0-14,0.2429,,0.0000,0.2912,0.3891,127,0 - 0,0 - 0,0 - 0,0 - 14
