event,eventDate,state,year,link,webSource,gender,added,division
BU Terrier August Prospect Clinic,08/25/2024,"Boston, MA",2025-2029,https://bostonulacrossecamps.com/camp2.html,mass_elite,,,
August Elite Prospect Clinic at Virginia Tech,08/25/2024,"Blacksburg, VA",2025-2028,https://skieralacrossecamps.com/camp2.html,mass_elite,,,
Prospect Day,12/02/2023,South Carolina,,https://ngulacrossecamps.com/,airtable,Men,08/11/2023,D2
7 v 7 HS Tournament,12/02/2023,Virginia,,https://lynchburgmenslacrossecamps.totalcamps.com/shop/product/238319,airtable,Men,08/29/2023,D3
Elite Camp 2-Day,12/02/2023,California,,https://stanfordgirlslacrossecamps.totalcamps.com/Content/51524,airtable,Women,09/12/2023,D1
Junior Day,12/02/2023,Virginia,,,airtable,Women,09/26/2023,D3
Prospect Clinic,12/02/2023,New Hampshire,,https://www.mountaindoglaxcamps.com/winter-prospect-clinic-at-dartmouth-college.cfm,airtable,Women,10/11/2023,D1
Prospect Day,12/02/2023,North Carolina,,https://www.umolaxcamps.com/,airtable,Women,10/12/2023,D2
Elite Camp 2-day,12/02/2023,South Carolina,,https://clemsontigers.com/camps/#:~:text=Allison%20Kwolek%20Lacrosse%20Camps,airtable,Women,10/13/2023,D1
Prospect Clinic,12/03/2023,Virginia,,https://register.ryzer.com/camp.cfm?sport=27&id=252277,airtable,Women,08/11/2023,D3
7 v 7 HS Tournament,12/03/2023,Virginia,,https://lynchburgmenslacrossecamps.totalcamps.com/shop/product/238319,airtable,Men,08/29/2023,D3
Prospect Clinic,12/03/2023,Florida,,kglaxllc.com,airtable,Women,09/05/2023,D2
Prospect Day,12/03/2023,Pennsylvania,,https://www.saintjosephslacrosse.com/Default.aspx?tabid=1433695,airtable,Men,09/13/2023,D1
Winter Skill Clinic,12/03/2023,Michigan,,https://cmulacrossecamps.totalcamps.com/shop/product/248186,airtable,Women,09/27/2023,D1
Prospect Clinic,12/03/2023,Pennsylvania,,https://lehighwomenslacrossecamps.totalcamps.com/shop/product/246046,airtable,Women,09/27/2023,D1
Prospect Day,12/09/2023,Virginia,,https://www.captainselitelax.com/-winter-prospect-day.cfm,airtable,Women,08/24/2023,D3
Winter Camp 3-Day,12/27/2023,North Carolina,,https://dukelacrossecamp.com/camp1.html,airtable,Women,10/11/2023,D1
Winter Camp 2-Day,12/28/2023,Florida,,https://floridagators.com/sports/2023/1/27/winter-lacrosse-camp.aspx,airtable,Women,10/11/2023,D1
Prospect Weekend 3-Day,01/05/2024,Florida,,https://www.eventbrite.com/e/rollins-womens-lacrosse-2023-24-prospect-clinics-registration-698423963877?aff=oddtdtcreator,airtable,Women,09/10/2023,D2
Winter College Showcase,01/07/2024,Michigan,,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,Women,08/04/2023,D2
Prospect ID Clinic,01/11/2024,California,,https://dominicanwomenslacrosseidcamp.totalcamps.com/shop/EVENT,airtable,Women,09/26/2023,D2
UNC High School Select Camp 3-Day,01/12/2024,North Carolina,,,airtable,Men,09/08/2023,D1
Winter ID Clinic,01/15/2024,California,,https://www.laxuhrelite.com/content/2024-winter-id-clinic,airtable,Women,09/25/2023,D3
Prospect Day,01/27/2024,Virginia,,https://www.eagleslacrossecamps.com/,airtable,Men,07/31/2023,D3
Prospect Clinic,01/27/2024,North Carolina,,,airtable,Women,10/05/2023,D1
Winter Wonderlax 5v5,02/03/2024,Michigan,,https://register.ryzer.com/camp.cfm?sport=27&id=251470,airtable,Women,08/04/2023,D2
Prospect Clinic,02/11/2024,Michigan,,https://www.grandvalleystatewomenslacrossecamps.com/,airtable,Women,08/04/2023,D2
Prospect Day,02/18/2024,Massachusetts,,https://aicmenslacrossecamps.totalcamps.com/shop/EVENT,airtable,Men,10/03/2023,D2
Prospect Day,02/25/2024,Massachusetts,,https://jumbolacrosseclinics.com/february-prospect-day/,airtable,Men,10/18/2023,D3
