Rank,Team,W,L,Rating,Link
171,Christian Bros (NJ),15,5,87.65,
172,Cheshire HS (CT),14,5,87.63,
173,Brewster Academy (NH),8,3,87.57,
174,Wantagh (NY),1,10,87.56,
175,Scarsdale (NY),15,3,87.54,
176,Bridgewater-Raritan (NJ),3,3,87.54,
177,Ponte Vedra (FL),16,1,87.53,
178,Burnt Hills (NY),13,1,87.49,
179,Phillips Exeter (NH),6,3,87.49,
180,South County (VA),3,5,87.47,
181,Archbishop Stepinac (NY),12,5,87.41,
182,Auburn (NY),11,4,87.36,
183,Norfolk Academy (VA),8,4,87.36,
184,Kent Island (MD),5,1,87.34,
185,Lake Braddock (VA),4,4,87.32,
186,Wheatley (NY),6,8,87.32,
187,Saint John Paul II (FL),9,5,87.3,
188,Penn Charter (PA),3,12,87.27,
189,Quince Orchard (MD),3,1,87.25,
190,Hunterdon Central (NJ),5,5,87.23,
191,Lake Mary (FL),18,2,87.22,
192,St Johns Prep Danvers (MA),17,2,87.22,
193,Fairfax (VA),2,4,87.18,
194,Eastlake (WA),15,0,87.14,
195,Mountain Vista (CO),10,2,87.14,
196,St Paul's School (NENG),6,5,87.14,
197,Oceanside Collegiate Academy (SC),9,3,87.13,
198,Highland Park (TX),14,3,87.08,
199,Garnet Valley (PA),17,5,87.05,
200,Niskayuna (NY),11,1,87.04,
