Rank,Team,W,L,Rating,Link
204,Catonsville (MD),2,2,90.03,
205,Upper Dublin (PA),10,4,90.01,
206,Hopkinton (NH),17,0,90.0,
207,Commack (NY),3,5,89.99,
208,Rancocas Valley (NJ),17,4,89.97,
209,Pennsbury (PA),10,3,89.97,
210,Mt. St. Mary (NJ),15,7,89.94,
211,"Hempfield, Landisville (PA)",16,4,89.92,
212,Sachem East (NY),2,5,89.92,
213,Dublin Jerome (OH),10,1,89.89,
214,Rockford (MI),9,5,89.87,
215,Hagerty (FL),10,5,89.84,
216,Holy Child (MD),4,10,89.84,
217,Novato (CA),17,6,89.82,
218,Ravenwood (TN),1,1,89.82,
219,Bedford (NH),16,2,89.8,
220,Scripps Ranch (CA),16,2,89.8,
221,The Pingree School (MA ),8,1,89.77,
222,Fairfield Ludlowe (CT),12,5,89.75,
223,Queen Anne's (MD),9,2,89.74,
224,Moses Brown School (RI),16,3,89.73,
225,Indian Hills (NJ),17,4,89.72,
226,Camden Catholic (NJ),21,2,89.71,
227,"Easton Area, PA (PA)",3,2,89.7,
228,Gerstell Academy (MD),4,12,89.7,
229,Red Bank Catholic (NJ),17,5,89.68,
230,Pine Creek (CO),15,2,89.67,
231,Bishop Guertin (NH),19,2,89.66,
232,Sayville (NY),1,5,89.63,
233,Boca Raton (FL),12,2,89.6,
234,Newtown (CT),8,2,89.6,
235,Hotchkiss School (CT),2,6,89.6,
236,Comsewogue (NY),4,7,89.59,
237,Westhill (NY),14,2,89.57,
238,Amador Valley (CA),15,3,89.55,
239,Seneca (NJ),14,4,89.52,
240,Perkiomen Valley (PA),7,7,89.52,
241,Evergreen (CO),12,4,89.51,
242,Piedmont (CA),14,2,89.49,
243,Bethlehem (NY),0,2,89.47,
244,Dulaney (MD),1,4,89.42,
245,Hinsdale Central (IL),19,4,89.38,
246,Ensworth (TN),15,2,89.36,
247,Hill School (PA),10,6,89.36,
248,Collegiate School (VA),17,6,89.35,
249,Potomac School (VA),9,11,89.35,
250,"Exeter Township, PA (PA)",16,5,89.34,
251,Pine Crest (FL),7,6,89.34,
252,Milton Academy (MA ),3,7,89.34,
253,Maine Endwell (NY),1,0,89.33,
254,Notre Dame (NJ),16,5,89.33,
255,Lincoln-Sudbury (MA),8,3,89.33,
256,Wellesley (MA),3,2,89.32,
257,Portsmouth (NH),18,3,89.28,
258,West Forsyth (GA),5,3,89.27,
259,St. Thomas Aquinas (FL),7,6,89.25,
260,Paul VI (VA),11,10,89.25,
261,Fellowship Christian (GA),11,0,89.24,
262,"Wilson, West Lawn (PA)",17,6,89.23,
263,Bishop Shanahan (PA),11,4,89.21,
264,Episcopal (VA),4,14,89.2,
265,Tabor Academy (MA ),6,6,89.19,
266,Long Beach (NY),1,6,89.19,
267,Conard (CT),4,4,89.17,
268,Catholic High (MD),1,0,89.15,
269,Warwick (NY),1,0,89.15,
270,Sachem North (NY),7,3,89.15,
271,Connetquot (NY),1,1,89.15,
272,Fairview (CO),13,4,89.14,
273,Vestal (NY),1,4,89.14,
274,Chaparral (CO),10,6,89.1,
275,Ocean City (NJ),19,3,89.09,
276,Cambridge (GA),13,5,89.09,
277,Natick (MA),2,0,89.07,
278,Huntington (NY),2,5,89.07,
279,Palmyra Macedon (NY),0,1,89.07,
280,Wissahickon (PA),11,2,89.06,
281,Sacred Heart Prep (CA),15,4,89.06,
282,Greenwich (CT),2,7,89.03,
283,Ramapo (NJ),8,9,88.98,
284,Springside Chesnut Hill (PA),3,11,88.98,
285,Hillgrove (GA),11,2,88.97,
286,Central Bucks East (PA),11,4,88.96,
287,South Jefferson (NY),8,3,88.96,
288,"St. Catherine's, VA (VA)",15,6,88.96,
289,Manasquan (NJ),15,3,88.95,
290,Thomas Worthington (OH),5,4,88.95,
291,Bronxville (NY),0,3,88.94,
292,North Paulding (GA),14,2,88.93,
293,Arundel (MD),1,5,88.93,
294,Central Bucks West (PA),8,6,88.92,
295,Victor (NY),0,3,88.92,
296,Saucon Valley (PA),17,2,88.9,
297,Charlotte Catholic (NC),17,5,88.9,
298,Glastonbury (CT),6,3,88.88,
299,Gwynedd Mercy Academy (PA),4,2,88.86,
300,Northern Highlands (NJ),9,9,88.85,
301,Yorktown (NY),0,3,88.85,
302,Phillips Acad Andover (MA ),5,7,88.84,
303,North Branford (CT),10,1,88.78,
304,Morris Knolls (NJ),13,5,88.76,
305,Spring-Ford (PA),5,5,88.76,
306,Brewster (NY),0,1,88.76,
307,IMG Academy (FL),7,8,88.74,
308,North Harford (MD),1,3,88.74,
309,Pomperaug (CT),10,3,88.73,
310,Bullis School (MD),8,9,88.71,
311,North Andover (MA),0,1,88.71,
312,Summit CDS (OH),11,1,88.69,
313,Carle Place (NY),1,1,88.63,
314,Hockaday SG (TX),12,5,88.62,
315,Boyertown Area (PA),4,9,88.61,
316,John Jay - Cross River (NY),1,4,88.6,
317,Loveland (OH),10,2,88.59,
318,Islip (NY),2,4,88.59,
319,Mynderse-Romulus (NY),1,0,88.57,
320,Redwood (CA),18,3,88.57,
321,Lassiter (GA),12,6,88.49,
322,St. Augustine (FL),8,2,88.48,
323,St. John Paul II (FL),5,6,88.47,
324,Morristown (NJ),4,15,88.45,
325,Cocalico (PA),17,5,88.44,
