Champ % Rank,Team,PR,SOS-PR,QWF-PR,Champ %,RPI,SOS-RPI,QWF-RPI,Selection
175,Ohio Northern ( 10 - 4 ),79,118,57,0 . 0 %,68,115,59,242
176,Ohio Wesleyan ( 8 - 3 ),38,59,39,0 . 0 %,15,55,35,105
177,Oneonta ( 6 - 5 ),90,72,104,0 . 0 %,111,147,98,356
178,Oswego ( 8 - 3 ),76,106,53,0 . 0 %,77,149,41,267
179,Otterbein ( 6 - 6 ),139,147,132,0 . 0 %,129,140,130,399
180,Penn College ( 7 - 7 ),159,164,144,0 . 0 %,172,172,144,488
181,Pfeiffer ( 6 - 5 ),101,128,112,0 . 0 %,81,82,93,256
182,Piedmont ( 11 - 2 ),105,168,24,0 . 0 %,63,135,25,223
183,Plattsburgh ( 4 - 8 ),156,111,188,0 . 0 %,148,112,188,448
184,Plymouth State ( 8 - 4 ),103,117,67,0 . 0 %,95,143,65,303
185,Potsdam ( 6 - 5 ),66,84,88,0 . 0 %,79,81,86,246
186,Purchase ( 3 - 8 ),225,217,190,0 . 0 %,217,215,192,624
187,Randolph ( 4 - 9 ),216,198,199,0 . 0 %,212,201,201,614
188,Randolph-Macon ( 11 - 3 ),30,69,30,0 . 0 %,33,68,28,129
189,Regis (MA) ( 4 - 6 ),194,185,139,0 . 0 %,192,224,139,555
190,Rhodes ( 9 - 7 ),72,79,119,0 . 0 %,75,33,119,227
191,Rivier ( 7 - 6 ),114,157,127,0 . 0 %,155,169,126,450
192,Roger Williams ( 11 - 4 ),65,73,36,0 . 0 %,60,75,55,190
193,Rosemont ( 1 - 9 ),220,196,200,0 . 0 %,220,219,202,641
194,Sage ( 5 - 8 ),147,127,181,0 . 0 %,152,125,182,459
195,Salem State ( 4 - 9 ),208,193,214,0 . 0 %,214,226,214,654
196,Salve Regina ( 4 - 7 ),74,43,136,0 . 0 %,119,87,152,358
197,Scranton ( 7 - 7 ),52,50,128,0 . 0 %,82,43,114,239
198,Sewanee ( 10 - 4 ),84,93,58,0 . 0 %,37,39,50,126
199,Shenandoah ( 8 - 5 ),95,87,89,0 . 0 %,70,79,71,220
200,Skidmore ( 9 - 5 ),39,29,54,0 . 0 %,28,8,31,67
201,Southern Maine ( 5 - 8 ),179,174,182,0 . 0 %,189,181,183,553
202,Southern Virginia ( 5 - 9 ),134,108,209,0 . 0 %,116,32,193,341
203,Southwestern ( 2 - 12 ),131,61,239,0 . 0 %,161,38,234,433
204,Spalding ( 1 - 11 ),237,225,235,0 . 0 %,234,200,236,670
205,Springfield ( 4 - 8 ),47,17,120,0 . 0 %,100,41,153,294
206,St John Fisher ( 7 - 6 ),36,41,90,0 . 0 %,59,50,87,196
207,St Joseph (CT) ( 10 - 3 ),135,181,40,0 . 0 %,104,167,42,313
208,St Josephs (LI) ( 1 - 7 ),209,175,177,0 . 0 %,202,176,178,556
209,St Josephs (ME) ( 7 - 7 ),138,133,145,0 . 0 %,120,117,145,382
210,St Marys (MD) ( 10 - 3 ),51,134,37,0 . 0 %,69,105,32,206
211,St Vincent ( 4 - 8 ),129,91,189,0 . 0 %,91,65,189,345
212,Stockton ( 10 - 5 ),46,40,50,0 . 0 %,30,25,37,92
213,SUNY Poly ( 7 - 4 ),180,203,72,0 . 0 %,160,213,72,445
214,Susquehanna ( 12 - 2 ),71,124,21,0 . 0 %,66,130,21,217
215,Thiel ( 3 - 8 ),217,205,191,0 . 0 %,193,171,194,558
216,Thomas ( 1 - 6 ),215,223,133,0 . 0 %,227,199,131,557
217,Transylvania ( 8 - 6 ),94,158,121,0 . 0 %,109,88,120,317
218,Trine ( 6 - 6 ),162,201,134,0 . 0 %,182,185,132,499
219,U of New England ( 3 - 12 ),143,82,237,0 . 0 %,176,83,238,497
220,Ursinus ( 7 - 6 ),45,31,105,0 . 0 %,55,61,109,225
221,Utica ( 4 - 9 ),164,105,215,0 . 0 %,178,161,215,554
222,Vassar ( 9 - 4 ),35,32,22,0 . 0 %,10,11,16,37
223,Virginia Wesleyan ( 5 - 8 ),173,144,172,0 . 0 %,128,78,161,367
224,Wabash ( 8 - 4 ),169,190,68,0 . 0 %,112,174,66,352
225,Warren Wilson ( 0 - 10 ),239,239,210,0 . 0 %,239,239,210,688
226,Washington & Jefferson ( 3 - 8 ),213,220,192,0 . 0 %,213,205,195,613
227,Washington College ( 3 - 10 ),60,20,201,0 . 0 %,97,20,179,296
228,Wentworth ( 10 - 4 ),85,96,41,0 . 0 %,76,152,43,271
229,Western Connecticut ( 8 - 4 ),53,71,69,0 . 0 %,51,74,67,192
230,Western New England ( 7 - 6 ),31,38,61,0 . 0 %,49,22,106,177
231,Westminster (PA) ( 8 - 5 ),153,179,98,0 . 0 %,134,162,99,395
232,Wheaton ( 8 - 5 ),89,92,77,0 . 0 %,115,139,100,354
233,Widener ( 4 - 8 ),99,65,178,0 . 0 %,147,116,173,436
234,Wilkes ( 4 - 9 ),177,153,216,0 . 0 %,195,190,216,601
235,William Peace ( 3 - 8 ),210,227,193,0 . 0 %,225,230,196,651
236,Wilmington (OH) ( 4 - 10 ),232,234,227,0 . 0 %,230,217,227,674
237,Wittenberg ( 5 - 4 ),96,88,81,0 . 0 %,67,93,88,248
238,Wooster ( 10 - 3 ),70,116,42,0 . 0 %,42,98,44,184
239,York ( 6 - 7 ),21,14,62,0 . 0 %,31,1,60,92
