rank,team,w,l,rating,link,gender
123,Christ School (NC),22,2,90.78,,boys
124,Berkshire School (MA),10,8,90.78,,boys
125,Walton (GA),21,2,90.74,,boys
126,Westminster (MD),19,0,90.73,,boys
127,Bernards (NJ),13,5,90.69,,boys
128,St Joseph Montvale (NJ),12,6,90.69,,boys
129,Archbishop Spalding (MD),9,9,90.69,,boys
130,Albany Academy (NY),13,2,90.68,,boys
131,St Albans (DC),10,6,90.68,,boys
132,Springfield-Delco (PA),19,4,90.65,,boys
133,Cardinal Gibbons (NC),18,4,90.64,,boys
134,Conestoga (PA),21,4,90.63,,boys
135,Bayport-Blue Point (NY),8,4,90.58,,boys
136,Salesianum (DE),11,8,90.52,,boys
137,Canandaigua (NY),14,5,90.5,,boys
138,West Essex Regional (NJ),10,5,90.48,,boys
139,Hingham (MA),22,3,90.45,,boys
140,Avon Grove (PA),8,6,90.43,,boys
141,Skaneateles (NY),14,3,90.42,,boys
142,Lenape (NJ),15,4,90.42,,boys
143,New Trier (IL),20,5,90.39,,boys
144,Loyola Academy (IL),15,7,90.38,,boys
145,Medfield (MA),20,3,90.36,,boys
146,Sacred Heart Prep (CA),18,4,90.36,,boys
147,Montgomery Bell Academy (TN),12,2,90.33,,boys
148,La Costa Canyon (CA),15,6,90.27,,boys
149,McCallie School (TN),10,5,90.27,,boys
150,Fayetteville-Manlius (NY),15,4,90.25,,boys
