rank,team,w,l,rating,link,gender
90,Yorktown (NY),13,4,90.56,,boys
91,Rocky Point (NY),7,6,90.53,,boys
92,West Genesee (NY),6,11,90.49,,boys
93,DeMatha (MD),7,2,90.25,,boys
94,Pingry (NJ),12,2,90.23,,boys
95,North Shore (NY),8,5,90.19,,boys
96,Rye HS (NY),14,2,90.17,,boys
97,Westfield (NJ),12,5,90.16,,boys
98,Cicero North Syracuse (NY),5,10,90.13,,boys
99,Eastport/South Manor (NY),3,9,90.13,,boys
100,Rumson-Fair Haven (NJ),20,1,90.0,,boys
101,Bronxville (NY),11,6,89.99,,boys
102,Middlesex School (MA),3,0,89.96,,boys
103,Westhill (NY),14,2,89.96,,boys
104,Spencerport (NY),12,3,89.96,,boys
105,Pittsford (NY),9,7,89.95,,boys
106,Lafayette (NY),10,5,89.92,,boys
107,New Canaan (CT),10,8,89.9,,boys
108,Pinkerton Academy (NH),12,5,89.84,,boys
109,Woodson (VA),3,6,89.83,,boys
110,Ridgewood (NJ),7,6,89.78,,boys
111,McQuaid Jesuit (NY),6,6,89.77,,boys
112,Long Beach (NY),5,8,89.76,,boys
113,Miller Place (NY),6,8,89.75,,boys
114,Radnor (PA),24,2,89.74,,boys
115,Salesianum (DE),7,3,89.73,,boys
116,Jupiter (FL),18,1,89.69,,boys
117,Saint Andrew's (FL),16,0,89.68,,boys
118,Catonsville (MD),10,1,89.63,,boys
119,Mount St. Joseph (MD),4,11,89.61,,boys
120,Cape Henlopen (DE),2,4,89.54,,boys
121,Salmon River (NY),6,0,89.53,,boys
122,Centreville (VA),5,4,89.41,,boys
123,Allentown Central Cath (PA),16,1,89.39,,boys
124,Plainedge (NY),13,0,89.36,,boys
125,Century (MD),2,0,89.35,,boys
126,Thayer Academy (MA),8,3,89.33,,boys
127,Towson (MD),7,2,89.32,,boys
128,Delbarton (NJ),7,7,89.31,,boys
129,Pope John XXIII (NJ),12,4,89.24,,boys
130,Kimball Union (NH),6,4,89.22,,boys
131,IMG National (FL),10,2,89.14,,boys
132,Hotchkiss (CT),3,3,89.08,,boys
133,Rivers School (MA),5,7,89.07,,boys
134,Wilton (CT),15,6,88.95,,boys
135,Locust Valley (NY),5,7,88.83,,boys
136,Kellenberg Memorial (NY),8,9,88.79,,boys
137,Berkshire School (MA),6,5,88.76,,boys
138,John Carroll (MD),0,11,88.75,,boys
139,Corner Canyon (UT),22,0,88.68,,boys
140,La Salle College High (PA),10,4,88.64,,boys
141,Dallas Jesuit (TX),12,2,88.61,,boys
142,Upper Arlington (OH),13,2,88.58,,boys
143,St Thomas Aquinas (FL),11,5,88.58,,boys
144,Lakeland/Panas (NY),9,4,88.5,,boys
145,McLean (VA),3,5,88.46,,boys
146,New Hampton (NH),4,2,88.43,,boys
147,West Potomac (VA),7,2,88.4,,boys
148,St Augustine Prep (NJ),10,5,88.4,,boys
149,Floral Park (NY),6,5,88.34,,boys
150,Bergen Catholic (NJ),5,8,88.29,,boys
151,Montclair (NJ),7,4,88.27,,boys
152,Germantown Academy (PA),1,8,88.27,,boys
153,St Stephen/St Agnes (VA),5,7,88.25,,boys
154,Deep Run (VA),7,1,88.19,,boys
155,Greenwich (CT),11,6,88.18,,boys
156,Oceanside (NY),2,11,88.06,,boys
157,Tabor Academy (MA),6,4,88.01,,boys
158,Westfield (VA),2,5,87.98,,boys
159,Sanford School (DE),14,0,87.96,,boys
160,Episcopal HS (VA),6,4,87.93,,boys
161,Fairfield-Ludlowe (CT),10,9,87.92,,boys
162,Bernards (NJ),7,1,87.88,,boys
163,East Syracuse-Minoa (NY),9,3,87.88,,boys
164,Chatham (NJ),14,7,87.87,,boys
165,St Joseph Collegiate (NY),2,3,87.83,,boys
166,The Governor's Academy (MA),4,5,87.82,,boys
167,Penn Yan (NY),13,1,87.76,,boys
168,Loyola Academy (IL),19,1,87.71,,boys
169,Hereford (MD),9,2,87.71,,boys
170,Cape Elizabeth (ME),16,0,87.69,,boys
171,Christian Bros (NJ),15,5,87.65,,boys
172,Cheshire HS (CT),14,5,87.63,,boys
173,Brewster Academy (NH),8,3,87.57,,boys
174,Wantagh (NY),1,10,87.56,,boys
175,Scarsdale (NY),15,3,87.54,,boys
176,Bridgewater-Raritan (NJ),3,3,87.54,,boys
177,Ponte Vedra (FL),16,1,87.53,,boys
178,Burnt Hills (NY),13,1,87.49,,boys
179,Phillips Exeter (NH),6,3,87.49,,boys
180,South County (VA),3,5,87.47,,boys
181,Archbishop Stepinac (NY),12,5,87.41,,boys
182,Auburn (NY),11,4,87.36,,boys
183,Norfolk Academy (VA),8,4,87.36,,boys
184,Kent Island (MD),5,1,87.34,,boys
185,Lake Braddock (VA),4,4,87.32,,boys
186,Wheatley (NY),6,8,87.32,,boys
187,Saint John Paul II (FL),9,5,87.3,,boys
188,Penn Charter (PA),3,12,87.27,,boys
189,Quince Orchard (MD),3,1,87.25,,boys
190,Hunterdon Central (NJ),5,5,87.23,,boys
191,Lake Mary (FL),18,2,87.22,,boys
192,St Johns Prep Danvers (MA),17,2,87.22,,boys
193,Fairfax (VA),2,4,87.18,,boys
194,Eastlake (WA),15,0,87.14,,boys
195,Mountain Vista (CO),10,2,87.14,,boys
196,St Paul's School (NENG),6,5,87.14,,boys
197,Oceanside Collegiate Academy (SC),9,3,87.13,,boys
198,Highland Park (TX),14,3,87.08,,boys
199,Garnet Valley (PA),17,5,87.05,,boys
200,Niskayuna (NY),11,1,87.04,,boys
