rank,team,w,l,rating,link,gender
310,Awty International (TX),2,7,0.0,,girls
311,McKinney (TX),3,11,0.0,,girls
312,Bartram Trail (FL),1,4,0.0,,girls
313,Episcopal School (FL),1,4,0.0,,girls
314,Klein (TX),2,8,0.0,,girls
315,Allen (TX),1,5,0.0,,girls
316,Memorial (TX),1,5,0.0,,girls
317,St. Mary's Hall (TX),2,12,0.0,,girls
318,Bowie (TX),1,7,0.0,,girls
319,Mercy (MD),1,7,0.0,,girls
320,Plano (TX),1,8,0.0,,girls
321,Bellaire (TX),1,11,0.0,,girls
322,North Gwinnett (GA),0,2,0.0,,girls
323,Academic Magnet (SC),0,1,0.0,,girls
324,Agoura (CA),0,1,0.0,,girls
325,Aiken (SC),0,1,0.0,,girls
326,Air Academy (CO),0,2,0.0,,girls
327,Albany (NY),0,1,0.0,,girls
328,Albemarle (VA),0,1,0.0,,girls
329,Allentown Central Catholic (PA),0,1,0.0,,girls
330,Alpharetta (GA),0,2,0.0,,girls
331,Amsterdam (NY),0,1,0.0,,girls
332,Archbishop Mitty (CA),0,3,0.0,,girls
333,Arlington (NY),0,1,0.0,,girls
334,Arundel (MD),0,1,0.0,,girls
335,Ashland (MA),0,1,0.0,,girls
336,Assumption (KY),0,1,0.0,,girls
337,Athens Drive (NC),0,2,0.0,,girls
338,Atherton (KY),0,1,0.0,,girls
339,Auburn (NY),0,1,0.0,,girls
340,Averill Park (NY),0,1,0.0,,girls
341,Baldwinsville (NY),0,2,0.0,,girls
342,Ballston Spa (NY),0,1,0.0,,girls
343,Barron G. Collier (FL),0,1,0.0,,girls
344,Bayside (NY),0,1,0.0,,girls
345,Beach Channel (NY),0,1,0.0,,girls
346,Beaver CDS (MA ),0,1,0.0,,girls
347,Belleville West (IL),0,1,0.0,,girls
348,Bethesda-Chevy Chase (MD),0,1,0.0,,girls
349,Bishop Feehan (MA),0,1,0.0,,girls
350,Bishop Manogue Club (NV),0,1,0.0,,girls
351,Bishop McNamara (MD),0,2,0.0,,girls
352,Bishop O'Connell (VA),0,5,0.0,,girls
353,Bishop Shanahan (PA),0,1,0.0,,girls
354,Blake (MD),0,2,0.0,,girls
355,Blind Brook (NY),0,1,0.0,,girls
356,Bloomfield Hills (MI),0,1,0.0,,girls
357,Bluffton (SC),0,1,0.0,,girls
358,Bolles School (FL),0,1,0.0,,girls
359,Bonner-Prendergast (PA),0,1,0.0,,girls
360,Branson School (CA),0,1,0.0,,girls
361,Brebeuf Jesuit Prep (IN),0,1,0.0,,girls
362,Briarcrest (TN),0,1,0.0,,girls
363,Brien McMahon (CT),0,1,0.0,,girls
364,Brighton (NY),0,1,0.0,,girls
365,Broadneck (MD),0,2,0.0,,girls
366,Brookline (MA),0,1,0.0,,girls
367,Broughton (NC),0,3,0.0,,girls
368,Buckingham (MA ),0,1,0.0,,girls
369,Buford (GA),0,2,0.0,,girls
370,Bullis School (MD),0,10,0.0,,girls
371,Burnt Hills Ballston Lake (NY),0,1,0.0,,girls
372,California HS (Danville) (CA),0,1,0.0,,girls
373,Cambridge (GA),0,2,0.0,,girls
374,Cambridge-South Dorchester (MD),0,1,0.0,,girls
375,Cardinal Newman (CA),0,1,0.0,,girls
376,Carmel (NY),0,1,0.0,,girls
377,Carondelet (CA),0,2,0.0,,girls
378,Carthage (NY),0,2,0.0,,girls
379,Catholic High School (VA),0,1,0.0,,girls
380,Cedar Crest (PA),0,2,0.0,,girls
381,Celebration (FL),0,1,0.0,,girls
382,Centreville (VA),0,1,0.0,,girls
383,Chaminade College Prep (CA),0,1,0.0,,girls
384,Chantilly (VA),0,1,0.0,,girls
385,Chaparral (AZ),0,1,0.0,,girls
386,Chapel Hill (NC),0,1,0.0,,girls
387,Chatfield (CO),0,1,0.0,,girls
388,Cherry Creek (CO),0,2,0.0,,girls
389,Cheshire (CT),0,1,0.0,,girls
390,Cheshire Academy (CT),0,1,0.0,,girls
391,Christian Academy (KY),0,2,0.0,,girls
392,Cincinnati Hills CA (OH),0,1,0.0,,girls
393,Clarkstown North (NY),0,2,0.0,,girls
394,Clear Springs (TX),0,7,0.0,,girls
395,College Park (CA),0,1,0.0,,girls
396,Collegiate (KY),0,1,0.0,,girls
397,Colonie (NY),0,1,0.0,,girls
398,Columbine (CO),0,1,0.0,,girls
399,Community School (FL),0,1,0.0,,girls
400,Concord Academy (MA ),0,1,0.0,,girls
401,Concordia Prep (MD),0,1,0.0,,girls
402,Conestoga Valley (PA),0,2,0.0,,girls
403,Conwell Egan Catholic (PA),0,1,0.0,,girls
404,Corona Del Sol (AZ),0,1,0.0,,girls
405,Covenant School (VA),0,2,0.0,,girls
406,"Crestwood, PA (PA)",0,1,0.0,,girls
407,Culver City (CA),0,1,0.0,,girls
408,Curtis (NY),0,1,0.0,,girls
409,D.H. Conley Club (NC),0,1,0.0,,girls
410,Dakota Ridge (CO),0,2,0.0,,girls
411,Damonte Ranch Club (NV),0,1,0.0,,girls
412,Daniel Hand (CT),0,1,0.0,,girls
413,Danville Area (PA),0,1,0.0,,girls
414,Davis (CA),0,1,0.0,,girls
415,Deep Run (VA),0,1,0.0,,girls
416,Deer Park (NY),0,1,0.0,,girls
417,Deerfield Academy (MA ),0,1,0.0,,girls
418,Del Norte (CA),0,1,0.0,,girls
419,Del Oro (CA),0,2,0.0,,girls
420,Denmark (GA),0,2,0.0,,girls
421,Denver East (CO),0,1,0.0,,girls
422,Desert Vista (AZ),0,1,0.0,,girls
423,Dexter Southfield (MA ),0,1,0.0,,girls
424,Dougherty Valley (CA),0,1,0.0,,girls
425,Dover (DE),0,1,0.0,,girls
426,Downey (CA),0,1,0.0,,girls
427,Downingtown East (PA),0,1,0.0,,girls
428,Dublin Coffman (OH),0,1,0.0,,girls
429,Dulaney (MD),0,3,0.0,,girls
430,Durham Academy (NC),0,1,0.0,,girls
431,Dutch Fork (SC),0,2,0.0,,girls
432,Eagles Co-Op (IL),0,1,0.0,,girls
433,East (UT),0,1,0.0,,girls
434,East Forsyth (NC),0,1,0.0,,girls
435,East Ridge (FL),0,1,0.0,,girls
436,East Ridge (MN),0,1,0.0,,girls
437,Eastern Technical (MD),0,1,0.0,,girls
438,"Easton Area, PA (PA)",0,1,0.0,,girls
439,Edgewater (FL),0,1,0.0,,girls
440,Edgewood (MD),0,1,0.0,,girls
441,Edison - Huntington Beach (CA),0,1,0.0,,girls
442,El Camino (CA),0,1,0.0,,girls
443,El Segundo (CA),0,1,0.0,,girls
444,Elizabeth Seton (MD),0,6,0.0,,girls
445,Emmaus (PA),0,1,0.0,,girls
446,Enloe (NC),0,3,0.0,,girls
447,Ephrata (PA),0,1,0.0,,girls
448,Episcopal (VA),0,5,0.0,,girls
449,Evans (GA),0,1,0.0,,girls
450,Evanston Township (IL),0,1,0.0,,girls
451,Evansville Memorial (IN),0,1,0.0,,girls
452,Evansville North (IN),0,1,0.0,,girls
453,F.D. Roosevelt (NY),0,1,0.0,,girls
454,Fairfield Ludlowe (CT),0,1,0.0,,girls
455,Fairview (CO),0,1,0.0,,girls
456,Fallston (MD),0,4,0.0,,girls
457,Farmington (UT),0,1,0.0,,girls
458,Father Ryan (TN),0,1,0.0,,girls
459,FCA (MD),0,1,0.0,,girls
460,Fenwick (IL),0,1,0.0,,girls
461,Field School (DC),0,1,0.0,,girls
462,First Academy (FL),0,3,0.0,,girls
463,Floral Park Memorial (NY),0,1,0.0,,girls
464,Folsom (CA),0,1,0.0,,girls
465,Forest Hills Central (MI),0,1,0.0,,girls
466,Forest Hills Eastern (MI),0,2,0.0,,girls
467,Forsyth Central (GA),0,2,0.0,,girls
468,Fort Mill (SC),0,1,0.0,,girls
469,Foxborough (MA),0,1,0.0,,girls
470,Francis Howell (MO),0,1,0.0,,girls
471,Francis Howell Central (MO),0,1,0.0,,girls
472,Francis Parker School (CA),0,1,0.0,,girls
473,Franklin (MD),0,1,0.0,,girls
474,Franklin (MA),0,1,0.0,,girls
475,"Freedom, PA (PA)",0,1,0.0,,girls
476,Freeport (NY),0,1,0.0,,girls
477,Fulton (NY),0,1,0.0,,girls
478,Gahanna Lincoln (OH),0,1,0.0,,girls
479,Garnet Valley (PA),0,2,0.0,,girls
480,Garrison Forest (MD),0,6,0.0,,girls
481,George Marshall (VA),0,1,0.0,,girls
482,Georgetown Day School (DC),0,1,0.0,,girls
483,Germantown Academy (PA),0,3,0.0,,girls
484,Girls Prep School (TN),0,1,0.0,,girls
485,Glen Allen (VA),0,1,0.0,,girls
486,Glen Cove (NY),0,1,0.0,,girls
487,Glen Ridge (NJ),0,1,0.0,,girls
488,Glenbrook North (IL),0,1,0.0,,girls
489,Glenbrook South (IL),0,2,0.0,,girls
