rank,team,w,l,rating,link,gender
186,Shoreham-Wading River (NY),7,6,91.48,,boys
187,Weddington (NC),13,2,91.46,,boys
188,Cardinal Mooney (FL),25,3,91.45,,boys
189,Glastonbury (CT),14,6,91.43,,boys
190,Williston Northampton (MA),5,3,91.43,,boys
191,Niskayuna (NY),19,2,91.4,,boys
192,Smithtown East (NY),8,8,91.4,,boys
193,Neuqua Valley (IL),1,1,91.39,,boys
194,Phillips Andover (MA),8,8,91.39,,boys
195,Lyons Township (IL),2,0,91.35,,boys
196,Central Bucks West (PA),11,3,91.33,,boys
197,Archbishop Spalding (MD),7,10,91.31,,boys
198,Homer (NY),17,2,91.29,,boys
199,Johns Creek (GA),14,4,91.27,,boys
200,Cohasset (MA),17,6,91.27,,boys
201,St Peter's Prep (NJ),4,2,91.27,,boys
202,Bridgewater-Raritan (NJ),2,1,91.23,,boys
203,Bishop O'Connell (VA),11,8,91.22,,boys
204,Ramapo (NJ),5,5,91.17,,boys
205,Kent Island (MD),7,1,91.14,,boys
206,Westminster (GA),12,6,91.14,,boys
207,Farmingdale (NY),11,2,91.13,,boys
208,Syosset (NY),4,6,91.1,,boys
209,Mount St Joseph (MD),6,11,91.1,,boys
210,Columbus DeSales (OH),14,2,91.09,,boys
211,Spring-Ford (PA),12,3,91.09,,boys
212,Jamesville-DeWitt (NY),14,4,91.08,,boys
213,East Grand Rapids (MI),9,3,91.08,,boys
214,Arapahoe (CO),12,4,91.07,,boys
215,St Anne's-Belfield (VA),11,8,91.06,,boys
216,Chaminade Prep (CA),2,2,91.06,,boys
217,Franklin (MA),16,4,91.04,,boys
218,Eagan (MN),5,2,91.02,,boys
219,Melrose (MA),18,2,90.98,,boys
220,Ridgewood (NJ),3,3,90.96,,boys
221,Cardinal Gibbons (NC),15,2,90.95,,boys
222,Southern Lehigh (PA),12,2,90.95,,boys
223,Westminster (MD),6,1,90.93,,boys
224,Robinson (VA),11,2,90.93,,boys
225,Christ School (NC),13,4,90.93,,boys
226,Upper Arlington (OH),16,2,90.92,,boys
227,Louisville Trinity (KY),14,5,90.92,,boys
228,East Islip (NY),10,4,90.89,,boys
229,Riverhead (NY),8,8,90.89,,boys
230,Penn Charter (PA),8,12,90.89,,boys
231,Coronado (CA),4,5,90.87,,boys
232,Montgomery (NJ),2,0,90.86,,boys
233,Pittsford (NY),10,8,90.86,,boys
234,Lake Norman (NC),18,2,90.85,,boys
235,Worthington Kilbourne (OH),12,4,90.81,,boys
236,St Augustine Prep (NJ),6,6,90.81,,boys
237,St Christopher's (VA),7,7,90.79,,boys
238,Harvard-Westlake (CA),1,5,90.78,,boys
239,Hartland (MI),17,2,90.77,,boys
240,Downingtown East (PA),12,5,90.77,,boys
241,Millburn (NJ),5,1,90.76,,boys
242,Pingree (MA),1,2,90.72,,boys
243,Hightstown (NJ),2,0,90.7,,boys
244,Newtown (CT),12,3,90.69,,boys
245,Guilford (CT),2,3,90.66,,boys
246,Benjamin School (FL),11,4,90.65,,boys
247,West Chester Henderson (PA),11,4,90.63,,boys
248,Mountain Vista (CO),11,6,90.62,,boys
249,Walpole (MA),15,5,90.61,,boys
250,Comsewogue (NY),9,5,90.59,,boys
251,Anaheim Servite (CA),4,2,90.58,,boys
252,Northport (NY),7,9,90.57,,boys
253,Mariemont (OH),16,2,90.54,,boys
254,Bergen Catholic (NJ),4,5,90.53,,boys
255,Webster Schroeder (NY),12,6,90.48,,boys
256,St Joseph Collegiate (NY),12,4,90.44,,boys
257,Brother Rice (MI),8,5,90.44,,boys
258,Mercer Island (WA),16,7,90.41,,boys
259,The Heights (MD),14,5,90.4,,boys
260,Patrick Henry Roanoke (VA),1,1,90.4,,boys
261,Daniel Hand-Madison (CT),1,3,90.38,,boys
262,Hastings (MN),1,0,90.32,,boys
263,Stillwater (MN),4,0,90.31,,boys
264,Kellenberg Memorial (NY),7,7,90.3,,boys
265,Westhill (NY),16,6,90.29,,boys
266,Longmeadow (MA),17,5,90.28,,boys
267,McCallie School (TN),10,4,90.28,,boys
268,Moses Brown (RI),2,5,90.28,,boys
269,New Providence (NJ),9,1,90.26,,boys
270,Westwood (MA),14,5,90.26,,boys
271,Westlake (TX),9,6,90.25,,boys
